DateTime,AddedIPs,RemovedIPs
1556539543,2,0
1556543152,2,2
1556546761,1,5
1556550354,5,2
1556553962,3,2
1556557561,1,1
1556564769,0,1
1556568360,0,5
1556571954,3,1
1556575545,2,3
1556579161,3,1
1556582769,2,2
1556586366,2,0
1556589993,1,0
1556593556,0,3
1556597163,2,5
1556600756,7,0
1556604354,1,3
1556607964,1,1
1556611550,3,1
1556615166,0,3
1556618767,3,1
1556622355,1,1
1556625957,1,3
1556629565,3,2
1556633160,2,1
1556636755,2,4
1556640361,2,4
1556643945,4,1
1556647555,2,5
1556651154,3,1
1556654761,3,2
1556658339,2,1
1556661954,1,2
1556665555,0,3
1556669161,2,0
1556672760,1,1
1556676358,1,2
1556679959,2,3
1556683549,2,1
1556687156,2,0
1556690754,3,5
1556694355,4,0
1556697951,0,1
1556701557,1,0
1556705155,2,0
1556715948,1,2
1556719556,1,2
1556723148,2,1
1556726759,1,1
1556730354,0,1
1556733949,1,1
1556737562,3,5
1556741150,3,2
1556744765,1,0
1556755561,0,1
1556759149,0,1
1556762753,3,0
1556769949,2,1
1556773562,0,2
1556777153,2,2
1556780746,1,1
1556784361,1,1
1556787961,1,2
1556791552,3,0
1556795155,2,1
1556798750,1,2
1556802363,0,3
1556805953,2,1
1556809568,1,1
1556813161,2,1
1556816755,2,3
1556820367,1,3
1556823949,2,2
1556827566,2,0
1556831147,1,1
1556834743,1,1
1556838359,1,2
1556841971,3,2
1556845563,2,1
1556849147,1,0
1556856354,1,1
1556859948,3,2
1556863544,0,2
1556867146,2,0
1556870746,2,2
1556874348,2,4
1556877951,2,3
1556881543,2,2
1556885142,1,3
1556888730,2,0
1556895930,2,1
1556899539,1,1
1556903139,0,2
1556906747,1,4
1556910351,2,0
1556913952,2,0
1556917541,0,1
1556921139,2,0
1556924746,0,3
1556928379,3,1
1556931949,1,1
1556935555,1,2
1556939146,2,2
1556942736,0,2
1556946340,2,2
1556949956,1,0
1556953552,1,2
1556957141,3,0
1556960756,1,0
1556964359,1,2
1556967948,1,1
1556971555,1,1
1556975158,2,1
1556978760,0,2
1556982345,2,2
1556985948,2,4
1556989543,5,2
1556993151,2,0
1556996742,1,1
1557000354,0,2
1557003942,0,1
1557007555,2,2
1557011150,2,3
1557014755,3,1
1557018346,1,0
1557021953,2,0
1557025537,0,2
1557029144,2,1
1557032744,2,6
1557036336,2,0
1557039946,0,2
1557043526,3,2
1557047142,0,1
1557050755,1,0
1557054346,1,0
1557057935,1,0
1557061550,1,0
1557065146,1,2
1557068740,2,0
1557072351,0,3
1557075961,3,2
1557079543,1,4
1557083150,2,0
1557090343,1,1
1557093947,1,0
1557101164,0,2
1557104739,0,3
1557108335,4,1
1557111950,1,0
1557115549,2,1
1557119150,1,1
1557122750,2,2
1557126349,3,2
1557129945,3,1
1557133553,1,1
1557137162,1,2
1557140759,0,2
1557144350,0,1
1557147958,1,0
1557151551,1,2
1557155152,1,2
1557158772,1,1
1557162360,2,1
1557165939,1,1
