DateTime,AddedIPs,RemovedIPs
1556273251,2,2
1556276830,1,0
1556280436,2,2
1556284035,2,2
1556287645,2,1
1556291243,2,2
1556294853,1,1
1556298445,0,1
1556302037,2,2
1556305635,2,2
1556309240,0,1
1556320045,1,2
1556323657,1,0
1556327248,1,1
1556330838,2,2
1556334445,0,1
1556338045,1,1
1556341640,1,2
1556348849,0,1
1556352445,1,0
1556356044,1,0
1556359647,1,0
1556363250,0,1
1556370428,0,1
1556377648,2,1
1556381250,0,1
1556388445,0,1
1556392048,2,0
1556395648,2,0
1556399243,1,1
1556402859,1,2
1556406453,1,2
1556410040,0,1
1556413672,1,0
1556417263,1,1
1556420843,1,0
1556424467,0,1
1556428068,0,2
1556453260,1,0
1556456848,1,0
1556464050,1,2
1556467661,0,1
1556471255,2,0
1556474875,1,2
1556489250,0,1
1556496419,0,1
1556500054,2,0
1556503660,2,0
1556510861,1,1
1556514447,1,1
1556518062,2,0
1556521656,0,2
1556525260,0,1
1556532446,0,1
1556536067,2,0
1556539629,2,1
1556543252,3,2
1556546860,1,2
1556550448,0,2
1556554061,2,1
1556557663,2,2
1556564866,0,1
1556568457,0,2
1556572057,1,0
1556575644,0,1
1556579254,1,0
1556582866,1,0
1556586462,0,1
1556590088,1,0
1556593649,1,0
1556597253,1,1
1556600853,1,2
1556604450,1,1
1556608050,1,1
1556611635,2,0
1556615260,1,1
1556618857,1,2
1556622450,0,1
1556629652,2,2
1556633254,2,0
1556636850,0,1
1556640452,1,2
1556644038,1,2
1556647647,2,0
1556651251,0,2
1556654855,1,0
1556658415,2,1
1556665646,1,2
1556669258,2,0
1556672859,2,2
1556676471,1,1
1556680056,1,2
1556683649,0,2
1556687251,1,0
1556690850,1,2
1556694453,1,0
1556701656,0,1
1556705251,2,0
1556712439,0,1
1556716047,1,0
1556723234,2,1
1556726860,1,1
1556730444,1,0
1556734047,1,2
1556737657,1,2
1556741245,0,1
1556744865,1,2
1556759247,1,1
1556762845,2,0
1556766458,1,0
1556770047,1,1
1556773661,1,1
1556777243,0,1
1556780849,2,2
1556784462,0,2
1556788048,2,0
1556791651,1,0
1556795245,1,1
1556798849,2,1
1556802459,1,1
1556806046,0,2
1556809662,1,0
1556813257,2,2
1556816857,2,1
1556820465,0,2
1556824045,1,2
1556827662,1,0
1556831239,0,1
1556834839,0,1
1556838457,1,0
1556842070,1,0
1556845660,2,1
1556849242,1,2
1556852843,2,2
1556856450,1,2
1556860038,2,3
1556863641,0,1
1556867239,1,0
1556870835,1,1
1556874444,0,1
