DateTime,Entries,UniqueIPs
1557458675,4653,4653
1557460574,4667,4667
1557462499,4669,4669
1557464456,4675,4675
1557466360,4678,4678
1557468288,4680,4680
1557470172,4683,4683
1557472131,4680,4680
1557474015,4687,4687
1557475936,4683,4683
1557477899,4683,4683
1557479776,4677,4677
1557481694,4681,4681
1557483637,4677,4677
1557485553,4676,4676
1557487465,4674,4674
1557489394,4970,4970
1557491295,5637,5637
1557493241,6304,6304
1557495403,6600,6600
1557497301,7040,7040
1557499240,7574,7574
1557501172,7952,7952
1557503329,8559,8559
1557505212,8854,8854
1557507131,9459,9459
1557509062,10078,10078
1557510971,10963,10963
1557512890,10973,10973
1557514854,10953,10953
1557516737,10959,10959
1557518664,11025,11025
1557520582,11025,11025
1557522520,11026,11026
1557524439,10992,10992
1557526369,10992,10992
1557528356,10991,10991
1557530188,10991,10991
1557532099,10991,10991
1557534027,10983,10983
1557535932,10981,10981
1557537870,10537,10537
1557539779,9663,9663
1557541692,9050,9050
1557543633,8163,8163
1557545546,7711,7711
1557547462,7708,7708
1557549389,7710,7710
1557551329,7709,7709
1557553223,7705,7705
1557555135,7696,7696
1557557063,7697,7697
1557558974,7693,7693
1557560893,7697,7697
1557562845,7803,7803
1557564729,7837,7837
1557567007,7843,7843
1557569328,7842,7842
1557571240,7843,7843
1557573155,7839,7839
1557575072,7747,7747
1557577023,7225,7225
1557578909,6471,6471
1557580809,5967,5967
1557582744,5559,5559
1557584661,5085,5085
1557586581,4602,4602
1557588507,4171,4171
1557590478,3686,3686
1557592349,3261,3261
1557594309,2780,2780
1557596185,1778,1778
1557598100,1022,1022
1557600261,960,960
1557602182,957,957
1557604106,953,953
1557606029,862,862
1557607935,863,863
1557609874,860,860
1557611776,925,925
1557613713,918,918
1557615647,912,912
1557617544,914,914
1557619485,908,908
1557621390,910,910
1557623310,915,915
1557625269,913,913
1557627159,914,914
1557629062,913,913
1557630995,923,923
1557632910,914,914
1557634820,913,913
1557636750,940,940
1557638659,947,947
1557640577,950,950
1557642766,1121,1121
1557644673,1230,1230
1557646825,1427,1427
1557648743,1479,1479
1557650690,1584,1584
1557652580,1730,1730
1557654501,1741,1741
1557656450,1742,1742
1557658375,1742,1742
1557660267,1742,1742
1557662177,1744,1744
1557664119,1746,1746
1557666049,1891,1891
1557667951,2083,2083
1557670133,2256,2256
1557672044,2528,2528
1557673947,2626,2626
1557675878,2623,2623
1557677813,2625,2625
1557679731,2631,2631
1557681626,2631,2631
1557683551,2631,2631
1557685470,2634,2634
1557687583,2638,2638
1557689570,2644,2644
1557691743,2647,2647
1557693616,2644,2644
1557695790,2645,2645
1557697701,2622,2622
1557699648,2627,2627
1557702946,2636,2636
1557704901,2666,2666
1557706833,3042,3042
1557708749,3583,3583
1557710660,3934,3934
1557712579,4206,4206
1557714745,4492,4492
1557716676,4856,4856
1557718581,5100,5100
1557720498,5352,5352
1557722435,5804,5804
1557724364,6032,6032
1557726255,6261,6261
1557728190,6561,6561
1557730118,6861,6861
1557732033,7033,7033
1557733936,6944,6944
1557735865,6909,6909
1557737768,6849,6849
1557739722,6740,6740
1557741656,6741,6741
1557743563,6738,6738
1557745508,6739,6739
1557747380,6738,6738
1557749300,6738,6738
1557751213,6739,6739
1557753153,6484,6484
1557755057,6371,6371
1557757000,6196,6196
1557758836,5916,5916
1557760833,5901,5901
1557762834,5903,5903
1557764666,5907,5907
1557766576,5905,5905
1557768507,5910,5910
1557770455,5912,5912
1557772346,5914,5914
