DateTime,AddedIPs,RemovedIPs
1557112342,3,0
1557114267,1,5
1557116201,0,2
1557118098,0,2
1557120020,0,1
1557121962,1,0
1557123887,1,1
1557127714,2,0
1557129658,0,1
1557131554,0,1
1557133480,2,0
1557137329,3,0
1557139229,0,1
1557141162,1,0
1557146902,0,1
1557148843,0,1
1557150757,1,1
1557154581,1,0
1557156524,1,0
1557158461,2,1
1557162288,0,1
1557164195,1,1
1557168041,1,1
1557169936,1,0
1557171871,0,1
1557173778,1,1
1557179541,1,0
1557181479,1,0
1557185313,3,1
1557187367,1,1
1557191560,1,0
1557194260,2,1
1557196378,0,3
1557198289,3,2
1557200172,1,1
1557202100,1,1
1557205939,2,138
1557207872,2,1
1557211948,0,1
1557213856,0,2
1557217690,2,0
1557219670,1,1
1557221557,1,1
1557223470,0,3
1557225392,1,0
1557227305,0,1
1557233052,2,0
1557234974,1,0
1557236905,2,0
1557238849,0,1
1557240739,1,1
1557242664,0,1
1557244572,0,2
1557246491,1,0
1557248463,13,0
1557250366,125,1
1557254180,1,2
1557256100,0,1
1557259945,2,1
1557265708,2,1
1557267613,0,1
1557269555,2,0
1557271463,0,2
1557273374,1,1
1557277264,0,1
1557279143,0,1
1557281063,0,1
1557282983,1,0
1557284895,1,1
1557286815,1,1
1557288746,1,1
1557292587,0,3
1557294502,1,1
1557296430,1,0
1557298346,1,0
1557300273,1,0
1557302173,1,0
1557304093,0,2
1557306081,2,0
1557307942,2,1
1557310107,1,1
1557312014,0,1
1557313947,1,0
1557315873,1,0
1557319709,0,1
1557321615,0,1
1557323547,3,2
1557325628,1,0
1557327638,1,1
1557329545,2,0
1557331508,1,1
1557333379,0,1
1557335293,1,1
1557337211,1,1
1557339097,1,0
1557341054,0,1
1557343007,1,0
1557346810,2,1
1557348775,1,0
1557352570,0,1
1557355546,2,3
1557357386,2,1
1557361314,1,1
1557365068,4,0
1557367001,1,0
1557369149,0,1
1557371320,1,1
1557373236,1,1
1557375164,0,1
1557377081,1,0
1557381150,2,1
1557383055,0,1
1557384970,2,1
1557386922,0,1
1557388940,1,1
1557390769,1,67
1557392669,2,74
1557394586,1,2
1557396551,4,1
1557398414,1,0
1557400337,0,1
1557402267,1,1
1557408021,3,0
1557409950,0,3
1557411861,0,1
1557413788,1,1
1557415707,1,1
1557417716,1,2
1557421511,0,1
1557423617,1,0
1557427482,4,0
1557429376,0,1
1557433221,1,2
1557435135,2,1
1557442382,2,3
1557444278,0,1
1557446176,1,0
1557448113,2,1
1557450995,2,3
1557452899,3,2
1557454830,1,0
1557456733,2,1
1557458679,1,1
1557460576,0,1
1557462501,1,1
1557464467,2,0
1557468291,0,2
1557470174,0,1
1557472133,0,1
1557474017,0,1
1557475938,0,1
1557477901,2,0
1557479778,0,3
1557481696,2,1
1557483639,0,3
1557485554,0,1
1557489395,139,1
1557491297,0,1
1557493280,0,3
1557495405,1,0
1557501174,0,2
1557503331,0,1
1557505215,1,0
1557509063,2,0
1557510973,1,1
1557512892,1,1
