DateTime,AddedIPs,RemovedIPs
1556870214,117,135
1556872103,102,120
1556874127,112,149
1556875959,99,126
1556878849,156,139
1556880777,110,0
1556882675,97,0
1556884609,112,0
1556886797,121,0
1556888675,94,0
1556890581,48,0
1556894659,0,1
1556900415,0,2
1556904259,0,1
1556910098,1,0
1556915774,0,2
1556917721,2,0
1556925389,0,1
1556929226,0,3
1556933061,1,1
1556934984,2,6
1556936918,0,16
1556938914,1,1
1556946532,2,0
1556950343,0,70
1556952284,0,110
1556954187,0,100
1556956130,1,119
1556958043,0,103
1556959956,0,112
1556961868,4,99
1556963777,0,113
1556965972,0,110
1556967913,0,103
1556969782,0,106
1556971650,1,103
1556973614,9,112
1556975559,1,91
1556977462,60,28
1556979390,31,0
1556996672,0,1
1557002431,2,0
1557004350,1,2
1557013956,3,0
1557015853,5,0
1557017782,3,0
1557019736,5,1
1557022577,5,2
1557024509,1,0
1557026441,5,1
1557028372,2,0
1557034131,2,2
1557036098,2,0
1557037940,1,0
1557040125,3,0
1557043963,1,1
1557048064,2,4
1557049946,5,0
1557055699,1,0
1557059541,0,10
1557063383,0,32
1557065275,0,60
1557067219,15,0
1557071109,45,0
1557072979,11,0
1557082599,1,0
1557084496,1,0
1557086512,2,0
1557090319,4,3
1557094109,4,0
1557101783,0,6
1557103718,0,3
1557105645,0,7
1557107536,0,4
1557109463,0,1
1557111400,0,2
1557113316,0,6
1557118100,1,0
1557121964,0,4
1557125798,5,4
1557131558,2,1
1557133484,2,2
1557135381,0,1
1557137331,0,4
1557139231,8,0
1557141164,2,1
1557143059,1,0
1557144982,1,0
1557146904,6,0
1557152677,2,0
1557154583,21,15
1557156525,3,3
1557158503,0,52
1557160364,0,1
1557162290,1,0
1557168044,2,1
1557171873,3,3
1557173780,33,0
1557175698,33,0
1557177649,0,4
1557179542,2,0
1557181481,0,4
1557202102,1,0
1557204022,2,0
1557205941,4,1
1557209789,57,0
1557211950,123,5
1557213872,91,0
1557215780,104,0
1557217721,102,2
1557219703,112,2
1557221559,97,0
1557223472,95,0
1557225394,104,8
1557227321,102,2
1557229217,112,1
1557231167,95,0
1557233062,101,6
1557234978,98,0
1557236908,104,0
1557238851,104,2
1557240740,105,22
1557242666,51,3
1557246493,2,0
1557248498,5,1
1557250368,3,0
1557252333,1,0
1557254182,1,1
1557256102,0,1
1557259947,5,20
1557261857,2,49
1557263776,3,0
1557265710,0,2
1557267615,1,0
1557271465,1,0
1557273376,3,0
1557277289,1,0
1557282985,1,0
1557284897,4,0
1557286829,0,1
1557288764,6,0
1557290654,1,6
1557292589,2,0
1557296431,0,72
1557298348,1,108
1557300274,5,91
1557302175,1,103
1557304095,8,102
1557306138,105,114
1557307944,84,95
1557310109,20,105
1557312015,0,106
1557313948,0,103
1557315874,109,113
1557317786,125,95
1557319710,133,104
1557321617,27,95
1557323549,8,106
1557325630,0,111
1557327643,0,111
1557329546,1,23
1557331517,0,1
1557333381,2,1
1557335295,1,5
1557337213,2,3
1557339099,3,2
1557346827,0,7
1557348777,0,1
1557350679,0,2
1557355548,3,1
1557357387,0,1
1557359256,0,3
1557363136,1,0
1557365070,2,1
1557367003,93,0
1557369151,70,1
1557371322,38,4
1557373238,1,0
1557375166,0,6
1557377083,0,1
1557378991,0,2
1557381152,1,0
1557384972,0,1
1557388975,9,1
1557390972,6,40
1557392916,1,92
1557394811,10,76
1557396995,2,14
1557398896,12,0
1557400840,1,8
1557402761,0,135
1557404658,2,124
1557406580,0,66
1557408692,0,18
1557416417,0,1
1557420495,0,3
1557422454,1,0
1557424330,0,5
1557438016,5,0
1557439939,0,1
1557442384,0,2
1557450996,6,3
1557452901,0,53
1557454832,0,114
1557456735,0,25
1557458696,4,61
1557460578,9,0
1557468294,0,1
1557474019,4,0
1557475939,2,15
1557479779,0,1
1557481698,0,10
1557483641,0,2
1557485556,1,13
1557487468,9,0
1557489412,106,0
1557491299,6,2
1557497304,1,0
1557503333,2,0
1557509065,0,1
1557510975,1,0
1557524443,0,5
1557526372,3,0
1557535936,0,4
1557537873,0,2
1557539783,2,0
1557541695,1,0
1557543664,2,0
1557545549,1,12
1557547466,0,1
1557551332,1,0
1557553226,1,0
1557557067,1,0
1557560896,0,4
1557562849,2,2
1557564732,2,0
1557572668,3,1
1557574587,0,40
1557576495,0,81
1557584186,0,1
1557586098,1,0
1557590063,0,2
1557596188,0,1
1557607939,1,0
1557611779,0,1
1557613716,2,2
1557617548,2,0
1557619489,14,0
1557621393,22,0
1557627162,2,3
1557630998,1,2
1557632913,0,1
1557636753,0,1
1557640580,0,1
1557644729,0,1
1557648746,1,2
1557650693,0,2
1557654504,2,0
1557656453,1,0
1557658378,3,1
1557660271,0,2
1557664122,2,0
1557672048,0,1
1557689574,1,0
1557691747,1,0
1557695794,0,1
1557697704,3,0
1557699652,1,2
1557702950,1,0
1557704904,1,6
1557706836,0,32
1557714749,1,2
1557718584,0,1
1557726258,2,0
1557728193,2,0
1557735869,0,1
1557741660,0,2
1557743567,0,4
1557745515,12,0
1557747383,1,0
1557749304,0,1
1557751216,1,1
1557755060,3,0
1557757003,10,0
1557758855,8,0
1557760836,1,0
1557762837,1,0
1557766594,2,0
1557768511,2,0
1557770522,1,0
1557776181,1,1
1557778131,0,1
1557783758,0,2
1557785774,0,2
1557787702,0,1
1557791533,3,1
1557801398,1,1
1557813162,1,2
1557815055,0,2
1557817000,52,0
1557824734,1,0
1557826834,1,0
1557828737,4,0
1557830688,1,0
1557832572,1,12
1557834776,3,1
1557836658,1,0
1557838612,3,1
1557840502,1,0
