DateTime,AddedIPs,RemovedIPs
1557250368,1,1
1557252337,1,0
1557254183,3,0
1557256103,0,1
1557258017,0,3
1557259947,1,0
1557261857,0,1
1557263776,1,1
1557265710,1,2
1557267615,1,1
1557269557,1,3
1557271465,1,2
1557273376,1,1
1557275405,2,1
1557277297,0,1
1557279145,1,2
1557281066,2,0
1557282985,0,1
1557284898,1,1
1557290654,2,0
1557292589,1,0
1557296432,0,1
1557300275,2,2
1557302175,3,1
1557304095,0,12
1557306153,2,2
1557308176,0,1
1557315875,0,1
1557317786,1,0
1557319711,1,0
1557321617,0,1
1557323549,1,1
1557325630,2,1
1557329547,0,3
1557333381,2,0
1557335295,1,2
1557337214,0,2
1557339099,2,0
1557341056,0,1
1557343009,1,0
1557346827,0,1
1557348777,1,0
1557350679,1,1
1557352572,1,1
1557355548,1,2
1557357388,1,1
1557359257,1,1
1557361316,1,0
1557363137,0,1
1557365071,0,1
1557367003,0,3
1557371322,6,12
1557375174,1,0
1557377083,3,2
1557383057,0,1
1557384973,0,1
1557388978,0,3
1557390973,1,1
1557392916,1,0
1557394812,1,0
1557396996,0,1
1557400841,1,0
1557402761,2,1
1557404658,1,0
1557406581,1,0
1557408693,2,0
1557410702,1,1
1557412584,0,2
1557414522,1,1
1557416417,2,0
1557418584,2,1
1557420496,2,1
1557424330,1,1
1557428466,2,1
1557430364,3,0
1557432266,1,0
1557436129,1,0
1557438017,1,2
1557444280,1,1
1557446178,1,1
1557448115,0,1
1557450997,3,1
1557452901,2,0
1557454832,4,0
1557456735,1,0
1557458696,0,1
1557460578,1,0
1557464485,1,1
1557466383,0,1
1557468294,3,0
1557470176,2,0
1557472135,0,1
1557475940,1,0
1557479780,2,1
1557481698,0,1
1557483641,0,1
1557485557,2,0
1557487469,2,0
1557489413,0,2
1557491299,4,1
1557493328,0,1
1557497305,2,1
1557501176,0,2
1557503333,0,1
1557505217,2,0
1557507135,3,2
1557509066,2,1
1557510975,2,2
1557512894,4,0
1557514881,0,2
1557516742,1,4
1557518716,0,1
1557520586,1,0
1557522525,1,2
1557524443,0,1
1557526373,3,0
1557528361,3,1
1557532103,0,1
1557534032,1,0
1557535936,1,2
1557537874,1,0
1557539783,4,1
1557541696,4,1
1557543667,1,1
1557545550,0,1
1557547466,0,2
1557549393,0,3
1557551333,0,1
1557553227,0,1
1557555139,0,4
1557564733,1,0
1557567011,0,1
1557570769,0,2
1557572675,1,1
1557574587,0,2
1557578416,1,3
1557580347,2,0
1557582256,1,0
1557584186,3,3
1557588014,0,1
1557590063,1,0
1557592089,1,2
1557594346,1,4
1557596204,2,1
1557598103,2,1
1557600264,1,2
1557602185,0,3
1557604134,1,0
1557607939,1,1
1557609877,2,3
1557611779,2,3
1557613716,0,3
1557615700,2,1
1557617548,1,0
1557619490,5,1
1557621394,0,4
1557623314,5,1
1557625272,1,4
1557627162,0,1
1557629065,1,1
1557630998,1,0
1557632914,4,0
1557634824,1,0
1557636754,4,1
1557642800,1,1
1557648746,1,1
1557652583,1,0
1557656454,1,1
1557660271,0,2
1557662180,0,1
1557664122,1,0
1557666056,0,2
1557667955,1,0
1557670137,0,2
1557672049,2,2
1557673951,2,1
1557675882,0,1
1557677817,3,0
1557679736,1,0
1557683555,1,2
1557685474,0,1
1557687587,0,3
1557689589,1,1
1557691748,3,0
1557695795,4,2
1557697705,2,3
1557699653,2,0
1557702950,3,4
1557704904,1,2
1557706837,0,1
1557708753,0,1
1557710664,2,3
1557712583,3,2
1557714750,2,0
1557718585,3,1
1557720502,2,1
1557722439,2,2
1557724368,1,2
1557726259,2,0
1557728194,1,0
1557732036,1,1
1557733940,0,1
1557735869,1,0
1557737771,2,1
1557739725,0,1
1557743567,0,1
1557745516,1,0
1557749305,1,0
1557751217,1,1
1557757004,0,1
1557758855,0,1
1557760836,1,1
1557762838,0,1
1557766594,0,6
1557768511,2,1
1557770528,1,1
1557772349,2,1
1557774267,1,0
1557776181,2,1
1557778131,3,1
1557780016,1,0
1557781948,1,1
1557783758,3,3
1557785775,2,2
1557787703,2,1
1557789615,2,1
1557793463,1,1
1557795386,2,0
1557797570,2,4
1557799558,1,0
1557801399,1,1
1557803333,1,0
1557805222,3,2
1557807137,2,1
1557809088,0,2
1557813163,2,2
1557817000,0,1
1557818893,0,2
1557820911,1,1
1557822740,0,2
1557826835,1,0
1557828738,0,1
1557830688,0,2
1557832573,1,1
1557834777,0,1
1557836659,2,1
1557838613,0,1
1557842467,3,1
1557844338,2,1
1557854183,1,0
1557856346,2,2
1557858265,3,3
1557860195,1,2
1557862095,1,2
1557864328,0,2
1557866224,1,4
1557868134,3,1
1557870027,2,3
1557871957,1,2
1557873887,2,2
1557875804,3,2
1557877731,4,1
1557879643,4,3
1557883463,1,0
1557885376,1,0
1557887305,1,0
1557891157,0,1
1557894989,0,4
1557898846,1,2
1557900782,2,0
1557904608,1,0
1557906510,2,1
1557908445,0,1
1557910344,2,0
1557912272,3,0
1557916123,1,0
1557919946,2,0
1557921867,0,1
1557923789,0,1
1557927621,1,0
1557929561,1,2
1557931468,2,1
1557933407,1,0
1557935344,1,0
1557937245,2,0
1557939157,1,0
1557941063,0,2
1557943008,1,0
1557944913,1,2
1557948779,1,0
1557952589,0,3
1557954529,1,1
1557956444,1,0
1557958354,1,0
1557960282,2,0
1557962207,3,12
1557964109,3,4
1557966020,4,2
1557967956,0,1
1557970000,1,0
1557972061,2,0
1557973947,2,1
1557979719,2,0
1557981645,0,1
1557983550,1,0
1557987413,0,1
1557991483,1,0
1557993401,1,1
1557995329,0,1
1557997255,1,1
1557999387,1,2
1558001572,0,1
1558003488,1,1
1558005380,2,2
1558007326,1,1
1558009287,4,0
1558011142,2,0
1558013061,2,0
1558016937,2,0
1558019823,0,1
1558022966,2,1
1558024830,0,1
1558026739,3,1
1558030590,0,1
1558034415,1,1
1558036344,4,1
1558038259,0,1
1558040200,2,0
1558042111,1,0
1558044052,3,15
1558045955,2,1
1558047913,0,1
1558049777,2,2
1558051735,1,3
1558053618,2,3
1558055567,2,0
1558057455,2,3
1558059379,2,2
1558063212,0,1
1558065135,1,2
1558067066,1,0
1558069001,2,2
1558070901,1,0
1558074741,1,0
1558076714,0,1
1558078574,1,0
1558082669,1,0
1558084602,0,2
1558086497,1,1
1558090373,1,2
1558092255,0,2
1558094175,2,1
1558096100,0,4
1558098063,1,2
1558099939,4,0
1558101828,1,0
1558103773,0,1
1558105703,2,1
1558107788,0,1
1558109790,3,1
1558111732,1,1
1558113865,2,3
1558115774,5,0
1558119721,0,1
1558121539,0,2
1558123725,1,1
1558125613,1,1
1558127552,1,2
1558129454,1,1
1558131501,1,1
1558133837,2,1
1558135802,1,0
1558137893,0,2
1558139794,1,2
1558141724,1,0
1558143866,2,3
1558145810,2,1
1558150102,2,2
1558152283,0,1
1558154425,0,2
1558156590,1,1
1558158544,0,2
1558160463,0,1
1558162550,1,1
1558166493,2,0
1558168345,0,1
1558170304,0,1
1558177954,0,2
1558179878,0,1
1558183697,2,1
1558185620,1,1
1558189459,1,0
1558193304,2,0
1558195128,3,6
1558197141,3,2
1558201107,1,3
1558202920,0,2
1558204829,2,1
1558206738,2,1
1558208680,2,0
1558210586,1,2
1558212753,1,4
1558214689,2,0
1558216580,1,3
1558218497,1,1
1558220518,0,3
1558222367,2,2
1558224299,5,0
1558226178,4,1
1558228130,5,1
1558230042,2,2
1558231947,0,1
1558233877,2,0
1558235787,1,0
1558237704,5,0
1558239615,3,0
1558241559,1,2
1558243467,0,1
1558251185,0,1
1558253131,1,1
1558257146,3,0
1558259063,1,0
1558261006,2,0
1558262931,0,1
1558266752,3,1
1558270603,1,1
1558272509,0,2
1558274513,0,1
1558278288,0,1
1558280199,3,0
1558284048,0,1
1558285948,0,1
1558287873,1,1
1558289804,2,1
1558293626,0,2
1558295581,2,3
1558297461,0,1
1558299385,1,1
1558301324,1,4
1558303347,1,0
1558305191,3,0
1558307087,0,2
1558308978,1,3
1558311176,4,1
1558313082,3,1
1558314999,0,3
1558316911,0,2
1558318845,1,1
1558320752,0,2
1558322683,0,2
1558324589,0,3
1558326504,1,2
1558330363,1,0
1558332294,1,1
1558336122,1,1
1558338028,1,0
1558339941,0,1
1558341882,2,1
1558343803,1,0
1558345722,1,0
1558347625,1,3
1558349536,1,0
1558351459,1,1
1558353390,1,2
1558357270,2,2
1558359192,1,0
1558361105,1,0
1558364926,1,4
1558366824,1,0
1558370673,2,1
1558374506,1,1
1558376308,0,1
1558378363,0,1
1558380276,1,0
1558382202,2,1
1558384122,4,0
1558386105,1,0
1558387962,3,1
1558389912,0,1
1558391780,0,1
1558393731,5,0
1558395629,3,2
1558397543,5,3
1558399484,1,0
1558401415,1,1
1558403304,1,1
1558405226,1,2
1558407169,0,2
1558409068,1,2
1558411008,1,0
1558412907,0,1
1558414908,1,0
1558418727,2,3
1558422511,1,2
1558424445,0,1
1558426378,0,2
1558428285,2,2
1558430200,0,1
1558432130,1,2
1558434036,0,2
