DateTime,Entries,UniqueIPs
1557250368,83,83
1557252337,84,84
1557254183,87,87
1557256103,86,86
1557258017,83,83
1557259947,84,84
1557261857,83,83
1557263776,83,83
1557265710,82,82
1557267615,82,82
1557269557,80,80
1557271465,79,79
1557273376,79,79
1557275405,80,80
1557277297,79,79
1557279145,78,78
1557281066,80,80
1557282985,79,79
1557284898,79,79
1557290654,81,81
1557292589,82,82
1557296432,81,81
1557300275,81,81
1557302175,83,83
1557304095,71,71
1557306153,71,71
1557308176,70,70
1557315875,69,69
1557317786,70,70
1557319711,71,71
1557321617,70,70
1557323549,70,70
1557325630,71,71
1557329547,68,68
1557333381,70,70
1557335295,69,69
1557337214,67,67
1557339099,69,69
1557341056,68,68
1557343009,69,69
1557346827,68,68
1557348777,69,69
1557350679,69,69
1557352572,69,69
1557355548,68,68
1557357388,68,68
1557359257,68,68
1557361316,69,69
1557363137,68,68
1557365071,67,67
1557367003,64,64
1557371322,58,58
1557375174,59,59
1557377083,60,60
1557383057,59,59
1557384973,58,58
1557388978,55,55
1557390973,55,55
1557392916,56,56
1557394812,57,57
1557396996,56,56
1557400841,57,57
1557402761,58,58
1557404658,59,59
1557406581,60,60
1557408693,62,62
1557410702,62,62
1557412584,60,60
1557414522,60,60
1557416417,62,62
1557418584,63,63
1557420496,64,64
1557424330,64,64
1557428466,65,65
1557430364,68,68
1557432266,69,69
1557436129,70,70
1557438017,69,69
1557444280,69,69
1557446178,69,69
1557448115,68,68
1557450997,70,70
1557452901,72,72
1557454832,76,76
1557456735,77,77
1557458696,76,76
1557460578,77,77
1557464485,77,77
1557466383,76,76
1557468294,79,79
1557470176,81,81
1557472135,80,80
1557475940,81,81
1557479780,82,82
1557481698,81,81
1557483641,80,80
1557485557,82,82
1557487469,84,84
1557489413,82,82
1557491299,85,85
1557493328,84,84
1557497305,85,85
1557501176,83,83
1557503333,82,82
1557505217,84,84
1557507135,85,85
1557509066,86,86
1557510975,86,86
1557512894,90,90
1557514881,88,88
1557516742,85,85
1557518716,84,84
1557520586,85,85
1557522525,84,84
1557524443,83,83
1557526373,86,86
1557528361,88,88
1557532103,87,87
1557534032,88,88
1557535936,87,87
1557537874,88,88
1557539783,91,91
1557541696,94,94
1557543667,94,94
1557545550,93,93
1557547466,91,91
1557549393,88,88
1557551333,87,87
1557553227,86,86
1557555139,82,82
1557564733,83,83
1557567011,82,82
1557570769,80,80
1557572675,80,80
1557574587,78,78
1557578416,76,76
1557580347,78,78
1557582256,79,79
1557584186,79,79
1557588014,78,78
1557590063,79,79
1557592089,78,78
1557594346,75,75
1557596204,76,76
1557598103,77,77
1557600264,76,76
1557602185,73,73
1557604134,74,74
1557607939,74,74
1557609877,73,73
1557611779,72,72
1557613716,69,69
1557615700,70,70
1557617548,71,71
1557619490,75,75
1557621394,71,71
1557623314,75,75
1557625272,72,72
1557627162,71,71
1557629065,71,71
1557630998,72,72
1557632914,76,76
1557634824,77,77
1557636754,80,80
1557642800,80,80
1557648746,80,80
1557652583,81,81
1557656454,81,81
1557660271,79,79
1557662180,78,78
1557664122,79,79
1557666056,77,77
1557667955,78,78
1557670137,76,76
1557672049,76,76
1557673951,77,77
1557675882,76,76
1557677817,79,79
1557679736,80,80
1557683555,79,79
1557685474,78,78
1557687587,75,75
1557689589,75,75
1557691748,78,78
1557695795,80,80
1557697705,79,79
1557699653,81,81
1557702950,80,80
1557704904,79,79
1557706837,78,78
1557708753,77,77
1557710664,76,76
1557712583,77,77
1557714750,79,79
1557718585,81,81
1557720502,82,82
1557722439,82,82
1557724368,81,81
1557726259,83,83
1557728194,84,84
1557732036,84,84
1557733940,83,83
1557735869,84,84
1557737771,85,85
1557739725,84,84
1557743567,83,83
1557745516,84,84
1557749305,85,85
1557751217,85,85
1557757004,84,84
1557758855,83,83
1557760836,83,83
1557762838,82,82
1557766594,76,76
1557768511,77,77
1557770528,77,77
1557772349,78,78
1557774267,79,79
1557776181,80,80
1557778131,82,82
1557780016,83,83
1557781948,83,83
1557783758,83,83
1557785775,83,83
1557787703,84,84
1557789615,85,85
1557793463,85,85
1557795386,87,87
1557797570,85,85
1557799558,86,86
1557801399,86,86
1557803333,87,87
1557805222,88,88
1557807137,89,89
1557809088,87,87
1557813163,87,87
1557817000,86,86
1557818893,84,84
1557820911,84,84
1557822740,82,82
1557826835,83,83
1557828738,82,82
1557830688,80,80
1557832573,80,80
1557834777,79,79
1557836659,80,80
1557838613,79,79
1557842467,81,81
1557844338,82,82
1557854183,83,83
1557856346,83,83
1557858265,83,83
1557860195,82,82
1557862095,81,81
1557864328,79,79
1557866224,76,76
1557868134,78,78
1557870027,77,77
1557871957,76,76
1557873887,76,76
1557875804,77,77
1557877731,80,80
1557879643,81,81
1557883463,82,82
1557885376,83,83
1557887305,84,84
1557891157,83,83
1557894989,79,79
1557898846,78,78
1557900782,80,80
1557904608,81,81
1557906510,82,82
1557908445,81,81
1557910344,83,83
1557912272,86,86
1557916123,87,87
1557919946,89,89
1557921867,88,88
1557923789,87,87
1557927621,88,88
1557929561,87,87
1557931468,88,88
1557933407,89,89
1557935344,90,90
1557937245,92,92
1557939157,93,93
1557941063,91,91
1557943008,92,92
1557944913,91,91
1557948779,92,92
1557952589,89,89
1557954529,89,89
1557956444,90,90
1557958354,91,91
1557960282,93,93
1557962207,84,84
1557964109,83,83
1557966020,85,85
1557967956,84,84
1557970000,85,85
1557972061,87,87
1557973947,88,88
1557979719,90,90
1557981645,89,89
1557983550,90,90
1557987413,89,89
1557991483,90,90
1557993401,90,90
1557995329,89,89
1557997255,89,89
1557999387,88,88
1558001572,87,87
1558003488,87,87
1558005380,87,87
1558007326,87,87
1558009287,91,91
1558011142,93,93
1558013061,95,95
1558016937,97,97
1558019823,96,96
1558022966,97,97
1558024830,96,96
1558026739,98,98
1558030590,97,97
1558034415,97,97
1558036344,100,100
1558038259,99,99
1558040200,101,101
1558042111,102,102
1558044052,90,90
1558045955,91,91
1558047913,90,90
1558049777,90,90
1558051735,88,88
1558053618,87,87
1558055567,89,89
1558057455,88,88
1558059379,88,88
1558063212,87,87
1558065135,86,86
1558067066,87,87
1558069001,87,87
1558070901,88,88
1558074741,89,89
1558076714,88,88
1558078574,89,89
1558082669,90,90
1558084602,88,88
1558086497,88,88
1558090373,87,87
1558092255,85,85
1558094175,86,86
1558096100,82,82
1558098063,81,81
1558099939,85,85
1558101828,86,86
1558103773,85,85
1558105703,86,86
1558107788,85,85
1558109790,87,87
1558111732,87,87
1558113865,86,86
1558115774,91,91
1558119721,90,90
1558121539,88,88
1558123725,88,88
1558125613,88,88
1558127552,87,87
1558129454,87,87
1558131501,87,87
1558133837,88,88
1558135802,89,89
1558137893,87,87
1558139794,86,86
1558141724,87,87
1558143866,86,86
1558145810,87,87
1558150102,87,87
1558152283,86,86
1558154425,84,84
1558156590,84,84
1558158544,82,82
1558160463,81,81
1558162550,81,81
1558166493,83,83
1558168345,82,82
1558170304,81,81
1558177954,79,79
1558179878,78,78
1558183697,79,79
1558185620,79,79
1558189459,80,80
1558193304,82,82
1558195128,79,79
1558197141,80,80
1558201107,78,78
1558202920,76,76
1558204829,77,77
1558206738,78,78
1558208680,80,80
