DateTime,Entries,UniqueIPs
1557462504,10056,10056
1557464489,10055,10055
1557466384,10054,10054
1557468296,10060,10060
1557470177,10061,10061
1557472135,10055,10055
1557474020,10050,10050
1557475941,10047,10047
1557477905,10046,10046
1557479781,10050,10050
1557481699,10052,10052
1557483642,10061,10061
1557485558,10056,10056
1557487470,10059,10059
1557489414,10064,10064
1557491300,10062,10062
1557493334,10069,10069
1557495408,10070,10070
1557497306,10073,10073
1557499245,10067,10067
1557501177,9608,9608
1557503334,9540,9540
1557505218,9542,9542
1557507136,9540,9540
1557509067,10207,10207
1557510976,12231,12231
1557512895,12231,12231
1557514884,12230,12230
1557516743,12232,12232
1557518720,12371,12371
1557520587,12387,12387
1557522526,12407,12407
1557524444,12408,12408
1557526374,12405,12405
1557528361,12401,12401
1557530192,12400,12400
1557532104,12392,12392
1557534032,12390,12390
1557535937,12391,12391
1557537875,12388,12388
1557539784,12393,12393
1557541697,12403,12403
1557543671,12416,12416
1557545550,12421,12421
1557547467,12425,12425
1557549394,12425,12425
1557551334,12429,12429
1557553228,12426,12426
1557555140,12425,12425
1557557068,12419,12419
1557558979,12423,12423
1557560898,12503,12503
1557562850,12873,12873
1557564734,13023,13023
1557567012,13029,13029
1557568903,13020,13020
1557570770,13018,13018
1557572685,13018,13018
1557574588,13022,13022
1557576497,13026,13026
1557578417,12475,12475
1557580348,8353,8353
1557582257,6124,6124
1557584188,6124,6124
1557586099,6125,6125
1557588015,6121,6121
1557590064,6119,6119
1557592090,6120,6120
1557594347,6125,6125
1557596205,4436,4436
1557598103,2845,2845
1557600265,1501,1501
1557602186,1487,1487
1557604134,1478,1478
1557606035,1323,1323
1557607940,1285,1285
1557609878,1278,1278
1557611780,1637,1637
1557613717,1631,1631
1557615710,1649,1649
1557617549,1661,1661
1557619490,1667,1667
1557621394,1670,1670
1557623315,1673,1673
1557625272,1685,1685
1557627163,1678,1678
1557629066,1674,1674
1557630999,1675,1675
1557632914,1674,1674
1557634824,1677,1677
1557636754,1847,1847
1557638663,1839,1839
1557640581,1838,1838
1557642800,1830,1830
1557644730,1884,1884
1557646829,1873,1873
1557648747,1530,1530
1557650693,1249,1249
1557652584,1571,1571
1557654505,1569,1569
1557656454,1569,1569
1557658379,1573,1573
1557660271,1565,1565
1557662181,1564,1564
1557664123,1561,1561
1557666057,1791,1791
1557667956,1791,1791
1557670138,1798,1798
1557672049,1798,1798
1557673952,1800,1800
1557675883,1803,1803
1557677817,1818,1818
1557679737,1824,1824
1557681630,1822,1822
1557683556,1826,1826
1557685474,1828,1828
1557687587,1830,1830
1557689590,1840,1840
1557691748,1849,1849
1557693621,1847,1847
1557695796,1840,1840
1557697705,1596,1596
1557699653,1600,1600
1557702951,2326,2326
1557704905,2529,2529
1557706837,2530,2530
1557708753,2525,2525
1557710664,2522,2522
1557712584,2514,2514
1557714750,2507,2507
1557716720,2495,2495
1557718585,2491,2491
1557720503,2487,2487
1557722439,2428,2428
1557724369,2435,2435
1557726259,2439,2439
1557728194,2456,2456
1557730122,2421,2421
1557732037,2410,2410
1557733940,2466,2466
1557735870,2466,2466
1557737772,2461,2461
1557739726,2124,2124
1557741663,2132,2132
1557743568,2138,2138
1557745517,2138,2138
1557747384,2138,2138
1557749306,2139,2139
1557751217,2144,2144
1557753157,1908,1908
1557755061,1909,1909
1557757004,1903,1903
1557758856,1906,1906
1557760837,1916,1916
1557762838,1905,1905
1557764670,1892,1892
1557766595,1890,1890
1557768512,1881,1881
1557770533,1877,1877
1557772350,1873,1873
1557774268,1871,1871
1557776182,1862,1862
1557778132,1861,1861
1557780017,1851,1851
1557781948,1850,1850
1557783759,1834,1834
1557785775,2952,2952
1557787703,2940,2940
1557789616,2347,2347
1557791534,2347,2347
1557793463,2346,2346
1557795386,2344,2344
1557797571,2335,2335
1557799558,2332,2332
1557801399,2325,2325
1557803334,2332,2332
1557805223,2340,2340
1557807138,2339,2339
1557809088,2336,2336
1557811129,2332,2332
1557813164,2336,2336
1557815056,2327,2327
1557817001,2315,2315
1557818894,2313,2313
1557820912,2302,2302
1557822741,2301,2301
1557824737,2303,2303
1557826835,2297,2297
1557828738,2300,2300
1557830689,2297,2297
1557832573,2297,2297
1557834777,2292,2292
1557836659,2291,2291
1557838613,2291,2291
1557840503,2296,2296
1557842470,2297,2297
1557844339,2481,2481
1557846342,2635,2635
1557848451,2630,2630
1557850345,2637,2637
1557852297,2634,2634
1557854184,2633,2633
1557856347,3904,3904
1557858266,3903,3903
1557860196,4154,4154
1557862095,4157,4157
1557864329,4160,4160
1557866225,4171,4171
1557868134,4178,4178
1557870027,4178,4178
1557871958,3231,3231
1557873888,3231,3231
1557875805,3149,3149
1557877732,3149,3149
1557879643,3155,3155
1557881573,3159,3159
1557883464,3159,3159
1557885377,3165,3165
1557887306,3167,3167
1557889269,3169,3169
1557891158,3168,3168
1557893158,3164,3164
1557894990,3128,3128
1557896939,3126,3126
1557898847,3125,3125
1557900783,3581,3581
1557902662,4070,4070
1557904609,4072,4072
1557906511,4083,4083
1557908445,4086,4086
1557910345,4233,4233
1557912273,4528,4528
1557914199,4604,4604
1557916124,4615,4615
1557918140,4614,4614
1557919946,4609,4609
1557921867,4614,4614
1557923789,4603,4603
1557925734,4602,4602
1557927621,4605,4605
1557929562,4603,4603
1557931469,4435,4435
1557933408,4374,4374
1557935344,4672,4672
1557937245,4669,4669
1557939158,4674,4674
1557941063,4608,4608
1557943009,3413,3413
1557944914,3399,3399
1557946890,3177,3177
1557948779,3174,3174
1557950748,3176,3176
1557952590,5808,5808
1557954530,10355,10355
1557956444,10960,10960
1557958355,10965,10965
1557960283,10960,10960
1557962208,10963,10963
1557964109,10963,10963
1557966021,10958,10958
1557967957,10959,10959
1557970001,10961,10961
1557972079,10960,10960
1557973948,10958,10958
1557975872,10961,10961
1557977788,10954,10954
1557979720,10958,10958
1557981646,11207,11207
1557983551,11659,11659
1557985463,11660,11660
1557987414,11408,11408
1557989311,11286,11286
1557991484,11289,11289
1557993402,11289,11289
1557995330,11407,11407
1557997257,11091,11091
1557999388,10821,10821
1558001573,10821,10821
1558003489,10887,10887
1558005381,10889,10889
1558007327,12344,12344
1558009288,14708,14708
1558011143,14709,14709
1558013062,14708,14708
1558015019,14705,14705
1558016938,14706,14706
1558019824,14711,14711
1558022967,14630,14630
1558024830,14633,14633
1558026740,14633,14633
1558028660,14636,14636
1558030591,14606,14606
1558032499,14607,14607
1558034416,14609,14609
1558036345,14609,14609
1558038260,14223,14223
1558040200,9589,9589
1558042112,8105,8105
1558044053,8108,8108
1558045956,8101,8101
1558047914,8114,8114
1558049777,8115,8115
1558051735,8113,8113
1558053618,8116,8116
1558055568,8110,8110
1558057455,8108,8108
1558059380,8109,8109
1558061310,8115,8115
1558063213,8120,8120
1558065135,8117,8117
1558067067,7230,7230
1558069002,5642,5642
1558070902,4928,4928
1558072917,4966,4966
1558074741,4964,4964
1558076714,5652,5652
1558078575,5860,5860
1558080769,5856,5856
1558082670,5852,5852
1558084602,5857,5857
1558086498,5855,5855
1558088421,5847,5847
1558090374,5784,5784
1558092256,5780,5780
1558094176,5778,5778
1558096101,5582,5582
1558098067,5585,5585
1558099939,5589,5589
1558101828,5589,5589
1558103774,2497,2497
1558105704,1777,1777
1558107788,1673,1673
1558109790,1667,1667
1558111732,1656,1656
1558113866,1657,1657
1558115775,1767,1767
1558117696,1755,1755
1558119722,2048,2048
1558121540,2047,2047
1558123726,2040,2040
1558125613,2052,2052
1558127552,2051,2051
1558129454,2046,2046
1558131502,2036,2036
1558133838,2034,2034
1558135803,2038,2038
1558137894,2044,2044
