DateTime,AddedIPs,RemovedIPs
1557462504,7,3
1557464495,8,9
1557466384,6,7
1557468297,9,3
1557470179,5,5
1557472137,8,13
1557474021,7,13
1557475941,3,4
1557477906,8,8
1557479781,5,3
1557481700,7,6
1557483643,15,6
1557485558,4,11
1557487470,7,3
1557489415,10,4
1557491301,5,5
1557493338,14,6
1557495408,5,7
1557497307,8,5
1557499247,4,11
1557501177,5,461
1557503335,6,73
1557505219,7,5
1557507137,5,8
1557509067,674,5
1557510977,2027,8
1557512897,4,4
1557514889,6,8
1557516743,7,6
1557518722,144,4
1557520588,20,7
1557522527,26,6
1557524445,10,7
1557526375,6,9
1557528363,2,5
1557530193,5,5
1557532104,0,9
1557534033,5,5
1557535939,6,4
1557537875,11,12
1557539785,11,5
1557541698,20,9
1557543678,17,5
1557545551,12,8
1557547468,8,8
1557549396,7,8
1557551340,10,8
1557553228,6,5
1557555141,6,6
1557557069,1,7
1557558980,10,8
1557560899,84,4
1557562851,373,3
1557564735,152,2
1557567013,10,3
1557568916,5,14
1557570772,5,7
1557572696,3,3
1557574589,11,8
1557576497,10,6
1557578419,5,555
1557580349,8,4118
1557582257,15,2239
1557584188,10,9
1557586100,8,6
1557588016,9,12
1557590065,8,10
1557592090,14,11
1557594348,15,10
1557596205,13,1701
1557598104,10,1597
1557600265,12,1343
1557602186,8,21
1557604135,12,25
1557606035,7,162
1557607941,22,59
1557609878,13,20
1557611780,368,11
1557613717,12,18
1557615720,21,6
1557617549,17,6
1557619491,16,7
1557621395,17,16
1557623315,10,10
1557625273,29,20
1557627164,19,26
1557629067,33,36
1557630999,23,21
1557632915,12,13
1557634826,17,14
1557636755,181,10
1557638664,5,12
1557640582,9,15
1557642801,4,14
1557644732,71,17
1557646829,8,17
1557648747,18,357
1557650694,19,301
1557652585,336,11
1557654506,17,17
1557656455,11,11
1557658380,14,11
1557660272,10,19
1557662181,18,24
1557664123,11,14
1557666058,242,12
1557667958,13,12
1557670138,22,16
1557672050,12,13
1557673952,11,12
1557675883,16,11
1557677818,25,11
1557679737,15,9
1557681631,20,21
1557683556,15,11
1557685475,10,6
1557687588,17,16
1557689591,19,8
1557691749,18,10
1557693621,16,14
1557695797,18,25
1557697706,29,273
1557699654,18,14
1557702952,755,32
1557704906,214,16
1557706838,15,13
1557708754,14,14
1557710665,11,12
1557712585,15,23
1557714751,18,25
1557716746,11,20
1557718586,9,13
1557720503,12,17
1557722440,11,70
1557724369,13,4
1557726260,12,7
1557728195,20,4
1557730123,15,51
1557732038,14,24
1557733941,64,8
1557735870,13,15
1557737773,9,16
1557739726,11,353
1557741665,18,11
1557743568,10,6
1557745517,13,12
1557747385,13,13
1557749306,14,13
1557751218,12,7
1557753157,13,246
1557755061,12,13
1557757005,14,20
1557758857,14,13
1557760837,20,9
1557762839,12,21
1557764670,10,21
1557766596,12,14
1557768513,14,22
1557770538,8,12
1557772350,6,12
1557774268,8,11
1557776182,7,16
1557778132,10,9
1557780017,7,19
1557781949,14,15
1557783759,10,28
1557785776,1127,16
1557787704,22,36
1557789617,99,690
1557791534,11,10
1557793464,9,11
1557795387,7,13
1557797571,12,21
1557799560,10,11
1557801401,12,17
1557803335,18,13
1557805224,22,10
1557807138,12,14
1557809089,9,11
1557811130,9,14
1557813164,14,11
1557815056,10,19
1557817001,6,18
1557818894,11,15
1557820913,10,22
1557822741,9,8
1557824737,14,12
1557826836,15,21
1557828739,15,10
1557830689,13,17
1557832574,16,16
1557834778,12,13
1557836660,16,13
1557838614,16,17
1557840504,15,10
1557842473,14,13
1557844340,196,10
1557846343,175,20
1557848452,12,15
1557850346,20,14
1557852298,6,10
1557854184,9,12
1557856348,1278,8
1557858266,8,12
1557860196,259,7
1557862099,11,7
1557864331,10,5
1557866226,17,8
1557868135,19,10
1557870028,11,9
1557871959,8,953
1557873889,15,14
1557875805,12,95
1557877732,15,12
1557879644,18,9
1557881573,11,7
1557883465,10,10
1557885377,16,11
1557887306,10,10
1557889273,18,15
1557891159,14,20
1557893162,11,15
1557894990,8,43
1557896940,12,10
1557898847,7,8
1557900784,468,12
1557902663,495,8
1557904610,9,6
1557906512,19,8
1557908447,11,8
1557910346,160,12
1557912274,309,13
1557914200,88,13
1557916124,16,4
1557918144,11,10
1557919947,10,15
1557921868,8,10
1557923790,10,20
1557925735,14,14
1557927622,17,8
1557929562,9,10
1557931469,12,181
1557933409,9,73
1557935345,312,13
1557937246,11,12
1557939159,13,8
1557941064,13,80
1557943010,51,1237
1557944915,11,26
1557946895,14,235
1557948780,15,18
1557950749,21,14
1557952591,2639,13
1557954531,4553,15
1557956445,613,9
1557958356,14,4
1557960284,6,10
1557962209,9,5
1557964110,10,9
1557966023,5,11
1557967957,13,10
1557970002,11,9
1557972093,8,9
1557973949,9,10
1557975874,10,4
1557977789,5,11
1557979721,7,3
1557981647,254,5
1557983552,457,8
1557985464,5,4
1557987415,6,257
1557989312,6,128
1557991485,10,7
1557993403,8,7
1557995331,127,10
1557997261,3,319
1557999389,8,278
1558001574,7,9
1558003490,77,11
1558005382,5,3
1558007328,1469,9
1558009289,2364,2
1558011144,6,4
1558013063,6,12
1558015020,7,15
1558016939,5,3
1558019825,10,2
1558022968,100,181
1558024831,9,6
1558026741,9,7
1558028661,7,5
1558030592,7,39
1558032500,8,7
1558034417,8,9
1558036346,9,13
1558038261,7,397
1558040201,2,4628
1558042112,20,1505
1558044054,14,11
1558045957,15,21
1558047915,21,11
1558049779,8,9
1558051736,7,12
1558053619,14,14
1558055568,5,11
1558057456,10,13
1558059380,8,8
1558061311,17,11
1558063214,14,9
1558065137,6,10
1558067068,14,901
1558069003,9,1590
1558070903,8,720
1558072921,58,21
1558074742,7,11
1558076715,700,12
1558078576,225,16
1558080770,13,20
1558082670,16,21
1558084603,15,8
1558086499,7,10
1558088422,62,16
1558090375,10,72
1558092259,6,9
1558094177,15,14
1558096102,15,210
1558098071,13,9
1558099940,13,10
1558101829,8,9
1558103775,12,3105
1558105704,10,730
1558107789,19,121
1558109791,12,19
1558111733,7,19
1558113866,15,16
1558115775,130,18
1558117696,8,21
1558119724,309,18
1558121540,15,14
1558123727,15,20
1558125614,18,7
1558127553,9,12
1558129455,10,16
1558131502,13,22
1558133839,15,17
1558135803,15,11
1558137895,14,9
1558139795,9,19
1558141725,9,5
1558143868,18,14
1558145811,9,12
1558148193,14,19
1558150103,14,16
1558152285,13,11
1558154426,11,84
1558156592,11,12
1558158545,17,53
1558160464,15,8
1558162551,12,481
1558164496,11,503
1558166500,11,12
1558168346,12,13
1558170305,11,16
1558172185,11,8
1558174119,4,10
1558176027,18,76
1558177955,19,10
1558179879,3,6
1558181794,8,15
1558183698,8,16
1558185621,4,20
1558187568,18,9
1558189459,11,8
1558191373,37,11
1558193305,833,12
1558195129,858,15
1558197142,873,10
1558199093,856,8
1558201108,929,15
1558202921,761,13
1558204831,889,7
1558206739,786,20
1558208681,854,9
1558210587,1045,18
1558212755,963,10
1558214690,854,12
1558216581,1857,7
1558218499,725,17
1558220526,2337,14
1558222379,723,9
1558224300,7,9
1558226180,4,9
1558228131,7,9
1558230043,11,14
1558231949,12,8
1558233878,14,8
1558235789,17,13
1558237706,6,9
1558239617,6,10
1558241561,102,8
1558243468,8,7
1558245400,4,11
1558247303,9,5
1558249313,131,9
1558251187,16,11
1558253133,10,9
1558254994,11,9
1558257148,220,11
1558259064,14,10
1558261007,13,3
1558262933,25,10
1558264854,6,14
1558266754,4,1
1558268663,3,4
1558270605,9,7
1558272525,7,4
1558274515,7,7
1558276368,5,7
1558278290,7,190
1558280201,4,853
1558282124,12,772
1558284050,6,868
1558285950,4,749
1558287875,6,828
1558289805,208,776
1558291714,17,826
1558293628,3,677
1558295583,8,758
1558297463,9,681
1558299387,13,825
1558301326,21,1422
1558303367,54,723
1558305193,35,293
1558307089,11,8
1558308979,8,3
1558311178,4,9
1558313083,6,6
1558315001,8,7
1558316912,8,16
1558318847,7,12
1558320754,12,19
1558322684,19,16
1558324591,22,9
1558326505,44,7
1558328531,7,5
1558330364,7,5
1558332297,9,4
1558334189,8,22
1558336123,6,136
1558338029,10,11
1558339943,129,15
1558341883,27,15
1558343805,3364,336
1558345724,4982,9
1558347627,5,5
1558349538,6,17
1558351461,7,5
1558353393,5,2
1558355330,6,3
1558357279,6,3
1558359195,6,6
1558361107,5,6
1558362997,5,2
1558364927,4,3
1558366827,2,3
1558368763,0,4
1558370675,0,4
1558372606,4,3
1558374508,9,3
1558376310,9,319
1558378365,5,6
1558380278,6,1
1558382204,32,6
1558384123,11,3
1558386109,6,11
1558387965,4,34
1558389915,2,26
1558391781,1,24
1558393733,5,10
1558395630,4,5
1558397545,16,3
1558399486,3,3
1558401418,5,3
1558403306,13,2
1558405227,14,2
1558407171,9,8
1558409087,6,8
1558411010,4,13
1558412909,4,27
1558414919,7,3
1558416752,5,6
1558418730,12,4
1558420584,9,4
1558422513,6,3
1558424447,643,4
1558426380,9,7
1558428286,9,14
1558430202,11,3388
1558432131,3,5089
1558434037,3,7
