DateTime,Entries,UniqueIPs
1557462505,9319,9319
1557464499,9321,9321
1557466385,9309,9309
1557468299,9324,9324
1557470180,9339,9339
1557472138,9354,9354
1557474022,9358,9358
1557475942,9373,9373
1557477907,9390,9390
1557479782,9400,9400
1557481701,9403,9403
1557483644,9411,9411
1557485559,9418,9418
1557487471,9434,9434
1557489416,9429,9429
1557491302,9442,9442
1557493341,9450,9450
1557495409,9464,9464
1557497308,9468,9468
1557499248,9462,9462
1557501178,9464,9464
1557503336,9477,9477
1557505220,9476,9476
1557507138,9479,9479
1557509068,9488,9488
1557510978,9491,9491
1557512897,9488,9488
1557514896,9488,9488
1557516744,9486,9486
1557518723,9479,9479
1557520590,9477,9477
1557522528,9482,9482
1557524446,9471,9471
1557526375,9464,9464
1557528365,9457,9457
1557530194,9449,9449
1557532105,9448,9448
1557534034,9440,9440
1557535940,9425,9425
1557537876,8530,8530
1557539785,6695,6695
1557541698,5779,5779
1557543685,3542,3542
1557545552,1222,1222
1557547469,1206,1206
1557549397,1207,1207
1557551341,1195,1195
1557553229,1202,1202
1557555141,1191,1191
1557557070,1168,1168
1557558980,1167,1167
1557560899,1146,1146
1557562852,1152,1152
1557564736,1135,1135
1557567013,1133,1133
1557568928,1126,1126
1557570773,1128,1128
1557572700,1119,1119
1557574590,1117,1117
1557576499,1115,1115
1557578420,1109,1109
1557580349,1122,1122
1557582258,1113,1113
1557584189,1105,1105
1557586100,1110,1110
1557588016,1096,1096
1557590066,1082,1082
1557592091,1070,1070
1557594351,1086,1086
1557596206,1081,1081
1557598105,1088,1088
1557600266,1080,1080
1557602187,1094,1094
1557604135,1088,1088
1557606036,1082,1082
1557607942,1070,1070
1557609879,1059,1059
1557611781,1049,1049
1557613718,1029,1029
1557615730,1020,1020
1557617550,1018,1018
1557619491,1019,1019
1557621396,1024,1024
1557623315,1018,1018
1557625273,1015,1015
1557627165,1008,1008
1557629067,1008,1008
1557631000,1023,1023
1557632915,1049,1049
1557634827,1083,1083
1557636756,1105,1105
1557638664,1122,1122
1557640583,1134,1134
1557642801,1172,1172
1557644734,1183,1183
1557646830,1207,1207
1557648748,1210,1210
1557650694,1211,1211
1557652585,1212,1212
1557654507,1213,1213
1557656455,1213,1213
1557658380,1216,1216
1557660273,1215,1215
