DateTime,AddedIPs,RemovedIPs
1557428536,1,1
1557432308,2,4
1557436139,0,1
1557438022,1,0
1557439944,2,2
1557442391,0,2
1557444286,0,2
1557446183,1,2
1557448120,3,3
1557450074,1,3
1557451946,746,3
1557454129,1282,1
1557456021,1220,0
1557458232,522,2
1557460145,2,2
1557462031,1,0
1557463947,1,0
1557465861,1,1
1557467776,2,2
1557469724,3,0
1557471738,0,1
1557473570,1,2
1557475566,3,4
1557477385,6,3
1557479327,2,2
1557481243,1,0
1557483152,5,3
1557485065,2,2
1557487241,1,1
1557489164,1,0
1557491083,1,1
1557493017,2,0
1557496867,3,1
1557498748,1,2
1557500720,1,0
1557502856,1,1
1557504738,3,1
1557506650,1,2
1557508601,1,0
1557510528,1,1
1557512454,1,0
1557514335,0,1
1557516258,1,0
1557518173,1,1
1557520089,0,1
1557522039,2,0
1557523966,2,2
1557525879,1,1
1557528370,1,1
1557530198,1,0
1557532109,3,1
1557534039,2,2
1557535945,2,1
1557537899,3,477
1557539790,5,1271
1557541703,2,910
1557544822,3,1114
1557546729,1,3
1557548652,2,1
1557550574,1,2
1557552488,4,2
1557554448,2,2
1557556343,4,3
1557558515,2,1
1557560416,2,0
1557562606,5,4
1557564494,4,4
1557566434,2,0
1557568973,3,3
1557570778,2,4
1557572708,1,3
1557574594,1,1
1557576505,0,1
1557578424,1,1
1557580353,0,1
1557582261,2,1
1557584193,2,2
1557586103,2,1
1557588021,1,2
1557590071,2,2
1557592094,0,2
1557594359,1,1
1557596210,2,1
1557598110,2,0
1557600271,2,1
1557602190,2,1
1557604141,2,1
1557606040,1,0
1557607946,2,1
1557609884,0,1
1557611784,2,1
1557613722,1,0
1557615775,2,1
1557617780,2,3
1557619696,1,4
1557621621,4,1
1557623793,4,5
1557625696,2,4
1557627616,1,1
1557629544,0,2
1557631471,0,2
1557633399,4,1
1557635300,3,3
1557637254,3,2
1557639138,2,5
1557641070,2,1
1557643217,1,4
1557645135,2,1
1557647082,8,5
1557648974,6,4
1557651163,1,4
1557653055,2,2
1557655005,2,2
1557656915,3,4
1557658914,3,0
1557660738,3,2
1557662709,3,0
1557664585,5,0
1557666501,296,1
1557668439,2,1
1557670347,1,2
1557672254,1,2
1557674441,2,1
1557676360,5,2
1557678287,0,1
1557680174,2,3
1557682105,0,2
1557684997,2,3
1557686897,0,2
1557688757,1,2
1557690731,0,2
1557692677,1,1
1557694582,0,1
1557696503,3,1
1557698666,2,1
1557700591,3,1
1557702957,1,2
1557704911,1,1
1557706860,2,2
1557708758,2,4
1557710670,3,3
1557712591,3,1
1557714756,2,2
1557716771,3,0
1557718596,1,1
1557720507,3,4
1557722445,3,3
1557724374,6,1
1557726265,3,2
1557728200,4,2
1557730127,4,1
1557732042,2,4
1557733945,6,7
1557735875,9,4
1557737778,4,1
1557739731,7,2
1557741681,4,1
1557743573,2,3
1557745523,6,3
1557747388,4,2
1557749310,2,2
1557751222,1,3
1557753161,4,300
1557755065,2,1
1557757010,3,3
1557758862,2,0
1557760843,0,2
1557762847,1,5
1557764675,2,0
1557766602,0,2
1557768523,0,1
1557770574,0,1
1557772596,3,1
1557774529,3,1
1557776414,1,0
1557778590,0,2
1557780496,1,1
1557782450,0,3
1557784333,0,2
1557786266,1,2
1557788201,1,3
1557792057,1,1
1557793937,2,2
1557796126,6,4
1557798056,2,3
1557799952,1,2
1557801856,3,0
1557804060,4,3
1557805936,2,1
1557807861,1,3
1557809785,2,2
1557811730,0,7
1557813694,4,3
1557815557,2,4
1557817552,3,1
1557819640,1,3
1557821539,2,6
1557823746,4,6
1557825674,2,10
1557827556,0,4
1557829459,1,0
1557831418,0,4
1557833298,0,4
1557835257,2,0
1557837161,1,4
1557839078,0,4
1557840990,1,3
1557842925,2,4
1557845082,2,4
1557847005,1,0
1557850841,0,1
1557852795,1,1
1557854658,1,0
1557856616,3,1
1557858505,0,4
1557860525,298,1
1557862377,2,3
1557864339,2,1
1557866231,3,1
1557868141,2,0
1557870033,1,1
1557871964,1,0
1557873893,1,1
1557877737,3,0
1557879650,3,2
1557881595,3,3
1557883470,1,6
1557885382,5,1
1557887311,5,3
1557889376,1,5
1557891393,7,1
1557893574,7,2
1557895495,3,1
1557897402,4,1
1557899304,3,3
1557901242,2,3
1557903158,2,2
1557905088,4,1
1557906975,4,3
1557908893,6,1
1557910836,2,4
1557912740,5,1
1557914710,4,1
1557916584,2,0
1557918531,1,1
1557920441,1,0
1557922343,1,2
1557924257,1,0
1557926173,2,0
1557928110,0,1
1557930045,1,5
1557931936,1,1
1557935775,2,1
1557937692,4,1
1557939670,2,0
1557941564,2,2
1557943500,0,1
1557945398,58,169
1557947323,1,130
1557949239,2,1
1557951177,0,3
1557953078,0,1
1557955003,2,2
1557956925,0,1
1557958843,1,1
1557960758,744,1
1557962669,1210,0
1557964573,1632,1
1557966499,180,3
1557968507,2,3
1557970380,4,1
1557972357,1,4
1557974214,3,5
1557976125,1,2
1557978043,4,4
1557979946,3,5
1557981858,1,3
1557984045,3,4
1557985959,4,1
1557987863,1,2
1557989773,3,1
1557991697,3,3
1557993634,1,4
1557995537,3,4
1557997547,2,4
1557999413,1,2
1558001582,2,4
1558003497,1,1
1558005387,4,0
1558007334,3,1
1558009296,1,1
1558011150,2,2
1558013069,2,0
1558015027,4,0
1558016946,0,2
1558018913,1,0
1558021018,3,0
1558022974,1,5
1558024837,1,1
1558026748,1,2
1558028667,4,1
1558030597,4,0
1558032508,0,65
1558034423,1,3
1558036353,2,0
1558040207,1,1
1558042118,0,3
1558045962,0,81
1558047927,1,1046
1558049786,1,1351
1558051741,2,1292
1558053625,0,4
1558055574,4,4
1558057461,0,3
1558059386,2,4
1558061316,3,1
1558063220,2,1
1558065142,2,5
1558067073,5,1
1558069025,1,0
1558070908,1,2
1558072948,4,5
