DateTime,AddedIPs,RemovedIPs
1554940985,1,0
1554950670,1,0
1554956413,1,0
1554964352,1,0
1554968189,1,0
1554981632,1,1
1554985462,0,1
1554996552,1,0
1555004418,0,1
1555019796,0,1
1555036576,0,1
1555042337,0,1
1555050020,0,1
1555053856,0,1
1555065374,2,0
1555069215,0,1
1555080752,0,1
1555082655,0,1
1555084582,1,0
1555092779,1,0
1555100462,1,0
1555117714,1,0
1555121786,1,0
1555129498,1,0
1555133299,1,0
1555150854,0,1
1555152747,0,1
1555170282,0,1
1555179857,0,1
1555185764,0,1
1555191649,1,0
1555199298,1,0
1555201239,1,0
1555203144,0,1
1555208911,0,1
1555214912,0,1
1555218741,0,1
1555246576,1,0
1555263880,1,0
1555277305,0,1
1555285006,0,1
1555286926,0,1
1555304512,1,0
1555310205,2,0
1555333480,0,1
1555337331,1,0
1555339241,1,0
1555349062,1,1
1555351006,1,0
1555352913,1,0
1555356985,3,0
1555376927,1,0
1555388434,1,0
1555390368,0,1
1555396123,0,2
1555423343,0,1
1555425180,0,1
1555429004,1,0
1555436685,0,1
1555438599,0,2
1555442665,0,3
1555464274,0,1
1555474366,0,1
1555476269,1,0
1555503658,1,0
1555507473,1,0
1555513382,1,0
1555515405,1,1
1555528856,1,0
1555530751,1,0
1555532672,1,0
1555550453,1,0
1555558118,1,0
1555561952,0,1
1555591008,0,1
1555592931,1,1
1555594859,1,0
1555598698,0,1
1555602533,0,1
1555616459,0,2
1555620263,0,1
1555633966,1,0
1555637812,0,1
1555643548,0,1
1555657023,1,0
1555680262,0,1
1555682368,0,1
1555718934,0,1
1555720841,1,0
1555743898,0,1
1555747711,1,0
1555769327,1,0
1555806507,0,1
1555810367,1,0
1555812293,2,0
1555835300,0,1
1555852857,1,0
1555854784,1,0
1555856655,0,1
1555897213,0,3
1555937556,2,0
1555939467,0,1
1555941393,0,1
1555945299,1,0
1555966595,2,0
1555995778,2,0
1555997786,1,0
1556005465,1,0
1556009302,1,0
1556020978,1,0
1556022969,0,2
1556032608,1,1
1556042499,1,0
