DateTime,AddedIPs,RemovedIPs
1557460155,54,28
1557462040,45,36
1557463956,52,29
1557465863,24,35
1557467778,27,42
1557469726,32,36
1557471768,45,49
1557473572,45,47
1557475569,32,76
1557477387,22,41
1557479337,42,39
1557481245,30,44
1557483161,34,41
1557485067,37,59
1557487242,41,45
1557489173,128,34
1557491085,50,36
1557493026,36,116
1557494916,39,34
1557496877,40,46
1557498750,30,55
1557500759,30,57
1557502858,34,46
1557504740,40,38
1557506652,30,113
1557508603,35,107
1557510530,32,31
1557512456,30,35
1557514337,15,37
1557516260,27,30
1557518175,32,26
1557520091,40,40
1557522055,56,51
1557523975,41,57
1557525881,27,33
1557528379,48,45
1557530200,33,39
1557532111,35,31
1557534047,41,32
1557535954,64,37
1557537902,77,946
1557539791,68,1262
1557541705,70,927
1557544823,108,119
1557546738,56,59
1557548653,59,55
1557550576,45,46
1557552489,54,25
1557554450,35,34
1557556344,47,30
1557558517,47,51
1557560418,39,51
1557562607,40,36
1557564495,47,24
1557566443,33,44
1557568975,53,48
1557570788,42,30
1557572720,44,35
1557574596,36,77
1557576506,38,103
1557578428,53,32
1557580354,42,34
1557582263,47,34
1557584194,42,32
1557586105,41,37
1557588022,696,21
1557590074,44,33
1557592096,37,37
1557594364,49,36
1557596211,44,27
1557598111,87,26
1557600272,61,21
1557602208,65,22
1557604142,64,37
1557606041,44,49
1557607947,28,40
1557609885,43,45
1557611786,57,37
1557613723,38,35
1557615777,78,42
1557617789,53,32
1557619698,55,48
1557621622,71,46
1557623801,58,89
1557625724,57,79
1557627617,55,67
1557629545,50,84
1557631480,46,64
1557633400,29,62
1557635301,39,54
1557637284,52,45
1557639140,50,52
1557641074,100,36
1557643218,214,42
1557645136,31,44
1557647083,41,30
1557648983,35,40
1557651164,42,56
1557653057,46,43
1557655007,49,41
1557656917,42,36
1557658918,27,41
1557660740,35,27
1557662711,37,41
1557664587,46,49
1557666502,590,49
1557668440,2494,40
1557670349,2189,34
1557672257,2722,37
1557674458,386,725
1557676361,35,36
1557678289,42,33
1557680183,52,33
1557682114,49,39
1557684053,36,65
1557685969,36,49
1557687930,33,46
1557690050,28,51
1557692207,33,37
1557694120,26,27
1557696056,47,37
1557697936,30,59
1557699852,50,27
1557702959,64,88
1557704913,31,58
1557706862,17,68
1557708760,35,42
1557710671,50,49
1557712600,20,54
1557714758,41,63
1557716774,22,47
1557718605,32,29
1557720509,25,23
1557722447,40,51
1557724375,26,44
1557726267,41,48
1557728202,37,169
1557730129,35,26
1557732044,35,32
1557733947,33,31
1557735876,28,35
1557737779,35,33
1557739733,43,47
1557741684,23,51
1557743575,38,35
1557745526,35,25
1557747390,32,34
1557749312,36,29
1557751224,45,41
1557753163,40,827
1557755067,49,2590
1557757011,45,2185
1557758864,48,2756
1557760844,48,99
1557762848,46,51
1557764676,36,43
1557766610,38,67
1557768532,44,55
1557770576,43,52
1557772598,28,45
1557774530,28,33
1557776416,30,129
1557778599,49,35
1557780499,30,40
1557782452,44,51
1557784335,38,32
1557786275,52,37
1557788202,35,51
1557790093,24,37
1557792068,32,25
1557793938,33,33
1557796128,37,52
1557798057,35,40
1557799962,40,38
1557801858,53,26
1557804062,37,37
1557805938,41,24
1557807863,49,51
1557809788,44,31
1557811732,50,33
1557813711,44,44
1557815558,38,37
1557817554,248,43
1557819641,54,39
1557821541,54,33
1557823758,56,38
1557825676,44,51
1557827557,52,28
1557829461,72,36
1557831419,56,29
1557833300,41,36
1557835259,59,43
1557837162,70,44
1557839085,49,39
1557840992,34,58
1557842926,116,51
1557845084,164,55
1557847006,105,40
1557848935,113,42
1557850842,146,43
1557852797,91,29
1557854659,70,39
1557856617,99,36
1557858507,98,25
1557860531,1911,23
1557862386,2804,21
1557864341,2937,27
1557866233,907,31
1557868142,90,32
1557870035,78,40
1557871966,88,40
1557873895,81,34
1557875828,115,24
1557877739,69,24
1557879652,86,26
1557881596,67,34
1557883472,79,25
1557885383,76,32
1557887313,83,38
1557889386,57,38
1557891395,75,29
1557893576,70,39
1557895497,86,33
1557897412,75,36
1557899313,84,36
1557901252,127,38
1557903160,76,68
1557905090,62,87
1557906978,55,47
1557908895,76,31
1557910845,145,45
1557912741,155,32
1557914745,125,48
1557916593,60,52
1557918533,56,44
1557920443,54,37
1557922345,65,54
1557924259,58,60
1557926183,58,32
1557928111,60,39
1557930055,56,63
1557931938,52,92
1557933914,56,62
1557935776,46,71
1557937694,53,72
1557939697,52,45
1557941566,50,42
1557943503,52,54
1557945408,91,231
1557947333,48,2173
1557949241,51,2843
1557951187,39,3085
1557953080,35,49
1557955004,63,66
1557956935,68,69
1557958844,45,65
1557960760,1182,67
1557962671,1112,69
1557964575,727,64
1557966525,74,74
1557968530,74,49
1557970391,43,56
1557972359,49,60
1557974216,56,59
1557976127,57,49
1557978054,52,53
1557979948,58,64
1557981860,64,69
1557984047,62,75
1557985961,59,72
1557987865,66,123
1557989775,63,64
1557991699,59,56
1557993636,60,61
1557995539,158,68
1557997561,170,160
1557999422,95,167
1558001593,83,106
1558003498,50,50
1558005390,59,68
1558007336,67,70
1558009298,48,59
1558011152,56,55
1558013071,53,62
1558015038,59,46
1558016948,70,56
1558018935,55,49
1558021020,65,68
1558022977,56,64
1558024839,69,43
1558026750,51,63
1558028669,68,40
1558030599,44,55
1558032517,49,111
1558034425,66,57
1558036355,50,50
1558038269,54,41
1558040210,45,38
1558042120,55,61
1558044064,68,74
1558045964,51,173
1558047934,50,1415
1558049796,59,1247
1558051743,47,254
1558053634,42,67
1558055576,54,70
1558057463,58,43
1558059387,49,58
1558061318,68,61
1558063230,49,62
1558065152,61,51
1558067076,70,73
1558069026,69,74
1558070911,82,210
1558072954,76,67
1558074982,55,78
1558077143,73,67
1558079053,66,50
1558080989,68,112
1558082897,58,189
1558084812,58,144
1558086766,52,56
1558088652,47,61
1558090579,66,52
1558092529,47,68
1558094501,48,70
1558096368,46,44
1558098340,52,71
1558100219,43,67
1558102136,67,62
1558104042,53,69
1558105953,66,62
1558107795,68,56
1558109797,104,70
1558111739,82,69
1558113872,48,63
1558115781,76,51
1558117703,48,45
1558119733,60,58
1558121547,44,65
1558123744,61,60
1558125620,70,64
1558127558,69,57
1558129460,49,58
1558131508,74,71
1558133846,64,66
1558135813,71,57
1558137913,79,65
1558139801,60,56
1558141743,57,50
1558143875,77,70
1558145817,69,59
1558148199,94,71
1558150110,62,57
1558152292,59,63
1558154432,69,82
1558156606,71,70
1558158552,68,87
1558160472,70,73
1558162558,71,81
1558164503,51,70
1558166579,59,86
1558168603,57,55
1558170494,55,57
1558172425,66,60
1558174344,53,59
1558176286,117,54
1558178177,112,55
1558180095,67,44
1558182047,60,58
1558183974,71,55
1558185856,58,44
1558187782,72,65
1558189737,70,39
1558191726,116,59
1558193538,71,54
1558195536,76,85
1558197410,56,99
1558199563,61,49
1558201455,84,75
1558203385,103,45
1558205544,77,59
1558207463,85,48
1558209389,85,51
1558211298,91,50
1558213317,70,56
1558215151,80,50
1558217063,71,51
1558219006,709,45
1558220938,79,47
1558222815,77,49
1558224741,60,61
1558226690,72,43
1558228583,63,55
1558230494,62,54
1558232434,82,48
1558234341,72,63
1558236258,63,49
1558238200,54,64
1558240111,45,49
1558242087,72,54
1558243961,65,54
1558245884,50,65
1558247780,67,55
1558249717,59,50
1558251658,51,33
1558253541,54,45
1558255463,83,48
1558257403,64,49
1558259310,80,46
1558261236,80,45
1558263146,56,125
1558265055,69,62
1558266998,60,45
1558268908,273,59
1558270859,49,45
1558272757,52,51
1558274690,58,34
1558276574,43,63
1558278776,69,81
1558280664,51,71
1558282521,48,61
1558284496,61,45
1558286428,53,63
1558288467,134,82
1558290512,2121,89
1558292487,2540,81
1558294346,2497,65
1558296332,1133,73
1558298172,73,72
1558300102,65,68
1558302055,48,72
1558304197,49,77
1558306100,53,730
1558308041,60,72
1558309954,72,80
1558311860,88,63
1558313800,44,72
1558315691,55,58
1558317724,50,71
1558319561,50,75
1558321764,60,87
1558323640,55,69
1558325578,56,67
1558327490,62,54
1558329652,66,66
1558331539,54,66
1558333482,62,58
1558335398,56,73
1558337319,55,60
1558339303,92,61
1558341164,64,70
1558343137,51,78
1558345004,77,72
1558346915,72,72
1558348836,54,61
1558350750,72,75
1558352687,81,62
1558354599,70,184
1558356766,62,54
1558358663,23,48
1558360603,31,53
1558362492,30,49
1558364431,36,61
1558366364,49,58
1558368285,39,61
1558370198,40,104
1558372106,29,68
1558374036,41,54
1558375953,40,565
1558377856,39,2938
1558379783,28,2365
1558381701,49,2777
1558383643,46,84
1558385556,43,92
1558387467,43,80
1558389403,39,69
1558391315,44,67
1558393266,43,85
1558395176,32,90
1558397083,43,98
1558398977,39,104
1558400898,34,74
1558402849,48,77
1558404744,48,75
1558406672,36,86
1558408607,46,78
1558410499,60,96
1558412454,30,107
1558414344,54,95
1558416258,611,86
1558418194,46,88
1558420114,40,79
1558422087,61,106
1558423945,37,81
1558425890,50,135
1558427793,151,130
1558429701,106,76
