DateTime,AddedIPs,RemovedIPs
1557408711,0,1
1557410735,5,4
1557412593,0,2
1557414532,0,5
1557416444,8,3
1557418602,0,1
1557420505,0,1
1557422475,0,1
1557424357,1,1
1557426507,3,3
1557428540,6,2
1557430377,1,3
1557432317,3,1
1557434213,1,2
1557436142,1,0
1557438027,18,4
1557439948,0,4
1557442395,2,2
1557444289,4,1
1557446186,4,2
1557448123,0,1
1557450095,1,1
1557451949,2,1
1557454137,1,30
1557456029,4,1
1557458244,2,1
1557460161,5,0
1557462042,0,3
1557463958,0,2
1557465865,1,1
1557467780,1,0
1557469729,2,3
1557471777,1,1
1557473772,0,2
1557475727,1,1
1557477611,0,2
1557479547,2,1
1557481464,2,0
1557483392,1,6
1557485306,2,0
1557487245,4,0
1557489176,3,3
1557491087,1,0
1557493028,3,1
1557494919,4,1
1557496897,1,1
1557498752,2,3
1557500769,3,0
1557502860,3,5
1557504742,3,0
1557506654,1,0
1557508606,1,0
1557510535,2,0
1557512458,2,1
1557514339,1,5
1557516262,1,0
1557518177,2,1
1557520097,5,3
1557522059,2,1
1557523977,1,19
1557525883,0,2
1557528382,1,2
1557530202,1,3
1557532113,1,2
1557534049,6,3
1557535957,2,1
1557537904,1,2
1557539794,2,0
1557541709,1,3
1557543775,21,5
1557545772,1,3
1557547715,5,2
1557549613,1,2
1557551533,2,0
1557553462,1,1
1557555373,1,5
1557557299,1,1
1557559221,1,1
1557561161,0,1
1557563057,5,1
1557564984,1,1
1557567020,3,4
1557568978,0,3
1557572725,0,1
1557574598,1,2
1557576510,1,1
1557578458,1,2
1557580356,2,1
1557582265,3,2
1557584196,3,1
1557586107,0,5
1557588025,0,1
1557590076,1,2
1557592098,5,3
1557594377,6,3
1557596213,3,2
1557598113,17,2
1557600274,2,1
1557602210,1,1
1557604145,11,2
1557606043,10,11
1557607949,1,2
1557609888,1,2
1557611788,2,4
1557613725,2,1
1557615779,3,0
1557617791,2,2
1557619700,0,8
1557621624,2,1
1557623803,2,2
1557625726,1,1
1557627619,0,1
1557629547,0,21
1557631482,1,4
1557633403,0,3
1557635304,1,3
1557637327,0,4
1557639145,2,1
1557641081,24,1
1557643220,162,1
1557645138,2,3
1557647085,1,2
1557648985,0,4
1557651166,1,3
1557653060,1,4
1557655010,5,1
1557656935,2,1
1557658923,1,1
1557662713,2,1
1557664593,0,2
1557666505,589,3
1557668442,2493,0
1557670351,2218,1
1557672260,2774,0
1557674460,364,0
1557678292,0,7
1557680186,3,1
1557682117,2,6
1557684080,2,0
1557685987,2,1
1557687932,1,0
1557690053,3,1
1557692210,0,1
1557694122,0,1
1557696062,4,2
1557697939,1,1
1557699857,16,0
1557702962,5,1
1557704915,0,2
1557708763,2,2
1557716778,2,2
1557720512,2,0
1557722452,4,0
1557724378,0,3
1557726269,5,1
1557728205,1,86
1557730131,0,1
1557732047,1,3
1557735879,1,0
1557737801,2,0
1557739736,4,1
1557741695,0,2
1557743577,0,4
1557745529,0,2
1557747393,5,1
1557749315,1,1
1557751226,1,0
1557753165,1,819
1557755069,0,2581
1557757013,0,2200
1557758869,2,2782
1557760850,3,64
1557762850,4,0
1557764679,1,0
1557766613,2,2
1557768534,3,1
1557770579,3,1
1557772600,5,2
1557774549,2,2
1557776418,3,105
1557778601,3,1
1557780501,3,0
1557782454,2,8
1557784337,0,3
1557786278,1,0
1557788204,1,1
1557790095,3,5
1557792071,2,0
1557793941,1,1
1557796130,1,1
1557798060,3,0
1557799966,1,0
1557801860,7,1
1557804065,1,0
1557805940,2,2
1557807865,2,3
1557809790,0,4
1557811734,0,3
1557813726,1,3
1557815563,3,0
1557817556,11,3
1557819643,5,0
1557821543,1,2
1557823761,5,4
1557825679,3,4
1557827560,5,3
1557829463,4,0
1557831422,4,2
1557833302,1,2
1557835261,2,3
1557837164,1,1
1557839092,1,0
1557840994,1,1
1557842928,3,0
1557845086,1,2
1557847008,2,2
1557848937,1,0
1557850844,3,1
1557852799,0,3
1557854661,3,3
1557856619,2,0
1557858512,3,4
1557860543,1843,0
1557862389,2804,1
1557864344,2929,1
1557866235,889,1
1557868147,1,4
1557870038,3,2
1557871968,2,1
1557873897,0,1
1557875834,3,3
1557877742,0,1
1557879657,1,0
1557881599,0,3
1557883474,2,0
1557885386,1,2
1557887315,2,6
1557889392,0,3
1557891398,4,3
1557893590,5,1
1557895499,0,1
1557897414,0,2
1557899316,2,2
1557901254,0,1
1557903162,0,5
1557905093,1,4
1557906980,1,6
1557908912,3,1
