DateTime,AddedIPs,RemovedIPs
1557462041,41,18
1557463958,40,17
1557465864,10,23
1557467779,10,22
1557469728,13,26
1557471776,22,34
1557473771,24,33
1557475571,7,42
1557477388,10,38
1557479339,17,27
1557481247,21,17
1557483163,12,14
1557485069,6,39
1557487244,11,37
1557489175,44,19
1557491087,16,21
1557493028,9,105
1557494918,14,16
1557496893,19,26
1557498752,14,29
1557500768,8,34
1557502860,12,30
1557504742,17,32
1557506653,18,19
1557508605,16,96
1557510535,18,23
1557512457,9,16
1557514339,5,25
1557516262,15,19
1557518177,26,15
1557520096,16,19
1557522059,42,26
1557523977,24,29
1557525883,23,17
1557528381,39,30
1557530201,22,21
1557532113,23,20
1557534049,23,20
1557535957,33,19
1557537904,31,12
1557539793,45,23
1557541709,48,22
1557543771,41,19
1557545771,43,32
1557547714,42,37
1557549612,30,42
1557551532,40,21
1557553461,25,13
1557555373,18,11
1557557299,17,14
1557559220,38,25
1557561161,17,18
1557563056,18,8
1557564984,27,13
1557567019,23,19
1557568977,20,17
1557570793,20,6
1557572725,26,11
1557574598,20,40
1557576508,22,13
1557578458,20,14
1557580356,21,6
1557582264,28,17
1557584196,18,12
1557586107,19,10
1557588025,691,7
1557590076,27,7
1557592097,24,13
1557594376,25,19
1557596213,26,8
1557598112,45,8
1557600274,42,8
1557602209,46,8
1557604144,39,24
1557606043,23,24
1557607949,14,28
1557609887,34,35
1557611787,26,19
1557613725,13,18
1557615779,27,33
1557617791,31,23
1557619699,28,22
1557621624,37,31
1557623802,38,37
1557625725,28,41
1557627619,36,46
1557629547,37,43
1557631481,26,43
1557633402,20,40
1557635303,19,37
1557637316,27,26
1557639144,23,37
1557641080,28,18
1557643220,18,20
1557645137,17,25
1557647085,26,21
1557648985,27,20
1557651166,27,29
1557653059,30,22
1557655010,31,17
1557656935,21,24
1557658922,18,28
1557660741,15,19
1557662713,21,21
1557664592,38,18
1557666504,21,27
1557668442,14,21
1557670351,20,18
1557672259,37,19
1557674460,30,726
1557676387,35,24
1557678291,35,20
1557680185,49,23
1557682116,38,26
1557684076,29,43
1557685971,17,34
1557687932,19,44
