DateTime,Entries,UniqueIPs
1557462041,1327,1327
1557463958,1350,1350
1557465864,1337,1337
1557467779,1325,1325
1557469728,1312,1312
1557471776,1300,1300
1557473771,1291,1291
1557475571,1256,1256
1557477388,1228,1228
1557479339,1218,1218
1557481247,1222,1222
1557483163,1220,1220
1557485069,1187,1187
1557487244,1161,1161
1557489175,1186,1186
1557491087,1181,1181
1557493028,1085,1085
1557494918,1083,1083
1557496893,1076,1076
1557498752,1061,1061
1557500768,1035,1035
1557502860,1017,1017
1557504742,1002,1002
1557506653,1001,1001
1557508605,921,921
1557510535,916,916
1557512457,909,909
1557514339,889,889
1557516262,885,885
1557518177,896,896
1557520096,893,893
1557522059,909,909
1557523977,904,904
1557525883,910,910
1557528381,919,919
1557530201,920,920
1557532113,923,923
1557534049,926,926
1557535957,940,940
1557537904,959,959
1557539793,981,981
1557541709,1007,1007
1557543771,1029,1029
1557545771,1040,1040
1557547714,1045,1045
1557549612,1033,1033
1557551532,1052,1052
1557553461,1064,1064
1557555373,1071,1071
1557557299,1074,1074
1557559220,1087,1087
1557561161,1086,1086
1557563056,1096,1096
1557564984,1110,1110
1557567019,1114,1114
1557568977,1117,1117
1557570793,1131,1131
1557572725,1146,1146
1557574598,1126,1126
1557576508,1135,1135
1557578458,1141,1141
1557580356,1156,1156
1557582264,1167,1167
1557584196,1173,1173
1557586107,1182,1182
1557588025,1866,1866
1557590076,1886,1886
1557592097,1897,1897
1557594376,1903,1903
1557596213,1921,1921
1557598112,1958,1958
1557600274,1992,1992
1557602209,2030,2030
1557604144,2045,2045
1557606043,2044,2044
1557607949,2030,2030
1557609887,2029,2029
1557611787,2036,2036
1557613725,2031,2031
1557615779,2025,2025
1557617791,2033,2033
1557619699,2039,2039
1557621624,2045,2045
1557623802,2046,2046
1557625725,2033,2033
1557627619,2023,2023
1557629547,2017,2017
1557631481,2000,2000
1557633402,1980,1980
1557635303,1962,1962
1557637316,1963,1963
1557639144,1949,1949
1557641080,1959,1959
1557643220,1957,1957
1557645137,1949,1949
1557647085,1954,1954
1557648985,1961,1961
1557651166,1959,1959
1557653059,1967,1967
1557655010,1981,1981
1557656935,1978,1978
1557658922,1968,1968
1557660741,1964,1964
1557662713,1964,1964
1557664592,1984,1984
1557666504,1978,1978
1557668442,1971,1971
1557670351,1973,1973
1557672259,1991,1991
1557674460,1295,1295
1557676387,1306,1306
1557678291,1321,1321
1557680185,1347,1347
1557682116,1359,1359
1557684076,1345,1345
1557685971,1328,1328
1557687932,1303,1303
1557690052,1282,1282
1557692209,1279,1279
1557694121,1274,1274
1557696061,1285,1285
1557697938,1275,1275
1557699857,1282,1282
1557702961,1321,1321
1557704914,1300,1300
1557706863,1281,1281
1557708762,1276,1276
1557710673,1265,1265
1557712601,1251,1251
1557714759,1228,1228
1557716777,1210,1210
1557718607,1220,1220
1557720511,1219,1219
1557722451,1213,1213
1557724377,1203,1203
1557726268,1193,1193
1557728204,1193,1193
1557730131,1217,1217
1557732046,1223,1223
1557733949,1224,1224
1557735878,1223,1223
1557737800,1220,1220
1557739735,1221,1221
1557741693,1203,1203
1557743576,1217,1217
1557745529,1213,1213
1557747392,1212,1212
1557749314,1223,1223
1557751226,1215,1215
1557753165,1221,1221
1557755069,1242,1242
1557757013,1252,1252
1557758868,1244,1244
1557760849,1249,1249
1557762850,1228,1228
1557764678,1208,1208
1557766612,1181,1181
1557768534,1157,1157
1557770578,1145,1145
1557772599,1135,1135
1557774532,1126,1126
1557776418,1128,1128
1557778601,1137,1137
1557780500,1140,1140
1557782453,1135,1135
1557784337,1143,1143
1557786277,1155,1155
1557788204,1139,1139
1557790095,1132,1132
1557792071,1135,1135
1557793940,1126,1126
1557796129,1113,1113
1557798059,1111,1111
1557799966,1106,1106
1557801860,1112,1112
1557804064,1110,1110
1557805939,1127,1127
1557807865,1137,1137
1557809790,1150,1150
1557811733,1169,1169
1557813724,1164,1164
1557815562,1166,1166
1557817556,1214,1214
1557819643,1225,1225
1557821542,1242,1242
1557823760,1247,1247
1557825679,1239,1239
1557827559,1251,1251
1557829462,1275,1275
1557831422,1292,1292
1557833301,1300,1300
1557835261,1290,1290
1557837164,1279,1279
1557839088,1275,1275
1557840993,1254,1254
1557842928,1247,1247
1557845085,1243,1243
1557847008,1239,1239
1557848937,1230,1230
1557850844,1231,1231
1557852799,1226,1226
1557854661,1225,1225
1557856619,1221,1221
1557858511,1233,1233
1557860540,1245,1245
1557862388,1249,1249
1557864343,1247,1247
1557866234,1237,1237
1557868145,1229,1229
1557870037,1211,1211
1557871967,1186,1186
1557873897,1186,1186
1557875834,1201,1201
1557877741,1220,1220
1557879656,1233,1233
1557881598,1236,1236
1557883473,1235,1235
1557885385,1228,1228
1557887315,1217,1217
1557889391,1218,1218
1557891397,1210,1210
1557893589,1199,1199
1557895498,1203,1203
1557897414,1189,1189
1557899315,1190,1190
1557901254,1232,1232
1557903162,1204,1204
1557905092,1176,1176
1557906979,1159,1159
1557908912,1165,1165
1557910853,1231,1231
1557912743,1320,1320
1557914753,1358,1358
1557916595,1334,1334
1557918534,1330,1330
1557920445,1331,1331
1557922347,1327,1327
1557924261,1322,1322
1557926185,1311,1311
1557928113,1308,1308
1557930056,1302,1302
1557931940,1294,1294
1557933916,1304,1304
1557935778,1309,1309
1557937695,1302,1302
1557939724,1312,1312
1557941568,1322,1322
1557943505,1335,1335
1557945413,1332,1332
1557947334,1320,1320
1557949245,1318,1318
1557951189,1315,1315
1557953082,1311,1311
1557955008,1314,1314
1557956936,1335,1335
1557958845,1329,1329
1557960761,1323,1323
1557962672,1327,1327
1557964576,1319,1319
1557966527,1326,1326
1557968553,1336,1336
1557970392,1337,1337
1557972361,1342,1342
1557974217,1344,1344
1557976128,1335,1335
1557978058,1347,1347
1557979949,1334,1334
1557981861,1318,1318
1557984052,1318,1318
1557985962,1315,1315
1557987866,1263,1263
1557989779,1263,1263
1557991701,1268,1268
1557993640,1274,1274
1557995544,1368,1368
1557997565,1378,1378
1557999427,1309,1309
1558001597,1281,1281
1558003502,1268,1268
1558005391,1255,1255
1558007338,1252,1252
1558009300,1246,1246
1558011154,1246,1246
1558013073,1249,1249
1558015040,1246,1246
1558016952,1244,1244
1558018949,1254,1254
1558021022,1241,1241
1558022979,1251,1251
1558024841,1255,1255
1558026754,1245,1245
1558028671,1261,1261
1558030610,1257,1257
1558032522,1259,1259
1558034427,1264,1264
1558036359,1271,1271
1558038273,1264,1264
1558040212,1275,1275
1558042123,1277,1277
1558044086,1278,1278
1558045966,1283,1283
1558047939,1274,1274
1558049798,1257,1257
1558051745,1237,1237
1558053636,1221,1221
