DateTime,Entries,UniqueIPs
1557462043,279,279
1557463960,279,279
1557465866,278,278
1557467781,273,273
1557469730,270,270
1557471781,265,265
1557473773,260,260
1557475728,260,260
1557477613,261,261
1557479549,261,261
1557481465,263,263
1557483394,271,271
1557485309,268,268
1557487246,273,273
1557489177,277,277
1557491089,271,271
1557493030,267,267
1557494920,263,263
1557496911,260,260
1557498754,263,263
1557500772,261,261
1557502862,255,255
1557504744,259,259
1557506656,253,253
1557508623,250,250
1557510552,248,248
1557512459,247,247
1557514341,248,248
1557516264,254,254
1557518178,248,248
1557520098,248,248
1557522061,241,241
1557523979,239,239
1557525885,236,236
1557528383,231,231
1557530203,233,233
1557532115,235,235
1557534051,236,236
1557535959,238,238
1557537908,246,246
1557539795,249,249
1557541711,250,250
1557543799,250,250
1557545774,251,251
1557547716,256,256
1557549614,253,253
1557551534,258,258
1557553463,261,261
1557555375,261,261
1557557301,266,266
1557559222,269,269
1557561163,267,267
1557563058,268,268
1557564986,266,266
1557567021,260,260
1557568979,263,263
1557570795,256,256
1557572726,244,244
1557574600,244,244
1557576513,244,244
1557578460,242,242
1557580358,243,243
1557582266,241,241
1557584198,239,239
1557586108,235,235
1557588026,231,231
1557590078,232,232
1557592099,226,226
1557594378,228,228
1557596215,228,228
1557598114,229,229
1557600275,227,227
1557602211,222,222
1557604147,221,221
1557606044,214,214
1557607951,216,216
1557609889,217,217
1557611789,223,223
1557613726,223,223
1557615781,227,227
1557617792,232,232
1557619701,233,233
1557621625,230,230
1557623804,225,225
1557625728,225,225
1557627620,223,223
1557629549,221,221
1557631483,218,218
1557633404,216,216
1557635308,221,221
1557637355,220,220
1557639371,220,220
1557641295,218,218
1557643222,216,216
1557645139,214,214
1557647087,216,216
1557648987,212,212
1557651168,214,214
1557653061,213,213
1557655012,209,209
1557656937,210,210
1557658926,215,215
1557660743,218,218
1557662715,213,213
1557664595,209,209
1557666506,206,206
1557668444,205,205
1557670353,204,204
1557672261,204,204
1557674462,210,210
1557676390,214,214
1557678293,220,220
1557680187,220,220
1557682118,221,221
1557684086,222,222
1557685989,221,221
