DateTime,AddedIPs,RemovedIPs
1557296895,1,0
1557302733,0,4
1557304612,1,0
1557308432,1,0
1557310370,1,1
1557319951,3,0
1557321858,0,2
1557323782,2,0
1557325646,0,2
1557327690,2,0
1557331545,0,1
1557333394,0,1
1557335324,0,1
1557337224,1,0
1557339119,0,1
1557344944,7,0
1557346843,0,1
1557348792,1,1
1557350698,1,0
1557352588,4,2
1557355562,1,0
1557357402,1,0
1557361334,3,0
1557363152,0,1
1557365102,2,0
1557369183,1,0
1557371374,1,3
1557375188,0,1
1557377108,0,1
1557379013,1,0
1557381169,1,0
1557383071,1,1
1557386940,2,0
1557390987,0,1
1557394833,1,1
1557397009,1,1
1557398943,2,0
1557404671,0,2
1557406602,2,1
1557408714,3,1
1557410738,2,0
1557412596,1,0
1557414535,0,2
1557416447,2,0
1557418605,1,0
1557422489,1,0
1557424360,2,1
1557426510,1,0
1557428544,1,0
1557430379,1,1
1557432322,3,6
1557434216,6,1
1557436145,9,1
1557438030,3,4
1557439951,0,1
1557442397,3,1
1557444292,1,1
1557446189,0,1
1557448126,0,2
1557450106,1,0
1557451952,0,2
1557456032,0,1
1557458247,1,1
1557460165,1,0
1557462045,1,0
1557463962,1,0
1557465868,0,2
1557467783,1,1
1557471785,0,1
1557473775,0,1
1557475730,1,0
1557477616,1,0
1557479551,1,0
1557481467,1,1
1557483396,1,1
1557485311,2,2
1557491090,1,0
1557493046,3,2
1557494922,2,2
1557496921,0,3
1557498756,1,1
1557502863,3,1
1557504745,1,1
1557508625,2,1
1557510554,2,3
1557518180,0,2
1557520100,1,7
1557522065,2,9
1557523981,2,4
1557528385,1,3
1557530205,0,2
1557534053,1,0
1557535960,0,1
1557537909,1,0
1557541713,2,0
1557543804,1,1
1557545775,0,1
1557547718,1,0
1557549616,1,2
1557551536,2,0
1557553464,0,1
1557557303,1,1
1557561164,0,1
1557563060,1,1
1557567023,4,1
1557568982,1,2
1557570797,1,1
1557572728,1,2
1557576515,1,0
1557578462,0,3
1557580359,2,3
1557582268,1,0
1557586110,1,1
1557588028,1,1
1557590079,0,1
1557594380,0,1
1557596216,0,2
1557598116,0,1
1557600277,1,0
1557602213,0,1
1557604149,2,0
1557606046,0,1
1557607952,1,1
1557609891,0,3
1557613728,1,1
1557615783,1,0
1557617794,1,0
1557621627,0,1
1557623806,2,1
1557625730,2,0
1557627622,4,2
1557631485,1,0
1557633406,0,1
1557635310,1,0
1557637365,1,1
1557639373,1,2
1557643224,0,2
1557647088,3,0
1557648988,1,1
1557651169,2,0
1557653063,2,4
1557655013,2,1
1557658929,1,2
1557660745,1,0
1557662717,1,0
1557664597,1,1
1557666508,0,1
1557668445,1,1
1557670355,2,0
1557672263,0,1
1557674464,0,1
1557676392,1,0
1557678295,1,0
1557680189,1,0
1557684088,1,0
1557685991,0,1
1557690072,2,2
1557692228,1,0
1557694125,0,1
1557697942,1,0
