DateTime,AddedIPs,RemovedIPs
1557460166,9,7
1557462046,9,6
1557463962,10,14
1557465869,16,20
1557467783,9,14
1557469732,10,10
1557471786,17,13
1557473775,10,11
1557475730,14,21
1557477617,12,8
1557479551,13,13
1557481468,8,12
1557483397,6,14
1557485312,14,22
1557487249,11,6
1557489179,35,11
1557491091,13,6
1557493047,8,10
1557494922,10,6
1557496923,10,7
1557498756,12,10
1557500774,14,10
1557502864,13,14
1557504746,13,13
1557506658,11,7
1557508626,12,14
1557510555,11,5
1557512462,16,13
1557514343,7,12
1557516266,4,9
1557518181,7,8
1557520100,16,5
1557522066,9,15
1557523996,15,8
1557525887,10,11
1557528386,5,10
1557530206,7,19
1557532117,13,9
1557534053,17,9
1557535961,25,12
1557537910,16,4
1557539797,21,10
1557541713,18,10
1557543805,17,11
1557545776,15,9
1557547718,17,10
1557549616,10,12
1557551536,12,15
1557553465,14,11
1557555376,16,8
1557557303,15,10
1557559224,9,14
1557561165,8,9
1557563060,9,17
1557564987,9,12
1557567023,10,11
1557568982,15,9
1557570797,18,7
1557572729,15,14
1557574602,13,31
1557576516,12,16
1557578462,17,12
1557580360,11,6
1557582268,7,7
1557584200,18,10
1557586111,11,16
1557588028,11,11
1557590080,12,17
1557592101,11,12
1557594380,17,13
1557596217,15,12
1557598116,14,14
1557600278,18,7
1557602213,14,5
1557604149,13,8
1557606046,17,13
1557607953,14,10
1557609891,12,15
1557611791,22,10
1557613728,20,7
1557615784,13,5
1557617795,11,10
1557619703,15,19
1557621628,11,18
1557623806,15,27
1557625730,37,21
1557627623,9,19
1557629551,25,17
1557631486,15,13
1557633406,15,17
1557635311,15,16
1557637366,26,13
1557639373,21,13
1557641299,18,12
1557643224,12,14
1557645141,11,13
1557647089,10,5
1557648989,7,7
1557651170,9,10
1557653063,19,14
1557655014,15,15
1557656939,14,14
1557658929,5,17
1557660745,11,8
1557662718,9,16
1557664598,8,18
1557666508,7,12
1557668446,11,7
1557670355,4,17
1557672263,12,11
1557674464,8,11
1557676392,11,12
1557678296,12,9
1557680190,11,15
1557682120,10,13
1557684088,13,18
1557685992,9,14
1557687936,12,12
1557690072,6,18
1557692229,10,14
1557694126,6,13
1557696066,8,14
1557697942,9,21
1557699861,15,17
1557702974,14,20
1557704919,4,14
1557706869,9,13
1557708766,6,6
1557710678,18,22
1557712606,5,32
1557714764,10,17
1557716784,7,25
1557718612,5,17
1557720517,8,12
1557722457,11,17
1557724382,6,21
1557726273,10,19
1557728209,7,12
1557730135,4,11
1557732050,11,12
1557733953,11,8
1557735883,3,8
1557737805,4,9
1557739740,8,23
1557741710,4,15
1557743581,12,13
1557745534,5,5
1557747397,9,11
1557749319,7,9
1557751230,14,7
1557753169,9,11
1557755088,11,9
1557757017,12,6
1557758873,8,11
1557760853,12,8
1557762854,12,11
1557764682,13,9
1557766629,7,11
1557768538,10,11
1557770586,7,12
1557772605,3,12
1557774553,10,8
1557776422,5,5
1557778605,15,10
1557780505,3,7
1557782458,9,8
1557784341,11,8
1557786281,10,15
1557788208,16,11
1557790099,7,8
1557792077,9,5
1557793944,10,10
1557796133,12,12
1557798063,10,10
1557799970,8,5
1557801864,14,11
1557804069,10,5
1557805943,8,8
1557807869,14,14
1557809794,13,10
1557811737,15,10
1557813731,9,9
1557815566,11,4
1557817560,57,12
1557819647,11,12
1557821547,10,5
1557823766,13,5
