DateTime,AddedIPs,RemovedIPs
1556756201,1,1
1556758389,1,1
1556760276,0,1
1556766167,0,1
1556779718,2,2
1556781784,1,1
1556783620,2,2
1556787435,0,1
1556793420,0,1
1556799167,1,0
1556811173,1,0
1556813102,1,1
1556815002,2,1
1556816909,0,1
1556818822,0,1
1556826521,1,0
1556836372,0,1
1556840212,3,2
1556842150,0,1
1556845944,2,0
1556853624,1,0
1556861303,1,0
1556867313,1,2
1556869252,0,6
1556871153,1,1
1556880793,1,0
1556884627,1,1
1556888685,2,0
1556890588,1,0
1556892783,3,0
1556898524,0,1
1556900425,0,2
1556902375,2,1
1556908139,3,0
1556911980,0,1
1556917728,1,0
1556925396,0,2
1556927310,1,0
1556929237,2,0
1556931165,0,1
1556933071,0,1
1556938965,2,0
1556940795,0,1
1556948439,0,1
1556952298,0,1
1556956144,1,1
1556958057,0,1
1556963795,2,0
1556967935,0,1
1556971663,0,1
1556975572,0,1
1556977491,1,1
1556979407,1,1
1556983251,0,1
1556988999,0,1
1556990926,0,1
1556992942,1,0
1556994776,0,3
1556996715,1,0
1556998608,1,0
1557000534,2,0
1557002445,2,0
1557004368,0,1
1557008227,1,0
1557012026,1,0
1557013970,0,1
1557015867,1,1
1557021764,1,0
1557025503,1,0
1557031242,2,0
1557033173,1,0
1557037007,1,0
1557042765,1,4
1557050549,0,1
1557060063,2,0
1557063867,1,2
1557065808,0,1
1557079365,0,1
1557085029,2,1
1557086940,0,1
1557088865,2,1
1557090781,0,1
1557092712,1,0
1557094611,1,1
1557098450,2,1
1557100347,1,0
1557102310,0,1
1557104203,1,0
1557108180,1,1
1557111922,3,1
1557114067,2,0
1557117882,1,2
1557119816,2,1
1557121709,1,0
1557125578,1,0
1557127479,2,0
1557129390,1,5
1557131329,1,0
1557134213,3,0
1557136127,1,0
1557138051,1,0
1557145702,0,2
1557149595,1,1
1557151772,2,0
1557153760,1,0
1557155585,1,0
1557163235,1,0
1557167088,2,0
1557169009,1,0
1557170934,0,1
1557174783,2,0
1557176713,0,1
1557178590,0,1
1557180551,0,1
1557184380,1,1
1557190980,4,1
1557193247,3,0
1557195203,0,1
1557197123,0,1
1557199016,2,2
1557200935,0,1
1557202863,1,0
1557204903,0,1
1557206915,0,2
1557209008,0,1
1557210976,1,1
1557214832,1,7
1557217005,1,1
1557218897,1,1
1557220832,0,2
1557222780,0,1
1557224715,1,2
1557226579,1,0
1557228541,1,0
1557230495,1,1
1557232378,3,0
1557234279,1,0
1557236221,1,0
1557238371,1,2
1557240273,0,1
1557242180,1,1
1557244112,2,0
1557249864,0,1
1557253695,0,2
1557255754,1,1
1557257780,1,0
1557259696,0,1
1557261611,0,1
1557265465,1,0
1557271209,0,1
1557276969,1,2
1557279149,2,1
1557281078,0,1
1557282989,1,0
1557286834,1,0
1557290658,1,0
1557300280,0,1
1557302195,1,7
1557306213,0,1
1557310113,1,0
1557312019,1,2
1557313952,1,0
1557315889,0,1
1557317801,1,3
1557319714,3,2
1557323554,0,2
1557325649,1,0
1557327715,0,1
1557329577,0,1
1557331549,0,1
1557335337,1,0
1557343030,0,2
1557344948,1,0
1557348796,2,0
1557350701,1,1
1557363155,0,1
1557365106,0,1
1557369192,0,1
1557373272,0,1
1557377112,1,1
1557385010,1,0
1557386944,2,0
1557389020,2,1
1557394843,1,0
1557397012,0,1
1557398947,2,0
1557400856,1,0
1557402805,0,1
1557406613,0,2
1557418616,1,0
1557420512,1,0
1557428548,3,4
1557430382,0,1
1557432327,0,1
1557434218,1,1
1557436148,0,1
1557438059,0,1
1557444294,1,0
1557451955,1,0
1557460169,1,0
1557463965,0,1
1557467785,0,2
1557471789,0,1
1557473777,1,2
1557475733,0,2
1557481470,1,1
1557483399,1,0
1557485314,0,2
1557487251,0,1
1557489182,2,0
1557504760,1,1
1557508628,1,0
1557510566,2,0
1557514346,1,3
1557516269,1,0
1557518183,1,0
1557520104,1,2
1557524015,1,0
1557528389,1,0
1557530208,0,1
1557532119,1,0
1557534056,1,0
1557537912,4,0
1557539800,2,0
1557541716,2,0
1557545778,1,1
1557549619,1,0
1557551539,2,0
1557555379,1,0
1557557306,0,1
1557561167,0,1
1557568985,0,1
1557574604,1,0
1557576518,0,1
1557588031,1,0
1557592103,2,1
1557594382,2,0
1557596219,1,2
1557598118,2,1
1557600279,0,1
1557602216,0,1
1557604151,0,1
1557606076,0,1
1557609893,0,1
1557611793,1,0
1557613730,2,0
1557615786,0,1
1557619705,0,1
1557623809,3,3
1557625732,0,1
1557627624,0,1
1557629552,1,1
1557631489,0,1
1557633408,0,1
