DateTime,Entries,UniqueIPs
1557138051,2429,2429
1557139945,2429,2429
1557141901,2426,2426
1557143784,2426,2426
1557145703,2425,2425
1557147717,2423,2423
1557149595,2424,2424
1557151773,2425,2425
1557153760,2426,2426
1557155585,2426,2426
1557157506,2427,2427
1557161331,2428,2428
1557165123,2429,2429
1557170934,2428,2428
1557178591,2427,2427
1557180552,2428,2428
1557182467,2429,2429
1557184381,2427,2427
1557188809,2426,2426
1557190980,2425,2425
1557195203,2423,2423
1557197123,2423,2423
1557200936,2421,2421
1557202863,2423,2423
1557204903,2264,2264
1557206916,1640,1640
1557209024,603,603
1557210977,47,47
1557212919,44,44
1557214832,45,45
1557218897,44,44
1557220832,39,39
1557222780,39,39
1557224716,38,38
1557226590,38,38
1557228542,38,38
1557232378,40,40
1557234286,41,41
1557236221,40,40
1557238371,39,39
1557240274,37,37
1557242180,36,36
1557244112,34,34
1557247941,33,33
1557249865,309,309
1557251787,1316,1316
1557253696,1680,1680
1557255759,1937,1937
1557257798,2367,2367
1557259696,2414,2414
1557263548,2415,2415
1557265465,2415,2415
1557269309,2413,2413
1557271210,2416,2416
1557275061,2416,2416
1557276970,2417,2417
1557282989,2417,2417
1557284900,2417,2417
1557288768,2415,2415
1557290658,2416,2416
1557294509,2414,2414
1557296437,2414,2414
1557300280,2413,2413
1557310113,2412,2412
1557312020,2414,2414
1557313953,2415,2415
1557317801,2418,2418
1557319715,2419,2419
1557321623,2420,2420
1557323554,2420,2420
1557327716,2418,2418
1557329578,2420,2420
1557333398,2421,2421
1557335337,2422,2422
1557337228,2424,2424
1557339122,2425,2425
1557346847,2424,2424
1557350701,2425,2425
1557352592,2424,2424
1557355566,2425,2425
1557357406,2426,2426
1557359275,2424,2424
1557361337,2424,2424
1557363156,2425,2425
1557365106,2425,2425
1557369193,2425,2425
1557371378,2424,2424
1557373273,2425,2425
1557377113,2425,2425
1557383074,2424,2424
1557385011,2426,2426
1557386944,2428,2428
1557390990,2342,2342
1557392950,1919,1919
1557394844,1208,1208
1557397013,40,40
1557398947,40,40
1557400857,38,38
1557404675,36,36
1557406613,36,36
1557410742,35,35
1557412599,36,36
1557414538,37,37
1557416450,36,36
1557418617,37,37
1557420512,40,40
1557422492,38,38
1557426513,38,38
1557430383,41,41
1557436149,41,41
1557438059,43,43
1557439954,45,45
1557442400,45,45
1557446192,46,46
1557448130,45,45
1557451955,45,45
1557454152,48,48
1557456035,47,47
1557460170,46,46
1557462049,46,46
1557463965,46,46
1557465871,47,47
1557469734,48,48
1557471789,50,50
1557473777,50,50
1557475734,52,52
1557479554,54,54
1557481470,57,57
1557483400,56,56
1557485314,55,55
1557489183,517,517
1557491094,1579,1579
1557493050,2262,2262
1557496928,2264,2264
1557500779,2264,2264
1557504761,2265,2265
1557506661,2264,2264
1557508629,2265,2265
1557510566,2264,2264
1557512465,2263,2263
1557514346,2265,2265
1557516269,2264,2264
1557518184,2265,2265
1557520104,2266,2266
1557522070,2268,2268
1557524016,2269,2269
1557525891,2269,2269
1557528390,2266,2266
1557530219,2268,2268
