DateTime,Entries,UniqueIPs
1557458251,2455,2455
1557460171,2444,2444
1557462049,2461,2461
1557463966,2452,2452
1557465871,2448,2448
1557467786,2454,2454
1557469735,2455,2455
1557471790,2447,2447
1557473778,2430,2430
1557475734,2432,2432
1557477621,2423,2423
1557479555,2416,2416
1557481471,2412,2412
1557483401,2408,2408
1557485315,2409,2409
1557487252,2395,2395
1557489183,2845,2845
1557491094,3880,3880
1557493050,5194,5194
1557494926,6471,6471
1557496929,7945,7945
1557498760,9304,9304
1557500779,10740,10740
1557502868,12318,12318
1557504762,13555,13555
1557506662,14933,14933
1557508630,16161,16161
1557510568,16749,16749
1557512466,16806,16806
1557514347,16905,16905
1557516270,16931,16931
1557518185,16915,16915
1557520105,16908,16908
1557522071,16896,16896
1557524017,16895,16895
1557525892,16885,16885
1557528391,16880,16880
1557530219,16883,16883
1557532121,16909,16909
1557534058,16919,16919
1557535966,16951,16951
1557537914,16968,16968
1557539801,16973,16973
1557541717,16956,16956
1557543812,16945,16945
1557545780,16922,16922
1557547723,16902,16902
1557549620,16891,16891
1557551540,16900,16900
1557553469,16910,16910
1557555380,16908,16908
1557557307,16919,16919
1557559228,16936,16936
1557561169,16943,16943
1557563064,16946,16946
1557564991,16949,16949
1557567038,16945,16945
1557568987,16934,16934
1557570826,16935,16935
1557572733,16916,16916
1557574606,16912,16912
1557576520,16069,16069
1557578466,14958,14958
1557580363,13624,13624
1557582272,12206,12206
1557584203,10838,10838
1557586114,9394,9394
1557588032,8048,8048
1557590083,6515,6515
1557592104,5223,5223
1557594383,3715,3715
1557596219,2687,2687
1557598119,2644,2644
1557600280,2507,2507
1557602217,2474,2474
1557604152,2461,2461
1557606077,2478,2478
1557607955,2504,2504
1557609894,2520,2520
1557611794,2532,2532
1557613731,2548,2548
1557615787,2535,2535
1557617798,2517,2517
1557619706,2498,2498
1557621630,2498,2498
1557623810,2489,2489
1557625733,2479,2479
1557627625,2474,2474
1557629553,2486,2486
1557631490,2501,2501
1557633409,2501,2501
1557635314,2501,2501
1557637369,2518,2518
1557639376,2552,2552
1557641302,2685,2685
1557643227,4818,4818
1557645143,6771,6771
1557647092,8979,8979
1557649008,10889,10889
1557651173,13096,13096
1557653067,13103,13103
1557655017,13106,13106
1557656942,13098,13098
1557658933,13098,13098
1557660748,13103,13103
1557662722,13112,13112
1557664602,13124,13124
1557666512,13627,13627
1557668450,13946,13946
1557670359,14483,14483
1557672267,16145,16145
1557674468,16618,16618
1557676395,16620,16620
1557678299,16614,16614
1557680194,16621,16621
1557682124,16630,16630
1557684092,16627,16627
1557686008,16634,16634
1557687941,16657,16657
1557690077,16668,16668
1557692234,16638,16638
1557694129,16638,16638
1557696070,16644,16644
1557697947,16650,16650
1557699865,16645,16645
1557702978,16638,16638
1557704922,16640,16640
1557706872,16637,16637
1557708770,16629,16629
1557710681,16632,16632
1557712618,16643,16643
1557714768,16647,16647
1557716789,16648,16648
1557718615,16659,16659
1557720520,16670,16670
1557722461,16663,16663
1557724386,16646,16646
1557726277,16638,16638
1557728213,16164,16164
1557730139,14561,14561
1557732054,13061,13061
1557733957,11681,11681
1557735886,10872,10872
1557737809,10414,10414
1557739744,11123,11123
1557741751,11560,11560
1557743585,11571,11571
1557745540,11563,11563
1557747400,11554,11554
1557749324,11557,11557
1557751234,11546,11546
1557753173,10786,10786
1557755092,10662,10662
1557757021,10649,10649
1557758877,10632,10632
1557760857,10624,10624
1557762858,10619,10619
1557764686,10626,10626
1557766641,10619,10619
1557768551,10618,10618
1557770606,10613,10613
1557772609,10605,10605
1557774557,10593,10593
1557776425,10169,10169
