DateTime,AddedIPs,RemovedIPs
1557458252,14,11
1557460175,5,4
1557462050,4,9
1557463967,0,3
1557465872,4,3
1557467787,4,5
1557469737,2,7
1557471791,4,4
1557473779,6,13
1557475735,1,9
1557477625,3,3
1557479556,7,7
1557481472,3,4
1557483421,3,7
1557485319,5,9
1557487253,2,7
1557489184,5,12
1557491095,7,7
1557493051,12,5
1557494927,10,5
1557496931,7,9
1557498761,8,8
1557500780,5,2
1557502869,4,5
1557504763,9,5
1557506663,6,8
1557508631,12,6
1557510571,10,6
1557512468,10,3
1557514348,21,4
1557516271,11,9
1557518186,5,8
1557520106,8,4
1557522073,4,7
1557524019,7,5
1557525893,6,8
1557528392,4,9
1557530221,5,5
1557532122,7,6
1557534059,11,11
1557535967,9,5
1557537915,9,7
1557539802,7,2
1557541718,3,2
1557543813,4,9
1557545781,4,11
1557547724,6,5
1557549621,8,0
1557551541,9,2
1557553470,5,3
1557555381,7,3
1557557308,10,1
1557559229,4,5
1557561170,2,3
1557563065,8,5
1557564992,8,2
1557567039,5,6
1557568988,5,5
1557570827,7,3
1557572734,9,4
1557574606,5,4
1557576521,6,7
1557578467,6,7
1557580365,5,7
1557582273,3,8
1557584204,5,6
1557586115,8,7
1557588033,6,6
1557590084,2,6
1557592105,9,6
1557594384,9,8
1557596220,7,13
1557598120,7,4
1557600281,6,28
1557602218,4,11
1557604153,3,7
1557606078,6,5
1557607956,8,5
1557609895,6,7
1557611795,0,8
1557613732,4,5
1557615788,7,1
1557617799,13,8
1557619707,9,8
1557621631,26,7
1557623811,7,14
1557625734,3,9
1557627626,7,4
1557629554,13,4
1557631491,8,4
1557633410,2,4
1557635317,7,6
1557637370,10,12
1557639377,5,5
1557641306,6,6
1557643228,8,8
1557645144,6,6
1557647093,10,4
1557649009,5,5
1557651174,6,8
1557653068,2,6
1557655018,4,5
1557656943,2,10
1557658934,4,8
1557660749,10,6
1557662723,4,6
1557664610,8,8
1557666513,2,5
1557668451,5,3
1557670360,7,4
1557672268,4,7
1557674469,6,9
1557676396,3,2
1557678300,6,9
1557680195,3,6
1557682125,3,8
1557684093,0,5
1557686009,9,10
1557687941,14,3
1557690078,10,7
1557692235,12,6
1557694131,5,9
1557696071,5,7
1557697963,8,0
1557699866,9,2
1557702979,8,13
1557704923,7,14
1557706874,4,26
1557708771,4,7
1557710682,5,4
1557712619,8,7
1557714769,4,9
1557716793,6,15
1557718617,4,2
1557720521,7,6
1557722478,7,6
1557724387,12,7
1557726278,10,6
1557728214,6,9
1557730140,6,6
1557732055,8,5
1557733958,6,11
1557735887,8,6
1557737812,4,5
1557739745,8,5
1557741756,5,1
1557743586,9,2
1557745541,3,7
1557747401,2,7
1557749325,9,5
1557751235,4,7
1557753174,5,2
1557755093,6,2
1557757022,4,6
1557758878,6,4
1557760858,6,7
1557762859,9,2
1557764687,7,4
1557766642,4,3
1557768553,4,3
1557770608,3,1
1557772612,8,12
1557774558,9,11
1557776426,10,9
1557778619,9,12
1557780509,5,4
1557782463,5,7
1557784346,5,7
1557786294,5,8
1557788213,6,8
1557790103,5,4
1557792116,4,4
1557793949,2,2
1557796138,5,8
1557798068,5,5
1557799991,6,5
1557801868,7,4
1557804073,5,6
1557805947,8,4
1557807873,6,9
1557809798,4,10
1557811741,7,9
1557813736,6,11
1557815570,1,4
1557817567,5,6
1557819651,7,10
1557821551,7,6
1557823771,4,7
1557825687,4,7
1557827573,3,3
1557829470,7,8
1557831430,3,6
1557833309,6,2
1557835300,10,8
1557837172,9,2
1557839145,11,4
1557841001,11,9
1557842936,8,5
1557845093,4,5
1557847015,13,6
1557848946,9,7
1557850851,4,7
1557852807,4,6
1557854668,6,5
1557856628,2,4
1557858533,6,6
1557860558,14,10
1557862397,11,9
1557864353,4,6
1557866243,5,6
1557868155,7,6
1557870046,8,7
1557871976,8,6
1557873906,9,4
1557875842,4,6
1557877750,3,2
1557879666,4,5
1557881607,8,3
1557883482,16,4
1557885410,7,4
1557887323,3,4
1557889401,8,11
1557891406,14,5
1557893598,10,8
1557895508,9,6
1557897439,4,8
1557899325,6,6
1557901282,7,2
1557903181,6,5
1557905118,6,4
1557906988,4,8
1557908920,4,6
1557910960,6,5
1557912979,3,2
1557915150,2,5
1557917061,6,7
1557919004,3,1
1557920934,3,7
1557922846,6,6
1557924763,5,11
1557926669,5,10
1557928577,9,5
1557930521,13,4
1557932535,14,10
1557934343,8,11
1557936264,11,4
1557938196,8,5
1557940144,9,6
1557942024,8,3
1557943968,9,3
1557945860,10,11
1557947819,8,10
1557949700,6,5
1557951658,9,5
1557953536,4,5
1557955496,10,7
1557957378,3,10
1557959292,12,7
1557961286,5,8
1557963174,5,2
1557965095,10,4
1557967034,11,8
1557968935,3,14
1557970863,4,12
1557972809,9,3
1557974666,8,8
1557976621,6,9
1557978517,11,7
1557980453,9,10
1557982340,3,7
1557984264,9,5
1557986188,8,7
1557988122,9,5
1557990135,7,8
1557991988,9,8
1557993970,5,4
1557995792,7,3
1557997946,4,6
1557999859,5,2
1558001786,5,2
1558004164,10,7
1558006098,3,3
1558008291,13,4
1558010206,6,7
1558012146,6,6
1558014021,5,5
1558015973,3,11
1558017864,12,7
1558019831,13,7
1558022990,6,15
1558024850,4,7
1558026764,5,8
1558028681,6,4
1558030620,9,6
1558032533,11,12
1558034437,9,6
1558036370,5,6
1558038283,6,7
1558040221,6,9
1558042132,9,7
1558044211,6,6
1558046481,7,10
1558048383,6,6
1558050279,1,9
1558052193,5,7
1558054656,4,8
1558056759,10,4
1558058750,5,6
1558060597,2,10
1558062512,5,7
1558064421,4,6
1558066373,3,8
1558068285,3,3
1558070202,7,3
1558072103,3,11
1558074032,5,8
1558075977,8,11
1558077879,7,6
1558079784,9,6
1558081720,10,6
1558083663,3,8
1558085554,6,2
1558087502,5,12
1558089415,4,4
1558091565,9,9
1558093491,7,6
1558095393,8,7
1558097304,0,8
1558099222,7,6
