DateTime,AddedIPs,RemovedIPs
1557458254,23,3
1557460177,16,12
1557462052,3,7
1557463969,8,15
1557465874,9,13
1557467804,21,14
1557469738,21,14
1557471793,27,11
1557473781,24,17
1557475737,25,13
1557477627,31,10
1557479557,18,7
1557481473,11,8
1557483423,12,8
1557485321,18,9
1557487255,15,3
1557489186,12,13
1557491098,18,10
1557493053,21,11
1557494929,20,9
1557496934,24,19
1557498763,17,21
1557500783,18,17
1557502871,21,12
1557504765,20,16
1557506665,14,16
1557508633,19,7
1557510573,12,10
1557512470,14,17
1557514350,12,12
1557516274,10,18
1557518188,15,12
1557520108,13,23
1557522076,22,16
1557524021,8,14
1557525896,14,19
1557528394,16,26
1557530223,13,18
1557532124,9,10
1557534061,8,11
1557535969,2,17
1557537918,9,10
1557539804,8,10
1557541720,9,15
1557543815,5,30
1557545783,7,20
1557547726,6,12
1557549623,10,8
1557551543,8,16
1557553471,13,8
1557555383,15,20
1557557310,2,20
1557559231,14,16
1557561172,6,27
1557563067,11,27
1557564994,7,24
1557567041,5,7
1557568990,3,11
1557570829,8,7
1557572737,6,19
1557574608,10,12
1557576522,7,10
1557578469,7,12
1557580366,7,16
1557582274,9,18
1557584206,10,20
1557586116,12,9
1557588035,6,20
1557590085,6,20
1557592107,7,20
1557594386,11,18
1557596222,6,16
1557598122,14,15
1557600283,15,25
1557602223,7,17
1557604154,11,17
1557606080,10,17
1557607958,11,25
1557609896,10,21
1557611796,7,18
1557613734,8,27
1557615790,10,22
1557617800,14,17
1557619709,12,17
1557621634,13,9
1557623813,8,17
1557625736,11,9
1557627628,7,15
1557629556,9,11
1557631493,28,9
1557633411,41,7
1557635318,48,8
1557637372,41,13
1557639379,37,12
1557641308,40,18
1557643230,44,3
1557645146,30,12
1557647094,34,7
1557649010,31,7
1557651176,7,7
1557653069,4,8
1557655020,3,2
1557656945,7,8
1557658936,6,6
1557660751,3,7
1557662726,9,5
1557664612,10,6
1557666514,8,5
1557668453,3,6
1557670361,5,10
1557672270,2,9
1557674471,3,7
1557676398,2,5
1557678302,0,4
1557680197,12,7
1557682127,8,9
1557684095,5,8
1557686010,10,7
1557687943,8,8
1557690080,9,9
1557692237,6,5
1557694133,5,10
1557696073,2,6
1557697965,5,7
1557699867,4,7
1557702981,10,12
1557704925,5,13
1557706876,3,14
1557708773,3,10
1557710684,1,12
1557712621,6,10
1557714771,5,10
1557716795,7,13
1557718619,3,15
1557720523,6,45
1557722480,5,38
1557724389,5,36
1557726280,11,37
1557728216,9,42
1557730142,6,50
1557732057,10,217
1557733960,81,226
1557735889,286,42
1557737815,10,2
1557739747,2,4
1557741759,15,5
1557743588,4,5
1557745543,3,8
1557747403,3,2
1557749329,7,15
1557751237,3,11
1557753176,6,7
1557755095,2,9
1557757024,3,6
1557758879,4,8
1557760860,7,6
