DateTime,AddedIPs,RemovedIPs
1558064919,4,6
1558065640,6,10
1558066359,7,4
1558067053,5,2
1558067767,5,0
1558068496,2,7
1558069464,4,11
1558070187,8,5
1558070890,6,3
1558071609,6,4
1558072356,5,7
1558073077,2,2
1558073805,9,4
1558074515,4,6
1558075233,8,3
1558075959,4,5
1558076677,4,6
1558077398,5,0
1558078115,6,8
1558078836,9,4
1558079568,5,4
1558080278,8,0
1558080974,5,10
1558081705,4,2
1558082436,5,6
1558083154,2,7
1558083886,3,10
1558084576,3,0
1558085291,8,7
1558086012,2,2
1558086757,3,10
1558087482,7,2
1558088196,4,8
1558088919,5,2
1558089609,3,0
1558090360,4,4
1558091077,4,5
1558091795,4,1
1558092518,3,4
1558093239,6,4
1558093931,5,9
1558094650,2,5
1558095375,6,5
1558096089,0,6
1558096842,4,9
1558097554,13,7
1558098282,0,3
1558098997,4,5
1558099724,6,4
1558100422,2,5
1558101153,9,10
1558102124,3,10
1558102806,6,0
1558103539,14,19
1558104249,6,0
1558104982,7,8
1558105690,6,0
1558106410,8,16
1558107386,8,0
1558108096,4,8
1558109199,13,9
1558110009,4,11
1558110733,7,3
1558111720,5,9
1558112427,6,5
1558113742,11,12
1558114659,5,2
1558115290,5,2
1558116025,6,1
1558116733,3,2
1558117455,8,10
1558118168,9,7
1558118895,7,1
1558119661,4,8
1558120334,2,10
1558121053,1,6
1558121769,4,10
1558122494,3,5
1558123229,10,6
1558123931,7,11
1558124654,5,8
1558125368,8,1
1558126093,9,3
1558126888,4,6
1558127540,8,6
1558128458,3,7
1558129238,5,13
1558130049,5,11
1558130779,9,0
1558131491,1,6
1558132362,7,22
1558134407,12,13
1558135340,10,23
1558136418,9,6
1558137117,3,6
1558137881,3,4
1558138570,13,11
1558139548,6,3
1558140255,5,9
1558141090,6,13
1558141712,6,4
1558142532,11,6
1558143500,15,16
1558144121,7,11
1558144839,6,13
1558145529,12,0
1558146251,4,26
1558146969,8,0
1558148180,18,13
1558148911,5,4
1558149630,9,6
1558150352,2,5
1558151180,8,4
1558151790,6,7
1558152513,2,4
1558153237,3,5
1558154055,5,7
1558154668,0,5
1558155391,3,6
1558156111,5,13
1558156836,6,7
1558157543,1,11
1558158246,7,4
1558158970,6,3
1558159690,3,5
1558160437,6,3
1558161134,3,0
1558161958,7,4
1558162821,8,4
1558163530,3,5
1558164254,2,6
1558164968,3,3
1558165692,5,8
1558166434,8,4
1558167134,5,6
1558167852,2,5
1558168579,8,6
1558169293,13,2
1558170024,6,3
1558170733,5,2
1558171452,3,5
1558172173,5,9
1558172896,3,5
1558173613,8,6
1558174334,6,10
1558175049,6,3
1558175785,1,4
1558176489,2,7
1558177213,4,1
1558177943,2,4
1558178654,8,7
1558179614,1,4
1558180327,4,5
1558181059,4,9
1558181783,6,2
1558182513,11,3
1558183229,4,0
1558183952,5,9
1558184689,9,7
1558185390,3,0
1558186111,3,6
1558186833,5,6
1558187553,6,0
1558188270,5,7
1558188992,6,6
1558189707,5,3
1558190440,5,4
1558191148,1,7
1558191851,3,2
1558192573,8,6
1558193294,9,8
1558194010,4,6
1558194729,7,12
1558195454,2,0
1558196173,4,6
1558196890,10,3
1558197609,3,4
1558198333,6,6
1558199059,5,10
1558199773,3,0
1558200492,6,8
1558201210,10,2
1558201934,6,5
1558202652,5,4
1558203375,4,6
1558204088,8,5
1558204819,5,12
1558205535,5,27
1558206254,2,3
1558206974,4,8
1558207693,5,3
1558208412,6,10
1558209136,6,6
1558209853,3,3
1558210576,0,10
1558211288,2,7
1558212010,2,6
1558212740,4,8
1558213724,8,10
1558214679,10,4
1558215391,5,1
1558216114,5,8
1558216836,3,5
1558217558,7,4
1558218272,6,5
1558218992,6,16
1558219709,5,0
1558220444,3,0
1558221132,8,9
1558221853,1,11
1558222569,7,0
1558223293,5,3
1558224024,6,2
1558225236,18,14
1558225952,3,9
1558226676,6,3
1558227386,4,0
1558228120,6,7
1558228826,10,0
1558229562,8,10
1558230253,9,15
