DateTime,AddedIPs,RemovedIPs
1556888605,0,1
1556890972,0,1
1556892896,1,0
1556894304,2,2
1556895596,0,1
1556897603,0,2
1556900925,0,2
1556903133,1,2
1556906203,0,2
1556907348,0,2
1556910948,0,2
1556912441,0,2
1556914256,1,2
1556916176,0,1
1556920591,1,0
1556925272,2,0
1556926117,1,0
1556927372,0,1
1556928879,1,1
1556931956,2,3
1556934689,1,0
1556935848,1,0
1556937945,1,0
1556940350,1,0
1556941555,1,1
1556943050,1,0
1556944131,1,0
1556947729,1,0
1556948946,0,2
1556950093,0,1
1556952168,0,1
1556955754,0,1
1556958946,1,0
1556960147,1,0
1556961350,1,1
1556962970,0,2
1556963802,1,0
1556964932,0,2
1556966449,1,0
1556967949,1,2
1556969468,2,588
1556970580,0,1
1556971740,1,0
1556979041,1,0
1556980531,1,1
1556982362,1,0
1556984743,0,10
1556986243,1,1
1556987479,1,3
1556989302,1,0
1556990077,2,0
1556998124,1,0
1557000888,1,1
1557002452,1,1
1557004542,0,2
1557006172,1,1
1557007848,3,1
1557009272,0,2
1557015272,1,0
1557018357,4,1
1557020575,4,6
1557022517,3,0
1557024195,0,1
1557025553,1,0
1557027773,1,0
1557031412,0,2
1557036599,1,0
1557038158,2,1
1557039402,0,1
1557040533,1,0
1557049006,0,1
1557051343,1,1
1557058000,1,1
1557061535,0,1
1557064763,1,1
1557065959,1,0
1557068761,0,1
1557072235,1,6
1557074568,2,1
1557075392,2,0
1557076549,1,0
1557083677,0,1
1557086184,1,0
1557089809,1,0
1557090962,0,1
1557094481,2,0
1557096159,1,3
1557097540,1,0
1557100242,0,1
1557101693,1,2
1557103405,1,0
1557104192,1,0
1557105282,1,2
1557106137,1,0
1557108648,1,0
1557110563,0,1
1557111949,0,1
1557114174,0,1
1557117097,0,1
1557117791,2,0
1557124458,1,0
1557127732,1,0
1557128561,0,1
1557130244,2,1
1557136592,0,1
1557137745,0,2
1557139363,1,2
1557140741,0,1
1557142964,0,1
1557145667,1,0
1557150629,2,1
1557153073,0,1
1557154234,1,0
1557157362,1,1
1557159292,5,0
1557160957,0,2
1557162886,1,0
1557165036,1,0
1557168185,0,2
1557171761,1,1
1557173672,2,0
1557175665,1,1
1557176868,2,0
1557178242,1,3
1557180893,1,1
1557182148,1,0
1557192525,4,5
1557200783,2,6
1557204895,1,2
1557211182,1,0
1557213077,0,1
1557217736,1,0
1557220289,1,0
1557222820,1,0
1557225026,2,0
1557226253,2,1
1557229803,1,1
1557235116,1,0
1557238308,0,1
1557240282,1,0
1557243880,0,9
1557247280,3,2
1557249061,0,1
1557250199,1,0
1557252669,1,0
1557256257,2,1
1557257840,3,0
1557259747,1,0
1557262352,1,1
1557263769,1,0
1557265433,1,3
1557269471,0,1
1557272656,2,3
1557274276,0,1
1557277433,1,2
