DateTime,AddedIPs,RemovedIPs
1557279944,175,91
1557283116,253,117
1557286318,179,178
1557287498,111,44
1557289566,162,162
1557290821,102,80
1557292002,56,216
1557293170,75,0
1557295448,173,200
1557296772,93,1
1557298114,81,122
1557301436,215,275
1557302985,88,93
1557304545,107,1
1557307032,199,179
1557309249,554,36
1557311123,171,87
1557312344,278,304
1557315522,346,1
1557317546,124,126
1557319148,70,132
1557321342,150,160
1557322678,94,94
1557324865,153,316
1557326617,89,138
1557328192,94,95
1557330497,175,0
1557331985,105,103
1557334487,135,341
1557336598,103,2
1557338961,152,319
1557341719,156,165
1557343912,155,88
1557345312,81,152
1557346523,75,104
1557348163,98,127
1557349760,111,63
1557357329,458,278
1557366171,534,162
1557370642,201,370
1557371826,46,242
1557373094,58,0
1557374779,109,205
1557376087,96,0
1557378855,166,181
1557380149,77,0
1557382341,203,50
1557383973,109,86
1557385244,58,86
1557388725,216,256
1557390012,113,232
1557391783,156,1
1557393784,116,91
1557395244,72,339
1557397479,138,78
1557399324,188,147
1557402159,181,254
1557403629,82,1
1557405410,86,0
1557407283,113,265
1557409356,138,27
1557411252,120,106
1557413345,103,165
1557414954,72,275
1557416140,67,0
1557417471,86,0
1557418941,101,141
1557420164,66,361
1557421694,94,2
1557425551,166,320
1557427888,261,54
1557429457,99,179
1557431944,134,396
1557433064,71,1
1557435534,137,285
1557437747,114,70
1557439080,64,0
1557442241,165,330
1557443998,79,62
1557447357,170,233
1557448972,72,158
1557451132,125,70
1557452470,52,0
1557454021,94,254
1557455531,98,0
1557460303,264,395
1557461437,83,67
1557462858,94,0
1557464249,62,0
1557465816,105,287
1557468853,239,231
1557470605,108,149
1557471769,74,0
1557476051,243,351
1557477457,127,0
1557478567,84,0
1557479923,73,72
1557481230,81,60
1557484007,136,562
1557485405,89,857
1557487620,213,0
1557490558,208,284
1557492208,134,203
1557493970,134,99
1557497090,271,217
1557498449,111,2
1557499801,118,173
1557501686,121,97
1557503164,122,0
1557505915,185,145
1557509704,266,208
1557511637,98,329
1557513139,234,1
1557514785,330,142
1557516510,175,72
1557519691,192,262
1557521390,154,135
1557523139,132,78
1557525015,100,168
1557526342,90,0
1557530718,616,146
1557533481,176,327
1557535482,128,143
1557537170,164,61
1557540565,256,20
1557541840,147,53
1557545006,238,280
1557546755,109,149
1557548141,57,86
1557551171,151,133
1557556296,278,250
1557557453,49,236
1557562670,374,367
1557565556,142,25
1557568216,136,152
1557569388,124,314
1557570699,152,0
1557572262,83,153
1557573967,103,63
1557576413,113,105
1557582071,328,237
1557585910,270,215
1557587739,121,242
1557589324,81,170
1557591165,90,89
1557593027,97,95
1557597530,260,233
1557602020,314,141
1557605656,280,364
1557607560,242,136
1557609597,131,53
1557611592,127,0
1557614654,146,143
1557616172,80,264
1557626230,549,338
1557628526,140,94
1557630223,70,296
1557632160,79,1
