DateTime,AddedIPs,RemovedIPs
1557259733,41,63
1557262339,68,98
1557263753,50,5
1557265419,58,107
1557267338,43,7
1557269459,29,108
1557272639,85,45
1557274261,19,14
1557275870,41,5
1557277418,23,54
1557280040,40,11
1557283550,74,107
1557286415,30,12
1557287588,50,14
1557289657,78,71
1557290953,34,26
1557292267,15,40
1557293506,49,6
1557295566,91,76
1557296953,25,12
1557298219,20,38
1557301537,65,90
1557303238,22,34
1557304631,28,6
1557307124,70,87
1557309398,18,18
1557311215,75,33
1557312432,129,104
1557315686,95,103
1557317651,57,49
1557319258,18,66
1557321505,62,35
1557323012,48,39
1557324987,46,39
1557326714,24,47
1557328304,30,34
1557330587,67,7
1557332156,54,65
1557334583,52,115
1557336721,33,8
1557338117,57,13
1557341809,86,132
1557344003,46,45
1557345487,23,50
1557346620,37,37
1557348250,50,40
1557349966,51,13
1557357439,177,109
1557366260,220,107
1557370730,40,142
1557371953,7,80
1557373367,12,53
1557374893,33,42
1557376185,16,8
1557378982,50,46
1557380253,40,2
1557382452,70,24
1557384545,17,28
1557385828,21,29
1557388829,67,69
1557390126,60,52
1557391893,78,5
1557393874,42,20
1557395336,24,78
1557397589,40,16
1557399455,115,40
1557402263,79,73
1557403759,33,4
1557405544,22,6
1557407413,44,69
1557409502,72,11
1557411383,29,11
1557413445,22,50
1557415128,15,59
1557416247,7,2
1557417559,25,1
1557419039,32,68
1557420255,31,116
1557421801,31,3
1557425754,48,69
1557427978,90,16
1557429546,28,64
1557432041,36,93
1557435828,41,147
1557437834,47,8
1557439252,28,3
1557442340,62,98
1557444095,30,14
1557447445,80,56
1557449065,23,30
1557451225,46,18
1557452583,32,2
1557454241,28,64
1557455633,22,6
1557460396,100,149
1557461680,63,16
1557463086,34,5
1557464350,19,3
1557465920,51,120
1557468970,130,56
1557470749,42,42
1557472092,34,4
1557476197,69,99
1557477579,64,2
1557478766,39,2
1557480046,8,6
1557481381,29,16
1557484140,57,101
1557485517,29,149
1557487711,137,8
1557490650,69,78
1557492301,56,80
1557494139,53,35
1557497221,109,54
1557498541,36,7
1557499901,59,57
1557501814,45,49
1557503255,44,2
1557506001,60,60
1557509793,100,66
1557511788,29,130
1557513344,21,5
1557515079,15,56
1557516653,21,3
1557519875,44,115
1557521494,67,30
1557523308,51,24
1557525106,42,67
1557526445,37,7
1557530815,184,123
1557533566,61,125
1557535578,52,73
1557537256,60,25
1557540676,99,2
1557541982,88,15
1557545186,112,57
1557546843,53,25
1557548234,28,33
1557551255,39,58
1557556391,99,87
1557557539,20,49
1557562780,128,169
1557565644,36,8
1557568429,55,49
1557570169,62,139
1557572346,41,60
1557574054,40,27
1557576516,37,31
1557582250,115,112
1557585997,76,42
1557587823,41,42
1557589404,20,58
1557591249,29,26
1557593110,34,17
1557597702,128,94
1557602197,74,57
1557605741,100,74
1557607644,57,55
1557609759,40,24
1557611673,64,6
1557614745,51,52
1557616264,25,97
1557626314,177,128
1557628612,70,27
1557630335,31,108
1557632243,24,3
1557636013,114,84
1557640602,93,219
1557647832,131,162
1557649317,14,5
1557651665,61,35
1557652871,35,7
1557654548,22,44
1557655892,15,95
1557657375,18,6
1557659127,67,152
1557660439,22,0
1557662351,20,3
1557664652,50,66
1557666831,30,166
1557668686,30,55
1557671751,72,63
1557673808,72,42
1557675970,39,11
1557677884,22,61
1557679095,34,12
1557681585,58,115
1557687852,83,32
1557689412,13,22
1557690645,4,9
1557691777,18,113
1557698647,119,158
1557701082,30,13
1557707367,121,185
1557711009,92,143
1557714942,90,206
1557716606,49,92
1557718599,70,3
1557720257,25,39
