DateTime,AddedIPs,RemovedIPs
1557256252,4,6
1557257836,0,36
1557259742,3,6
1557262348,4,2
1557263764,3,1
1557265428,39,4
1557267348,11,1
1557269467,4,3
1557272651,5,2
1557274271,10,5
1557275880,2,17
1557277428,1,10
1557280047,1,19
1557283568,5,12
1557286443,4,3
1557287598,5,5
1557289666,3,1
1557290971,3,0
1557292321,7,7
1557293533,6,4
1557295592,4,12
1557296956,5,3
1557298232,1,3
1557301547,4,10
1557303243,1,1
1557304639,1,4
1557307135,2,6
1557309417,1607,2
1557311226,124,70
1557312443,64,131
1557315705,6,148
1557317664,5,31
1557319269,2,24
1557321519,7,56
1557323031,1,32
1557324997,5,44
1557326729,3,26
1557328312,3,32
1557330595,4,50
1557332160,4,36
1557334597,2,40
1557336734,1,22
1557338128,2,12
1557341817,8,35
1557344014,8,59
1557345496,1,24
1557346630,5,8
1557348258,4,10
1557349974,6,15
1557357448,15,69
1557366269,8,65
1557370739,9,39
1557371969,4,10
1557373379,2,7
1557374936,1,18
1557376196,7,5
1557378993,8,14
1557380263,4,13
1557382462,6,20
1557384570,5,14
1557385844,9,12
1557389042,6,43
1557390270,3,14
1557391903,0,12
1557393884,3,12
1557395345,5,8
1557397599,5,15
1557399471,1,9
1557402277,4,18
1557403768,3,6
1557405815,3,6
1557407429,5,8
1557409525,3,9
1557411396,5,7
1557413461,5,14
1557415143,4,13
1557416262,3,4
1557417568,4,10
1557419048,2,7
1557420269,1,6
1557421811,2,6
1557425773,8,15
1557427987,3,14
1557429554,5,13
1557432065,4,10
1557435841,10,15
1557437843,1,13
1557439280,2,3
1557442351,3,15
1557444103,8,7
1557447454,6,15
1557449074,2,9
1557451237,4,6
1557452601,2,3
1557454251,2,5
1557455661,5,6
1557460406,7,14
1557461691,4,3
1557463095,5,4
1557464359,6,4
1557465935,2,4
1557468981,2,8
1557470764,4,7
1557472121,0,3
1557476210,8,6
1557477590,2,5
1557478775,2,4
1557480061,4,5
1557481397,4,4
1557484155,6,404
1557485529,5,152
1557487720,7,4
1557490658,9,5
1557492313,10,2
1557494158,4,5
1557497238,4,10
1557498548,1,4
1557499918,2,1
1557501834,3,2
1557503264,2,1
1557506009,9,5
1557509803,12,7
1557511814,9,6
1557513363,3,18
1557515099,6,4
1557516672,5,5
1557519889,5,4
1557521509,9,1
1557523315,3,1
1557525115,1,3
1557526462,0,1
1557530823,9,11
1557533575,4,13
1557535586,6,9
1557537264,1,5
1557540826,10,8
1557541991,4,0
1557545202,2,1
1557546853,3,4
1557548242,1,2
1557551262,10,9
1557556403,13,10
1557557548,5,4
1557562828,9,7
1557565654,7,3
1557568430,4,3
1557570177,6,6
1557572354,7,5
1557574062,2,0
1557576529,8,6
1557582257,5,7
1557586004,12,12
1557587832,8,6
1557589412,3,6
1557591258,4,12
1557593122,2,3
1557597706,12,9
1557602206,4,4
1557605751,6,9
1557607654,3,7
1557609762,3,2
1557611680,4,3
1557614761,11,5
1557616279,5,4
1557626321,26,20
1557628622,10,5
1557630356,4,4
1557632252,4,3
1557636022,8,6
1557640610,14,10
1557647841,4,23
1557649332,2,6
1557651686,12,4
1557652879,1,1
1557654555,2,5
1557655900,7,2
1557657385,3,1
1557659159,0,3
1557660447,6,1
1557662359,3,6
1557664659,5,6
1557666843,4,7
1557668695,4,3
1557671771,2,11
1557673819,1,2
1557675973,5,3
1557677892,10,2
1557679103,1,0
1557681593,2,8
1557687868,5,9
1557689424,9,3
1557690664,2,4
1557691785,0,6
1557698660,14,12
1557701090,3,2
1557707375,12,11
1557711020,12,6
1557714951,12,7
1557716615,5,4
1557718609,5,6
1557720279,4,4
1557722206,5,4
1557727282,10,7
1557728755,5,3
1557730769,3,2
1557732060,5,2
1557735669,7,5
1557738628,10,5
1557740210,3,0
1557742280,8,9
1557743845,0,2
1557746096,3,4
1557747366,4,1
1557748507,1,3
1557750234,6,2
1557751686,6,4
1557753203,6,5
1557754634,3,5
1557755835,2,8
1557757615,1,5
1557761548,5,5
1557762949,3,6
1557765066,8,4
1557766612,0,5
1557772709,14,8
1557774040,5,4
1557776805,6,9
1557778989,3,2
1557782557,7,6
1557785194,7,11
1557787491,3,9
1557790312,7,7
1557792563,4,5
1557794913,4,7
1557797072,5,5
1557802006,8,17
1557803752,6,4
1557805088,1,2
1557807000,10,10
1557808604,4,5
1557809929,4,5
