DateTime,AddedIPs,RemovedIPs
1557259694,192,37
1557262290,77,109
1557263705,37,4
1557265380,50,125
1557267287,49,20
1557269418,43,91
1557272600,67,89
1557274216,32,43
1557275828,66,5
1557277185,82,61
1557279991,133,45
1557283211,128,59
1557286370,80,91
1557287547,39,25
1557289614,45,66
1557290880,25,33
1557292095,21,103
1557293458,26,7
1557295498,45,79
1557296873,45,9
1557298167,34,47
1557301483,90,120
1557303121,43,45
1557304591,43,2
1557307078,65,55
1557309299,45,1186
1557311174,105,162
1557312392,176,168
1557315626,204,16
1557317602,71,44
1557319202,54,34
1557321433,94,81
1557322728,62,65
1557324933,92,128
1557326671,59,42
1557328252,54,39
1557330544,90,9
1557332076,62,29
1557334543,93,112
1557336656,54,5
1557338073,39,23
1557341769,96,154
1557343959,118,34
1557345411,52,53
1557346577,30,37
1557348210,39,47
1557349861,42,28
1557357394,192,140
1557366220,206,47
1557370689,116,141
1557371877,28,78
1557373142,28,2
1557374837,58,64
1557376140,30,10
1557378920,57,82
1557380204,34,6
1557382401,118,22
1557384324,64,37
1557385717,35,38
1557388774,79,74
1557390073,37,69
1557391849,49,3
1557393832,55,43
1557395295,33,120
1557397532,56,37
1557399384,57,49
1557402210,65,87
1557403700,32,4
1557405488,40,9
1557407349,48,99
1557409410,50,19
1557411322,53,31
1557413395,46,55
1557415052,41,112
1557416204,37,6
1557417518,41,8
1557418996,39,34
1557420214,23,109
1557421755,39,7
1557425670,65,129
1557427936,138,27
1557429505,49,82
1557431990,55,211
1557435581,87,110
1557437794,40,20
1557439127,24,9
1557442288,63,143
1557444054,35,41
1557447404,69,128
1557449021,47,101
1557451179,52,46
1557452531,16,4
1557454122,43,81
1557455580,35,5
1557460354,98,136
1557461637,23,24
1557462933,26,5
1557464302,26,11
1557465870,34,97
1557468914,67,104
1557470688,42,60
1557472031,26,2
1557476132,75,135
1557477517,33,2
1557478715,26,3
1557479982,27,39
1557481294,21,26
1557484058,33,65
1557485466,32,100
1557487667,50,12
1557490607,87,110
1557492258,46,80
1557494039,41,45
1557497171,82,79
1557498497,38,5
1557499854,32,65
1557501733,35,35
1557503211,34,2
1557505960,44,59
1557509749,89,95
1557511726,31,118
1557513204,211,11
1557514846,293,65
1557516556,136,46
1557519801,86,76
1557521437,36,63
1557523230,46,37
1557525068,38,75
1557526398,27,4
1557530767,92,54
1557533527,110,114
1557535535,70,50
1557537217,75,26
1557540622,101,24
1557541894,19,28
1557545096,56,125
1557546803,26,54
1557548188,21,27
1557551217,73,51
1557556346,108,150
1557557496,27,99
1557562716,112,108
1557565605,51,25
1557568324,46,69
1557570126,171,93
1557572309,40,50
1557574014,29,24
1557576458,34,55
1557582157,80,82
1557585957,86,100
1557587784,34,96
1557589367,32,55
1557591210,44,48
1557593072,35,36
1557597622,76,77
1557602154,176,50
1557605699,132,130
1557607603,173,40
1557609696,80,20
1557611636,41,10
1557614701,50,51
1557616217,26,98
1557626276,232,140
1557628574,36,39
1557630278,19,98
1557632205,35,5
1557635971,47,47
1557640564,91,127
1557647795,158,136
1557649278,40,8
1557651611,42,40
1557652825,29,28
1557654511,23,32
1557655853,22,73
1557657321,14,5
1557659058,19,63
1557660403,17,11
1557662304,46,8
1557664613,51,34
1557666786,41,115
1557668646,76,54
1557671707,96,30
1557673768,116,56
1557675881,35,15
1557677840,42,46
1557679054,17,23
1557681547,53,119
1557687624,132,174
1557689370,74,63
1557690547,35,29
1557691737,26,103
1557698414,179,128
1557701044,48,34
1557707328,139,159
1557710964,65,116
1557714899,68,75
1557716347,30,50
1557718552,55,19
1557720036,26,46
1557722151,37,31
1557727157,115,119
1557728700,30,12
1557730715,33,69
1557731981,27,32
1557735613,74,30
1557738576,45,103
1557740158,34,6
1557742224,31,206
1557743775,24,1
1557746046,42,40
1557747305,27,7
1557748454,26,14
1557750185,35,43
1557751634,21,57
1557753090,32,33
1557754585,28,5
1557755786,35,42
1557757562,26,7
1557761487,66,61
1557762890,18,75
1557764960,37,33
1557766564,34,40
1557767992,28,17
1557772661,71,52
1557773978,22,53
1557776747,55,204
1557778939,37,84
1557782504,58,116
1557785132,46,38
1557787409,41,89
1557790227,46,36
1557792449,38,80
1557794860,52,48
1557797021,48,27
1557801945,76,101
1557803688,33,12
1557805039,23,3
1557806950,24,89
1557808521,19,6
1557809880,29,4
1557813498,53,126
1557814650,20,422
1557815865,91,706
1557817190,110,255
1557820109,172,29
1557821246,66,9
1557822939,56,45
1557824685,55,83
1557826216,64,6
1557827641,38,9
1557828787,41,54
1557830188,53,7
1557832178,108,77
1557833851,88,6
1557836058,91,90
1557837476,39,8
1557840397,90,69
1557841773,36,66
1557844562,81,46
1557845973,49,51
1557847517,41,3
1557849031,40,28
1557850527,48,41
1557851777,46,24
1557856327,124,137
1557857938,44,39
1557860853,141,16
1557863124,59,138
1557867563,117,87
1557868948,40,45
1557870127,30,5
1557873795,76,128
1557875453,36,5
1557879005,99,122
1557884579,151,125
1557886389,47,30
1557888552,43,49
1557892500,92,73
1557893941,33,4
1557895648,26,8
1557897341,38,49
1557898977,23,135
1557901337,57,36
1557904434,68,56
1557905851,25,5
1557907366,35,37
1557909688,44,53
1557910830,26,24
1557913431,67,138
1557916331,61,39
1557918352,43,65
1557919685,30,8
1557920843,33,5
1557922068,28,15
1557924205,38,128
1557927575,198,13
1557930125,120,70
1557931526,40,4
1557936031,125,104
1557938637,55,63
1557940725,47,29
1557941977,25,12
1557946566,100,64
1557948968,58,61
1557950423,39,67
1557951658,29,27
1557955308,70,65
1557957182,32,11
1557959854,41,48
1557962525,54,87
1557966129,67,80
1557968172,42,48
1557969351,18,6
1557974193,93,66
1557976597,34,88
1557978885,49,33
1557980777,31,31
1557983756,70,33
1557988699,84,123
1557989995,30,60
1557991820,41,36
1557996121,86,71
1557997890,34,66
1557999831,35,47
1558002367,34,42
1558006683,79,60
1558008588,40,99
1558010602,44,44
1558011924,20,22
1558015797,76,75
1558018075,51,16
1558019604,32,23
1558021132,27,30
1558025013,80,149
1558027592,39,24
1558029707,37,11
1558032245,42,132
1558034020,65,32
1558035341,41,5
1558037402,38,86
1558039884,51,53
1558041795,54,30
1558045701,57,52
1558051550,101,172
1558055866,98,38
1558060043,77,108
1558069016,151,151
1558070446,24,29
1558071801,13,80
1558074588,38,11
1558077007,39,102
1558079419,54,4
1558080780,30,19
1558082485,31,37
1558083932,25,92
1558085834,39,9
1558088856,53,86
1558092218,58,61
1558093751,30,16
1558097157,67,142
1558101501,83,152
1558102860,24,30
1558105249,43,10
1558107794,51,126
1558109336,33,29
1558110501,26,3
1558113548,52,82
1558117758,70,52
1558119520,31,98
1558121479,45,8
1558122693,23,78
1558124006,21,26
1558126055,37,7
1558127527,21,22
1558130755,63,121
1558132104,40,5
1558133308,24,48
1558134878,20,31
1558136636,31,52
1558142816,117,73
1558144730,41,82
1558146650,33,9
1558148119,22,60
1558151182,44,34
1558155598,82,126
1558161500,101,107
1558163094,35,48
1558166811,62,45
1558167955,23,37
1558169155,22,83
1558170989,42,25
1558172617,25,44
1558173753,25,4
1558174989,18,6
1558180643,85,145
1558182143,33,24
1558183507,67,54
1558184961,36,35
1558187122,40,55
1558192248,103,63
1558193901,39,32
1558198879,215,137
1558200032,17,7
1558201337,16,8
1558202919,25,31
1558204958,31,117
1558210115,150,100
1558211754,36,10
1558213336,19,53
1558216301,53,19
1558218008,38,29
1558223001,69,155
1558224553,21,3
1558226142,51,8
1558229210,58,55
1558230683,22,62
1558236275,77,104
1558237776,24,34
1558240563,31,9
1558247136,108,159
1558248761,55,44
1558250056,24,25
1558251367,15,7
1558253529,39,26
1558254976,34,36
1558256926,27,95
1558258632,33,7
1558259944,15,48
1558262500,38,30
1558264566,34,22
1558270044,102,177
1558271488,27,30
1558273855,49,2
1558275170,23,19
1558280214,85,107
1558281562,29,41
1558283956,79,28
1558285691,33,78
1558286955,25,6
1558289130,29,12
1558293576,124,97
1558294972,399,74
1558301722,339,87
1558303582,26,87
1558305140,20,7
1558306337,23,26
1558308145,26,23
1558310262,29,54
1558311994,42,13
1558315822,174,56
1558318698,145,96
1558321772,91,64
1558323715,30,10
1558326623,51,27
1558328394,27,55
1558332408,118,87
1558333620,26,2
1558335289,44,31
1558337038,48,7
1558338780,49,24
1558340451,37,36
1558341909,21,27
1558344664,62,48
1558346086,29,66
1558347963,35,29
1558349273,28,29
1558352659,71,51
1558354342,30,88
1558356278,41,44
1558357805,34,29
1558360236,57,51
1558361609,32,19
1558362786,24,7
1558364267,22,9
1558365470,20,21
1558369264,38,262
1558370614,13,28
1558371965,23,13
1558374297,227,8
1558377469,143,996
1558381484,201,145
1558383308,47,27
1558387147,82,44
1558388304,21,1
1558390169,34,25
1558392673,135,97
1558401042,375,131
1558402526,35,11
1558404549,44,58
1558408155,65,58
1558412495,124,28
1558415420,64,80
1558420209,135,87
1558421363,32,5
1558423585,54,26
1558425766,45,38
1558428639,61,80
1558430034,29,16
1558431522,22,3
1558433527,35,65
