DateTime,Entries,UniqueIPs
1557259694,10230,10230
1557262290,10198,10198
1557263705,10231,10231
1557265380,10156,10156
1557267287,10185,10185
1557269418,10137,10137
1557272600,10115,10115
1557274216,10104,10104
1557275828,10165,10165
1557277185,10186,10186
1557279991,10274,10274
1557283211,10343,10343
1557286370,10332,10332
1557287547,10346,10346
1557289614,10325,10325
1557290880,10317,10317
1557292095,10235,10235
1557293458,10254,10254
1557295498,10220,10220
1557296873,10256,10256
1557298167,10243,10243
1557301483,10213,10213
1557303121,10211,10211
1557304591,10252,10252
1557307078,10262,10262
1557309299,9121,9121
1557311174,9064,9064
1557312392,9072,9072
1557315626,9260,9260
1557317602,9287,9287
1557319202,9307,9307
1557321433,9320,9320
1557322728,9317,9317
1557324933,9281,9281
1557326671,9298,9298
1557328252,9313,9313
1557330544,9394,9394
1557332076,9427,9427
1557334543,9408,9408
1557336656,9457,9457
1557338073,9473,9473
1557341769,9415,9415
1557343959,9499,9499
1557345411,9498,9498
1557346577,9491,9491
1557348210,9483,9483
1557349861,9497,9497
1557357394,9549,9549
1557366220,9708,9708
1557370689,9683,9683
1557371877,9633,9633
1557373142,9659,9659
1557374837,9653,9653
1557376140,9673,9673
1557378920,9648,9648
1557380204,9676,9676
1557382401,9772,9772
1557384324,9799,9799
1557385717,9796,9796
1557388774,9801,9801
1557390073,9769,9769
1557391849,9815,9815
1557393832,9827,9827
1557395295,9740,9740
1557397532,9759,9759
1557399384,9767,9767
1557402210,9745,9745
1557403700,9773,9773
1557405488,9804,9804
1557407349,9753,9753
1557409410,9784,9784
1557411322,9806,9806
1557413395,9797,9797
1557415052,9726,9726
1557416204,9757,9757
1557417518,9790,9790
1557418996,9795,9795
1557420214,9709,9709
1557421755,9741,9741
1557425670,9677,9677
1557427936,9788,9788
1557429505,9755,9755
1557431990,9599,9599
1557435581,9576,9576
1557437794,9596,9596
1557439127,9611,9611
1557442288,9531,9531
1557444054,9525,9525
1557447404,9466,9466
1557449021,9412,9412
1557451179,9418,9418
1557452531,9430,9430
1557454122,9392,9392
1557455580,9422,9422
1557460354,9384,9384
1557461637,9383,9383
1557462933,9404,9404
1557464302,9419,9419
1557465870,9356,9356
1557468914,9319,9319
1557470688,9301,9301
1557472031,9325,9325
1557476132,9265,9265
1557477517,9296,9296
1557478715,9319,9319
1557479982,9307,9307
1557481294,9302,9302
1557484058,9270,9270
1557485466,9202,9202
1557487667,9240,9240
1557490607,9217,9217
1557492258,9183,9183
1557494039,9179,9179
1557497171,9182,9182
1557498497,9215,9215
1557499854,9182,9182
1557501733,9182,9182
1557503211,9214,9214
1557505960,9199,9199
1557509749,9193,9193
1557511726,9106,9106
1557513204,9306,9306
1557514846,9534,9534
1557516556,9624,9624
1557519801,9634,9634
1557521437,9607,9607
1557523230,9616,9616
1557525068,9579,9579
1557526398,9602,9602
1557530767,9640,9640
1557533527,9636,9636
1557535535,9656,9656
1557537217,9705,9705
1557540622,9782,9782
1557541894,9773,9773
1557545096,9704,9704
1557546803,9676,9676
1557548188,9670,9670
1557551217,9692,9692
1557556346,9650,9650
1557557496,9578,9578
1557562716,9582,9582
1557565605,9608,9608
1557568324,9585,9585
1557570126,9663,9663
1557572309,9653,9653
1557574014,9658,9658
1557576458,9637,9637
1557582157,9635,9635
1557585957,9621,9621
1557587784,9559,9559
1557589367,9536,9536
1557591210,9532,9532
1557593072,9531,9531
1557597622,9530,9530
1557602154,9656,9656
1557605699,9658,9658
1557607603,9791,9791
1557609696,9851,9851
1557611636,9882,9882
1557614701,9881,9881
1557616217,9809,9809
1557626276,9901,9901
1557628574,9898,9898
1557630278,9819,9819
1557632205,9849,9849
1557635971,9849,9849
1557640564,9813,9813
1557647795,9835,9835
1557649278,9867,9867
1557651611,9869,9869
1557652825,9870,9870
1557654511,9861,9861
1557655853,9810,9810
1557657321,9819,9819
1557659058,9775,9775
1557660403,9781,9781
1557662304,9819,9819
1557664613,9836,9836
1557666786,9762,9762
1557668646,9784,9784
1557671707,9850,9850
1557673768,9910,9910
1557675881,9930,9930
1557677840,9926,9926
1557679054,9920,9920
1557681547,9854,9854
1557687624,9812,9812
1557689370,9823,9823
1557690547,9829,9829
1557691737,9752,9752
1557698414,9803,9803
1557701044,9817,9817
1557707328,9797,9797
1557710964,9746,9746
1557714899,9739,9739
1557716347,9719,9719
1557718552,9755,9755
1557720036,9735,9735
1557722151,9741,9741
1557727157,9737,9737
1557728700,9755,9755
1557730715,9719,9719
1557731981,9714,9714
1557735613,9758,9758
1557738576,9700,9700
1557740158,9728,9728
1557742224,9553,9553
1557743775,9576,9576
1557746046,9578,9578
1557747305,9598,9598
