DateTime,AddedIPs,RemovedIPs
1558012772,1,6
1558013492,5,8
1558014213,8,14
1558017573,33,40
1558018293,6,10
1558024293,63,74
1558026213,22,35
1558026934,14,11
1558028133,20,11
1558028852,9,11
1558030053,16,15
1558030773,9,10
1558031492,13,8
1558032213,12,9
1558033413,8,13
1558034133,9,9
1558034853,11,8
1558036053,15,22
1558037253,9,10
1558037973,8,7
1558038693,5,10
1558039412,27,8
1558040133,47,5
1558041572,13,7
1558042293,3,7
1558043013,7,11
1558043733,5,10
1558045413,16,24
1558046374,8,12
1558047093,8,14
1558047813,10,7
1558048534,9,12
1558049253,7,5
1558049973,7,7
1558051653,22,18
1558052374,51,9
1558053092,53,7
1558053813,48,5
1558054833,46,7
1558055493,46,4
1558056212,9,4
1558056933,68,6
1558057652,5,5
1558059572,31,15
1558060294,4,13
1558061493,8,10
1558062213,4,7
1558063412,9,10
1558064133,23,13
1558064853,7,3
1558065572,9,8
1558066773,12,10
1558067494,8,10
1558068214,8,11
1558068932,8,11
1558070373,16,15
1558071093,9,11
1558072293,11,11
1558073014,6,11
1558073733,6,12
1558074453,8,7
1558075173,6,9
1558075892,6,7
1558076613,8,7
1558077334,10,4
1558078052,9,9
1558078773,6,4
1558079492,6,12
1558080692,8,11
1558082374,14,19
1558083093,16,12
1558084293,14,12
1558085012,5,11
1558086694,14,22
1558087414,4,12
1558088132,6,3
1558090293,21,30
1558091013,13,6
1558091733,6,9
1558092453,5,4
1558093653,16,9
1558094432,8,6
1558095092,14,16
1558096773,16,19
1558097493,9,7
1558098212,2,3
1558098932,12,8
1558100132,19,6
1558100853,7,21
1558102534,21,298
1558103252,13,92
1558103973,11,85
1558104694,6,75
1558105413,6,79
1558106134,10,71
1558106852,9,52
1558107573,17,44
1558108293,10,54
1558109492,22,64
1558110213,11,32
1558110933,8,40
1558112133,13,62
1558115493,30,156
1558116453,12,34
1558117174,7,27
1558118373,11,39
1558119094,8,10
1558120533,16,13
1558121252,8,10
1558121972,13,7
1558122692,7,11
1558123653,3,12
1558124373,8,17
1558125093,11,11
1558125813,9,24
1558126533,9,54
1558127134,8,18
1558127973,18,15
1558129173,16,24
1558130012,14,16
1558130733,3,14
1558131454,8,9
1558134333,20,55
1558135293,15,18
1558136373,9,15
1558137032,8,14
1558138292,14,66
1558139013,11,50
1558139734,8,18
1558140453,12,59
1558141053,5,34
1558141652,6,47
1558142493,9,14
1558143453,12,79
1558144053,9,6
1558145253,31,27
1558145974,5,10
1558146692,5,3
1558147533,6,8
1558148133,7,14
1558148853,4,10
1558149572,5,6
1558150293,9,12
1558151134,7,28
1558151735,6,9
1558152453,6,22
1558153172,5,7
1558154013,13,15
1558154613,8,5
1558155333,7,12
1558156053,9,8
1558157732,17,21
1558158454,6,14
1558159173,15,8
1558160014,9,10
1558160853,11,10
1558161572,6,15
1558163253,22,22
1558163974,6,16
1558164693,6,6
1558165413,3,11
1558166133,10,8
1558167333,10,9
1558168053,11,10
1558168772,5,9
1558169492,5,17
1558170213,9,7
1558170932,8,10
1558171892,9,8
1558172613,7,8
1558173333,10,11
1558174053,12,7
1558174772,7,8
1558175493,3,4
1558176213,6,8
1558176933,8,8
1558177653,9,12
1558178372,9,4
1558179092,15,5
1558179812,15,12
1558180532,200,5
1558181253,12,11
1558182453,28,21
1558183172,9,5
1558183893,7,9
1558184612,7,2
1558185333,9,15
1558186053,7,20
1558186774,3,5
1558187493,10,5
1558188212,13,4
1558188934,9,12
1558189653,4,13
1558190852,19,15
1558191572,5,3
1558192293,11,6
1558193013,5,8
1558193733,5,14
1558194453,5,13
1558195892,15,28
1558196612,9,8
1558197814,18,20
1558198532,10,8
1558199492,12,9
1558200212,5,5
1558200932,10,7
1558201654,8,11
1558202854,16,14
1558203572,6,9
1558204293,7,9
1558205013,6,6
1558205734,10,16
1558206453,7,7
1558207173,18,14
1558207893,24,12
1558208612,19,8
1558209334,19,12
1558210052,16,4
1558210774,6,11
1558211492,6,8
1558212213,7,10
1558214613,27,47
1558215333,21,5
1558216053,12,8
1558216773,9,8
1558217494,7,8
1558218212,6,3
1558218933,7,7
1558219653,7,5
1558220853,14,11
1558221573,8,12
1558222294,5,6
1558223014,8,8
1558223733,7,10
1558224453,6,7
1558225174,4,9
1558225892,5,9
1558226613,5,15
1558227332,8,5
1558228052,6,8
1558228773,2,10
1558229972,8,12
1558230693,9,13
1558231653,10,29
1558232373,9,5
1558233093,13,5
1558233812,12,5
1558234533,7,9
1558235253,5,3
1558235973,171,8
1558236693,7,9
1558237412,13,6
1558238133,4,9
1558239333,9,9
1558240052,10,5
1558241493,17,22
1558242453,9,10
1558243173,14,9
1558243893,8,7
1558244613,7,10
1558245333,1,11
1558246053,3,6
1558246773,9,11
1558247492,4,7
1558248213,5,7
1558248934,8,8
1558249653,6,10
1558250372,7,6
1558251572,5,9
1558252293,9,9
1558253013,9,8
1558253733,7,5
1558254453,7,12
1558255174,13,4
1558255892,12,7
1558256613,8,8
1558257333,5,12
1558258053,4,8
1558258773,12,17
1558259493,14,14
1558260213,4,10
1558260932,7,11
1558262132,8,8
1558262853,13,8
1558264052,22,16
1558264772,9,9
1558265492,3,14
1558266213,8,14
1558266933,11,43
1558267653,10,160
1558268373,6,20
1558269093,10,10
1558269812,8,6
1558270533,4,8
1558271253,9,7
1558271972,11,9
1558272692,6,8
1558273413,8,2
1558274133,6,11
1558274853,6,15
1558275572,9,7
1558276293,3,8
1558277013,5,14
1558277733,10,8
1558278692,15,13
1558279412,8,7
1558280133,8,4
1558280852,5,5
1558281572,5,5
1558282293,7,13
1558283013,6,11
1558283973,6,11
1558284694,5,14
1558285413,6,11
1558286133,12,10
1558286852,6,7
1558287574,8,13
1558288293,7,12
1558289012,114,6
1558289732,7,10
1558290454,7,8
1558291173,9,9
1558291893,7,7
1558292612,8,7
1558293333,5,9
1558294053,3,22
1558294773,3,21
1558295493,11,16
1558296213,7,20
1558296932,11,6
1558297652,3,6
1558298372,7,8
1558299093,8,7
1558299813,6,10
1558300532,6,7
1558301253,8,18
1558301973,4,8
1558303653,15,27
1558304372,3,4
1558305093,8,7
1558305813,4,8
1558306532,2,4
1558307254,2,11
1558307974,10,8
1558308692,8,4
1558309413,7,11
1558310133,9,9
1558311573,9,10
1558312292,7,7
1558313013,5,7
1558313733,6,7
1558314452,8,7
1558315173,13,2
1558315893,10,5
1558316612,5,4
1558317333,14,9
1558318053,10,7
1558318773,9,10
1558319493,4,9
1558320212,7,11
1558322612,23,181
1558323332,7,5
1558324052,13,8
1558324833,9,2
1558325492,3,5
1558326214,8,7
1558326933,7,7
1558327653,11,15
1558329574,172,23
1558330294,8,8
1558331013,7,6
1558331732,5,2
1558332452,6,4
1558333173,5,7
1558333892,7,5
1558334612,8,4
1558335333,4,8
1558336052,10,9
1558336773,9,8
1558337493,4,1
1558338212,8,6
1558338933,9,14
1558339653,4,4
1558340373,5,7
1558341093,6,8
1558341813,8,13
1558342533,2,13
1558343492,9,7
1558344212,3,14
1558344932,7,3
1558345653,5,20
1558346373,7,5
1558347093,3,7
1558347814,6,7
1558348532,6,10
1558349254,9,10
1558350453,12,21
1558351173,9,10
1558351893,9,4
1558353092,13,19
1558354293,14,16
1558355733,13,15
1558356693,8,9
1558357654,10,26
1558358372,8,27
1558359093,9,5
1558359814,14,21
1558360533,6,19
1558361253,7,8
1558362693,16,39
1558363413,6,8
1558364132,8,22
1558364852,3,28
1558365573,11,11
1558366293,5,11
1558367013,5,6
1558367732,8,18
1558368453,10,6
1558369173,10,24
1558371813,25,40
1558372533,7,11
1558373253,5,9
1558373973,7,8
1558374693,1,7
1558375413,6,97
1558376133,6,9
1558376853,101,9
1558377573,7,12
1558378292,13,8
1558379253,3,17
1558379972,11,3
1558380694,6,7
1558381414,9,3
1558382133,10,9
1558382853,4,8
1558384053,10,13
1558384773,3,7
1558385493,7,7
1558387173,18,14
1558387893,6,11
1558388612,13,2
1558389333,12,10
1558390774,10,16
1558391493,3,10
1558392213,6,6
1558392932,13,2
1558393652,3,1
1558394372,9,9
1558395092,8,6
1558395813,6,6
1558396532,10,13
1558397253,7,5
1558397973,8,3
1558398693,9,8
1558399893,5,12
1558400612,4,5
1558401333,10,11
1558402052,9,10
1558402772,6,10
1558403492,5,10
1558404213,6,8
1558404933,7,12
1558405653,9,6
1558406372,3,7
1558407093,4,5
1558407813,7,6
1558408533,8,13
1558409492,15,10
1558410213,61,12
1558410933,6,11
1558411652,4,8
1558412373,7,6
1558413093,8,10
1558413812,10,6
1558414533,4,11
1558415733,11,148
1558416454,7,6
1558417173,8,10
1558417892,3,2
1558418613,5,8
1558419333,9,9
1558420053,5,7
1558420773,6,9
1558421492,6,2
1558422214,6,12
1558422933,5,21
1558423653,10,3
1558424372,2,6
1558425094,10,10
1558426294,11,19
1558427013,8,9
1558427733,3,6
1558428693,11,8
1558429413,7,7
1558430133,9,8
1558430853,3,4
1558431573,5,7
1558432293,2,7
1558433252,18,10
1558433972,5,4
