DateTime,AddedIPs,RemovedIPs
1557414511,21,25
1557416406,14,13
1557418580,19,16
1557420491,22,0
1557422443,17,0
1557424326,16,12
1557426492,18,15
1557428416,9,5
1557430353,12,14
1557432256,10,9
1557434190,8,9
1557436125,10,14
1557438013,14,13
1557439935,11,5
1557442607,19,20
1557444513,11,8
1557446433,11,7
1557448338,10,14
1557450277,9,6
1557452175,15,10
1557454122,12,0
1557456014,10,34
1557458184,14,12
1557460122,14,8
1557462023,13,0
1557463932,9,14
1557465855,5,15
1557467770,7,20
1557469711,7,15
1557471655,2,0
1557473557,8,11
1557475457,5,0
1557477378,11,6
1557479313,17,6
1557481236,2,6
1557483137,4,8
1557485057,4,6
1557487234,5,28
1557489157,8,18
1557491052,9,12
1557492993,10,8
1557494890,6,0
1557496815,11,15
1557498735,18,17
1557500685,10,9
1557502610,8,9
1557504526,13,14
1557506439,10,9
1557508334,12,13
1557510251,15,12
1557512176,12,18
1557514093,12,12
1557516024,14,15
1557517957,13,13
1557519852,11,11
1557521820,12,9
1557523691,13,8
1557525625,12,0
1557528784,10,17
1557530682,12,9
1557532597,3,6
1557534492,7,7
1557536442,10,0
1557538361,8,9
1557540267,8,7
1557542202,10,9
1557544117,12,9
1557546019,14,0
1557547949,10,0
1557549854,13,6
1557551779,7,14
1557553695,9,18
1557555624,12,16
1557557535,10,0
1557559458,9,12
1557561370,9,15
1557563294,7,17
1557565232,11,19
1557567389,5,0
1557569314,13,3
1557571236,8,0
1557573142,11,12
1557575063,11,15
1557578898,6,16
1557580701,8,26
1557582738,11,14
1557584655,11,11
1557586577,11,15
1557588493,14,0
1557590460,9,16
1557594268,10,0
1557596174,6,11
1557598097,14,14
1557600258,14,16
1557602179,12,17
1557604095,10,14
1557606026,10,0
1557607933,8,0
1557609862,9,14
1557611773,15,15
1557613695,15,17
1557615634,9,13
1557617542,13,19
1557619463,8,8
1557621378,9,0
1557625257,10,13
1557627145,9,0
1557629059,8,7
1557630977,8,8
1557632898,10,0
1557634817,17,0
1557636735,7,7
1557638656,10,15
1557642754,12,38
1557644661,10,15
1557646822,8,0
1557648740,6,5
1557650676,5,0
1557652577,5,12
1557654498,2,12
1557656439,9,25
1557658361,18,0
1557660255,16,15
1557662174,12,14
1557664115,15,20
1557666036,13,14
1557667948,11,14
1557670126,7,0
1557672039,9,13
1557673936,11,21
1557675875,10,16
1557677809,15,15
1557679720,19,15
1557681622,14,11
1557683533,9,0
1557685466,8,6
1557687576,16,12
1557689559,12,7
1557691721,6,8
1557693612,14,0
1557695787,11,10
1557697697,11,9
1557699637,16,0
1557701551,12,10
1557703496,17,0
1557705372,13,7
1557707302,18,11
1557709242,13,11
1557711163,15,0
1557713058,9,0
1557714998,10,12
1557719075,13,12
1557720999,15,12
1557722897,13,0
1557724821,14,0
1557726732,12,11
1557728654,10,15
1557730571,14,9
1557732491,19,9
1557734468,18,6
1557736593,16,12
1557738502,12,19
1557740432,5,3
1557742344,5,2
1557744278,10,0
1557746196,16,13
1557748095,11,0
1557750041,16,13
1557751931,13,15
1557753860,11,13
1557756096,13,0
1557758109,12,14
1557760344,12,15
1557762248,11,12
1557764195,5,20
1557766091,14,0
1557768032,16,16
1557769954,15,0
1557771877,11,14
1557773768,17,22
1557775686,21,8
1557777623,20,9
