DateTime,AddedIPs,RemovedIPs
1557414511,52,52
1557416406,52,51
1557418580,62,49
1557420491,66,64
1557422443,53,61
1557424326,68,56
1557426492,68,70
1557428416,62,71
1557430353,66,59
1557432256,57,67
1557434190,59,56
1557436125,62,60
1557438013,66,61
1557439935,62,66
1557442607,70,63
1557444513,64,68
1557446433,63,65
1557448338,53,63
1557450277,63,52
1557452175,65,61
1557454122,58,66
1557456014,61,58
1557458184,61,61
1557460122,52,61
1557462023,55,55
1557463932,65,54
1557465855,43,64
1557467770,44,45
1557469711,43,43
1557471655,42,43
1557473557,46,42
1557475457,40,43
1557477378,42,45
1557479313,54,40
1557481236,9,56
1557483137,40,9
1557485057,50,38
1557487234,34,51
1557489157,45,30
1557491052,48,44
1557492993,61,51
1557494890,47,60
1557496815,55,50
1557498735,57,52
1557500685,50,58
1557502610,57,51
1557504526,58,52
1557506439,49,57
1557508334,53,52
1557510251,56,51
1557512176,49,55
1557514093,45,47
1557516024,64,51
1557517957,54,64
1557519852,55,56
1557521820,65,55
1557523691,48,55
1557525625,54,53
1557528784,51,56
1557530682,57,52
1557532597,57,58
1557534492,57,56
1557536442,59,55
1557538361,54,60
1557540267,63,52
1557542202,48,66
1557544117,58,47
1557546019,52,57
1557547949,55,51
1557549854,51,55
1557551779,37,54
1557553695,40,37
1557555624,46,43
1557557535,41,46
1557559458,32,40
1557561370,46,30
1557563294,29,51
1557565232,44,27
1557567389,19,44
1557569314,44,22
1557571236,52,41
1557573142,42,52
1557575063,48,44
1557578898,56,42
1557580701,54,54
1557582738,55,58
1557584655,57,56
1557586577,56,59
1557588493,65,55
1557590460,60,60
1557594268,51,61
1557596174,56,52
1557598097,61,55
1557600258,58,62
1557602179,55,61
1557604095,58,49
1557606026,54,59
1557607933,49,56
1557609862,49,46
1557611773,60,50
1557613695,59,57
1557615634,60,60
1557617542,58,62
1557619463,51,54
1557621378,59,57
1557625257,64,58
1557627145,59,60
1557629059,54,58
1557630977,60,59
1557632898,43,59
1557634817,64,43
1557636735,59,64
1557638656,54,57
1557642754,58,58
1557644661,53,56
1557646822,44,51
1557648740,44,49
1557650676,49,45
1557652577,23,53
1557654498,31,23
1557656439,41,31
1557658361,66,39
1557660255,70,64
1557662174,53,66
1557664115,65,54
1557666036,57,67
1557667948,53,53
1557670126,55,53
1557672039,49,59
1557673936,65,51
1557675875,49,63
1557677809,69,47
1557679720,67,68
1557681622,63,71
1557683533,55,62
1557685466,55,52
1557687576,60,59
1557689559,45,57
1557691721,52,43
1557693612,61,56
1557695787,62,59
1557697697,53,63
1557699637,59,53
1557701551,65,58
1557703496,61,67
1557705372,60,59
1557707302,56,59
1557709242,46,57
1557711163,56,47
1557713058,50,46
1557714998,55,61
1557719075,63,54
1557720999,68,64
1557722897,61,68
1557724821,59,63
1557726732,53,56
1557728654,50,53
1557730571,62,50
1557732491,54,63
1557734468,48,48
1557736593,53,53
1557738502,46,58
1557740432,20,44
1557742344,44,18
1557744278,58,46
1557746196,63,58
1557748095,59,62
1557750041,58,59
1557751931,48,52
1557753860,53,52
1557756096,57,52
1557758109,36,55
1557760344,48,40
1557762248,59,50
1557764195,46,50
1557766091,44,50
1557768032,54,44
1557769954,54,55
1557771877,51,54
1557773768,51,51
1557775686,47,45
1557777623,50,52
1557779561,51,49
1557781458,54,53
1557783379,54,54
1557785313,40,55
1557787234,52,41
1557789132,44,51
1557791048,48,42
1557792969,44,47
1557794888,41,43
1557796805,36,43
1557798751,45,37
1557800647,42,42
1557802565,41,40
1557804515,51,44
1557806438,48,51
1557808359,50,50
1557810276,38,47
1557812169,49,40
1557814092,48,51
1557816033,52,47
1557817960,45,51
1557819871,55,49
1557821795,50,55
1557823738,41,53
1557827549,56,40
1557829453,58,54
1557831398,55,58
1557833293,43,58
1557835237,53,40
1557837148,47,50
1557839064,54,46
1557840974,51,57
1557842898,56,49
1557845058,47,55
