DateTime,AddedIPs,RemovedIPs
1556147480,1,1
1556150899,3,1
1556154503,3,1
1556158107,1,0
1556161888,0,1
1556165296,2,0
1556168900,0,3
1556172499,0,1
1556176309,0,2
1556179695,1,0
1556183291,1,0
1556186900,3,0
1556190688,4,0
1556201301,1,1
1556208500,2,2
1556212103,1,0
1556222909,4,2
1556226512,5,3
1556230113,1,1
1556233903,0,6
1556237310,2,0
1556240911,1,1
1556244513,4,3
1556248308,4,1
1556251709,1,0
1556255311,4,2
1556258909,0,2
1556262694,2,0
1556266111,2,3
1556269715,1,1
1556277105,1,0
1556280513,2,2
1556284110,4,1
1556287712,1,0
1556291514,4,0
1556294910,0,1
1556298520,2,0
1556305845,2,1
1556309324,6,1
1556313059,3,1
1556316529,2,2
1556323844,2,1
1556327330,1,1
1556330939,3,1
1556338132,2,2
1556341731,1,0
1556345439,1,1
1556349041,2,1
1556356265,1,0
1556359732,0,1
1556367052,1,2
1556370525,1,1
1556374125,0,4
1556381325,1,1
1556388668,0,1
1556392241,2,0
1556395722,1,2
1556399463,2,1
1556402928,7,1
1556406655,2,2
1556410283,2,2
1556413728,3,1
1556417328,0,1
1556421121,0,2
1556424530,5,3
1556428131,1,3
1556431861,0,1
1556435442,3,0
1556438928,0,2
1556442636,1,0
1556446129,4,1
1556453445,2,0
1556460537,1,0
1556467735,1,1
1556471341,1,1
1556475049,0,4
1556478652,2,2
1556482136,1,0
1556485837,0,2
1556489328,2,1
1556493053,4,2
1556496647,1,0
1556500141,0,1
1556503728,1,3
1556507520,1,2
1556510938,3,1
1556514526,1,1
1556518238,1,0
1556521849,0,1
1556529038,0,2
1556532530,1,0
1556539843,1,0
1556546931,0,1
1556554131,1,2
1556561444,2,1
1556565062,5,0
1556568545,1,1
1556572263,0,1
1556575739,1,2
1556579458,2,1
1556583054,1,4
1556586536,1,1
1556590148,1,1
1556597337,2,3
1556604650,0,1
1556611741,1,0
1556615460,0,1
1556618939,1,0
1556622657,1,0
1556626252,1,1
1556644145,2,1
1556647889,2,0
1556651470,4,0
1556654952,1,2
1556658685,2,0
1556662150,1,0
1556665850,5,2
1556669487,7,2
1556672961,7,2
1556676571,8,0
1556683762,4,4
1556687359,2,2
1556691085,1,0
1556698169,2,0
1556701866,2,1
1556705364,0,1
