DateTime,AddedIPs,RemovedIPs
1556672412,55,81
1556674323,118,79
1556678161,80,98
1556682002,86,138
1556685842,80,78
1556689682,125,84
1556693522,63,51
1556697362,92,47
1556699283,84,69
1556703122,88,72
1556707203,83,57
1556711042,83,69
1556714882,84,89
1556718722,92,75
1556722563,94,83
1556726428,91,80
1556728322,93,77
1556732162,84,75
1556734083,67,87
1556739842,84,82
1556743682,94,86
1556747522,94,106
1556752562,84,126
1556754722,103,111
1556760485,55,93
1556762415,89,89
1556764322,78,120
1556768162,105,100
1556772002,80,97
1556775842,84,79
1556781602,783,855
1556783522,908,801
1556787363,64,65
1556791213,68,55
1556793122,75,73
1556797202,82,62
1556801042,81,55
1556805122,76,68
1556809213,86,85
1556811122,81,72
1556814962,97,78
1556816882,96,98
1556822642,103,86
1556826482,97,133
1556828403,103,109
1556834162,107,94
1556838242,79,123
1556840163,89,114
1556842082,0,4
1556844002,47,72
1556847842,76,79
1556851682,81,103
1556855522,101,114
1556857442,71,82
1556863214,85,86
1556865122,99,69
1556868962,95,59
1556872803,80,91
1556874723,88,76
1556880482,74,71
1556882402,85,67
1556888642,79,62
1556890562,95,75
1556894642,69,96
1556898482,97,72
1556900401,105,85
1556906162,91,99
1556910013,84,77
1556911922,95,98
1556915762,96,93
1556919602,75,97
1556923443,62,134
1556927284,105,90
1556931122,61,79
1556934963,83,81
1556938812,76,115
1556940723,88,105
1556944562,102,81
1556948402,81,77
1556952243,65,60
1556956081,83,64
1556959922,76,52
1556963763,107,61
1556965923,97,105
1556967842,101,73
1556973843,73,101
1556975763,147,110
1556977922,80,82
1556981762,91,77
1556985614,87,84
1556989442,83,79
1556991361,93,87
1556993282,74,90
1556999043,80,88
1557003122,73,75
1557005041,77,86
1557010811,56,107
1557012722,73,91
1557016562,58,85
1557024243,152,205
1557028082,111,110
1557031922,66,85
1557035763,83,62
1557039612,72,64
1557041522,84,64
1557045362,75,61
1557049201,89,55
1557053282,89,69
1557057121,94,66
1557059283,68,60
1557063122,73,55
1557065042,76,58
1557070801,90,69
1557074643,85,88
1557078482,96,78
1557082322,81,76
1557086162,98,104
1557090012,80,104
1557091922,81,110
1557093842,110,81
1557095762,81,110
1557097683,72,121
1557101522,84,103
1557103442,47,84
1557105362,81,87
1557111121,82,104
1557114963,90,96
1557118811,81,92
1557122642,90,81
1557124802,90,68
1557128642,75,70
1557132482,92,70
1557136322,65,71
1557140163,92,65
1557144011,85,58
1557145922,73,71
1557149762,78,67
1557153602,83,65
1557157442,85,72
1557161282,79,83
1557165363,96,80
1557167282,96,74
1557173042,104,89
1557174962,94,104
1557178802,84,117
1557182642,73,121
1557186482,89,130
1557188642,55,78
1557194644,78,81
1557196803,92,114
1557198723,114,92
1557200642,183,225
1557204482,94,88
1557210243,99,83
1557212163,87,80
1557216015,73,61
1557217923,84,72
1557221764,71,65
1557225842,68,63
1557229682,74,67
1557233763,78,65
1557235682,71,68
1557241441,123,121
1557247202,88,78
1557251043,103,74
1557254882,112,75
1557258722,82,83
1557262562,97,105
1557266442,81,93
1557270241,73,128
1557272163,94,121
1557278162,67,89
1557280082,85,84
1557283922,93,105
1557287762,95,112
1557291612,71,84
1557293522,81,73
1557297362,66,66
1557301202,79,64
1557305042,91,58
1557308882,88,68
1557312722,93,69
1557314643,75,64
1557318482,86,82
1557322322,102,67
1557328082,138,141
1557333842,95,95
1557337682,90,98
1557341762,100,80
1557345613,110,85
1557347522,90,101
1557351362,87,124
1557353283,70,122
1557357602,93,116
1557363608,59,82
1557365522,87,79
1557369362,76,116
1557373201,94,116
1557377042,82,94
1557381122,92,82
1557384962,102,59
1557388882,149,106
1557394562,64,77
1557398402,99,69
1557404161,146,117
1557409922,101,83
1557413762,82,76
1557417614,85,71
1557419522,86,83
1557423603,107,89
1557429363,84,73
1557431281,107,96
1557435121,94,93
1557438963,80,142
1557443043,97,136
1557446882,108,116
1557448802,66,95
1557452642,81,94
1557456482,98,125
1557458642,88,114
1557464412,84,87
1557466323,99,74
1557470162,71,64
1557474002,79,66
1557477842,78,74
1557479762,74,70
1557485522,67,46
1557489363,76,44
1557491282,74,73
1557495362,94,70
1557499201,97,77
1557503283,88,80
1557507122,77,123
1557509042,117,87
1557514810,87,84
1557516722,105,96
1557520562,98,82
1557522482,83,118
1557528723,65,106
1557530642,94,115
1557538322,52,87
1557540244,74,79
1557542162,234,173
1557544083,218,304
1557546002,93,100
1557549843,78,77
1557553682,76,69
1557557522,63,58
1557561362,88,56
1557565210,92,60
1557567363,60,92
1557569282,140,103
1557571204,101,85
1557575043,83,58
1557578883,78,71
1557582723,78,62
1557586564,92,78
1557590413,72,87
1557594243,148,138
1557600243,100,90
1557604082,82,79
1557607922,86,85
1557611763,57,102
1557615611,65,93
1557617523,96,116
1557619443,62,90
1557625203,72,92
1557629043,87,105
1557632883,83,115
1557636723,74,69
1557640564,75,70
1557642722,79,57
1557646803,76,51
1557650642,98,66
1557652563,71,66
1557658322,99,72
1557660242,82,55
1557666013,74,74
1557667922,71,65
1557672002,80,58
1557675845,65,74
1557679682,89,70
1557683521,73,67
1557687363,99,87
1557691212,86,93
1557693122,93,86
1557695042,87,99
1557696962,199,240
1557703443,148,229
1557709211,70,85
1557711124,69,82
1557714962,83,103
1557719042,97,108
1557722882,88,82
1557726722,92,86
1557730563,79,66
1557734409,92,56
1557736564,70,84
1557740402,79,62
1557744242,75,52
1557746162,52,75
1557748082,127,98
1557751921,67,63
1557756081,82,75
1557757944,66,2494
1557759843,2447,0
1557761762,99,85
1557765602,92,88
1557769443,110,96
1557773282,111,74
1557777122,92,81
1557780962,113,109
1557784805,63,127
1557786722,68,133
1557788641,108,122
1557792482,33,99
1557800162,75,81
1557802081,79,89
1557805922,94,138
1557807844,87,78
1557811683,122,73
1557815523,82,62
1557819605,90,68
1557823683,83,77
1557827524,73,57
1557831364,83,64
