DateTime,Entries,UniqueIPs
1556672412,6364,6364
1556674323,6403,6403
1556678161,6385,6385
1556682002,6333,6333
1556685842,6335,6335
1556689682,6376,6376
1556693522,6388,6388
1556697362,6433,6433
1556699283,6448,6448
1556703122,6464,6464
1556707203,6490,6490
1556711042,6504,6504
1556714882,6499,6499
1556718722,6516,6516
1556722563,6527,6527
1556726428,6538,6538
1556728322,6554,6554
1556732162,6563,6563
1556734083,6543,6543
1556739842,6545,6545
1556743682,6553,6553
1556747522,6541,6541
1556752562,6499,6499
1556754722,6491,6491
1556760485,6453,6453
1556762415,6453,6453
1556764322,6411,6411
1556768162,6416,6416
1556772002,6399,6399
1556775842,6404,6404
1556781602,6332,6332
1556783522,6439,6439
1556787363,6438,6438
1556791213,6451,6451
1556793122,6453,6453
1556797202,6473,6473
1556801042,6499,6499
1556805122,6507,6507
1556809213,6508,6508
1556811122,6517,6517
1556814962,6536,6536
1556816882,6534,6534
1556822642,6551,6551
1556826482,6515,6515
1556828403,6509,6509
1556834162,6522,6522
1556838242,6478,6478
1556840163,6453,6453
1556842082,6449,6449
1556844002,6424,6424
1556847842,6421,6421
1556851682,6399,6399
1556855522,6386,6386
1556857442,6375,6375
1556863214,6374,6374
1556865122,6404,6404
1556868962,6440,6440
1556872803,6429,6429
1556874723,6441,6441
1556880482,6444,6444
1556882402,6462,6462
1556888642,6479,6479
1556890562,6499,6499
1556894642,6472,6472
1556898482,6497,6497
1556900401,6517,6517
1556906162,6509,6509
1556910013,6516,6516
1556911922,6513,6513
1556915762,6516,6516
1556919602,6494,6494
1556923443,6422,6422
1556927284,6437,6437
1556931122,6419,6419
1556934963,6421,6421
1556938812,6382,6382
1556940723,6365,6365
1556944562,6386,6386
1556948402,6390,6390
1556952243,6395,6395
1556956081,6414,6414
1556959922,6438,6438
1556963763,6484,6484
1556965923,6476,6476
1556967842,6504,6504
1556973843,6476,6476
1556975763,6513,6513
1556977922,6511,6511
1556981762,6525,6525
1556985614,6528,6528
1556989442,6532,6532
1556991361,6538,6538
1556993282,6522,6522
1556999043,6514,6514
1557003122,6512,6512
1557005041,6503,6503
1557010811,6452,6452
1557012722,6434,6434
1557016562,6407,6407
1557024243,6354,6354
1557028082,6355,6355
1557031922,6336,6336
1557035763,6357,6357
1557039612,6365,6365
1557041522,6385,6385
1557045362,6399,6399
1557049201,6433,6433
1557053282,6453,6453
1557057121,6481,6481
1557059283,6489,6489
1557063122,6507,6507
1557065042,6525,6525
1557070801,6546,6546
1557074643,6543,6543
1557078482,6561,6561
1557082322,6566,6566
1557086162,6560,6560
1557090012,6536,6536
1557091922,6507,6507
1557093842,6536,6536
1557095762,6507,6507
1557097683,6458,6458
1557101522,6439,6439
1557103442,6402,6402
1557105362,6396,6396
1557111121,6374,6374
1557114963,6368,6368
1557118811,6357,6357
1557122642,6366,6366
1557124802,6388,6388
1557128642,6393,6393
1557132482,6415,6415
1557136322,6409,6409
1557140163,6436,6436
1557144011,6463,6463
1557145922,6465,6465
1557149762,6476,6476
1557153602,6494,6494
1557157442,6507,6507
1557161282,6503,6503
1557165363,6519,6519
1557167282,6541,6541
1557173042,6556,6556
1557174962,6546,6546
1557178802,6513,6513
1557182642,6465,6465
1557186482,6424,6424
1557188642,6401,6401
1557194644,6398,6398
1557196803,6376,6376
1557198723,6398,6398
1557200642,6356,6356
1557204482,6362,6362
1557210243,6378,6378
1557212163,6385,6385
1557216015,6397,6397
1557217923,6409,6409
1557221764,6415,6415
1557225842,6420,6420
1557229682,6427,6427
1557233763,6440,6440
1557235682,6443,6443
1557241441,6445,6445
1557247202,6455,6455
1557251043,6484,6484
1557254882,6521,6521
1557258722,6520,6520
1557262562,6512,6512
1557266442,6500,6500
1557270241,6445,6445
1557272163,6418,6418
1557278162,6396,6396
1557280082,6397,6397
1557283922,6385,6385
1557287762,6368,6368
1557291612,6355,6355
