DateTime,AddedIPs,RemovedIPs
1556180918,593,246
1556184767,568,173
1556187882,608,214
1556190760,589,0
1556192924,582,0
1556196041,599,0
1556198428,608,77
1556202768,606,106
1556206363,608,0
1556209244,555,95
1556213174,788,72
1556217383,644,110
1556224599,616,298
1556231942,570,434
1556234671,581,0
1556235610,44,20
1556236818,1160,2470
1556239478,569,17
1556247132,12,16
1556251142,337,54
1556252436,558,0
1556253406,497,0
1556256742,589,0
1556261555,561,0
1556264669,582,0
1556270426,577,0
1556274040,553,0
1556277400,576,175
1556280978,613,0
1556284352,617,0
1556287957,603,133
1556292027,643,146
1556295631,618,0
1556299697,555,89
1556309806,588,267
1556320094,11,21
1556323216,1064,2128
1556327771,12,0
1556331612,8,0
1556337542,202,52
1556361165,584,780
1556408409,8,0
1556409618,951,2415
1556412251,14,8
1556419930,11,25
1556423942,81,37
1556452345,572,666
1556455236,589,210
1556459549,593,0
1556463391,569,0
1556468425,577,0
1556476568,575,421
1556479935,612,0
1556484764,584,0
1556488587,576,0
1556492889,10,31
1556496510,569,0
1556500568,783,3010
1556501565,598,0
1556504406,17,9
1556510342,84,76
1556515210,592,0
1556519557,578,0
1556523153,578,0
1556526251,583,0
1556529392,651,0
1556532989,641,0
1556537553,601,0
1556541154,598,102
1556544996,692,85
1556547873,603,0
1556550735,644,153
1556559861,681,153
1556567548,628,218
1556571639,594,0
1556574734,588,0
1556579070,17,37
1556582416,1003,2715
1556584567,623,209
1556586726,14,19
1556587945,587,68
1556590567,21,0
1556592765,572,144
1556595375,601,55
1556596742,70,102
1556599231,564,74
1556603050,578,100
1556620380,633,241
1556637618,648,243
1556651071,764,291
1556655903,588,62
1556660914,642,136
1556668352,14,56
1556668817,1097,1671
1556672430,8,23
1556676253,23,13
1556683142,65,123
1556690188,557,604
1556694512,581,169
1556753290,583,1154
1556754737,13,21
1556755217,1237,2064
1556758567,10,0
1556763636,641,498
1556766248,14,28
1556769543,86,104
1556777312,561,0
1556781636,614,0
1556785960,628,0
1556791241,593,496
1556796280,588,0
1556803960,567,0
1556808735,642,0
1556811867,636,0
1556817153,575,0
1556830597,600,0
1556840171,10,26
1556841618,1224,817
1556844009,18,16
1556851691,9,18
1556855942,71,93
1556865377,644,594
1556867536,589,0
1556877388,600,204
1556880985,611,0
1556885308,574,0
1556891665,670,100
1556895877,584,178
1556899478,612,160
1556921791,609,403
1556924647,17,7
1556928017,1282,1302
1556932326,21,36
1556936193,633,0
1556942342,99,298
1556954179,601,0
1556967377,583,0
1556970036,642,0
1556976271,578,0
1556989479,647,166
1557002649,604,69
1557012967,17,62
1557014417,1126,1212
1557016805,17,0
1557019712,641,484
1557024490,9,27
1557028742,77,111
1557036493,593,364
1557039640,611,66
1557044192,587,132
1557047538,601,80
1557050923,647,68
1557054759,565,407
1557057638,588,1138
1557062191,650,556
1557068189,579,1098
1557073228,600,557
1557086446,499,1878
1557086920,123,456
1557090764,592,573
1557097933,22,12
1557100817,1119,2285
1557105607,19,28
1557108043,499,1879
1557108523,137,403
1557109451,9,10
1557109964,152,0
1557110412,443,0
1557113538,628,0
1557115142,81,95
1557116911,576,0
1557120504,599,479
1557124341,591,1122
1557126989,622,101
1557130331,581,582
1557133476,582,580
1557136354,623,585
1557140197,566,610
1557144045,605,0
1557146894,644,0
1557150753,626,0
1557154577,612,0
1557157941,638,0
1557186110,9,39
1557187216,1223,1931
1557189951,9,19
1557198019,19,18
1557201542,83,87
1557207861,570,0
1557208829,355,0
1557212901,614,0
1557216508,619,0
1557222974,629,561
1557226101,621,0
1557230445,644,0
1557233310,690,0
1557236901,647,0
1557239548,624,0
1557243378,611,0
1557260413,608,568
1557265704,609,0
1557270969,23,12
1557273617,1067,2186
1557278650,22,27
1557282488,28,17
1557288036,561,827
1557309619,701,1162
1557359533,20,46
1557360016,1255,2275
1557363365,17,25
1557367454,20,0
1557368409,500,5684
1557368670,124,1196
1557370837,596,0
1557374342,82,50
1557377075,601,0
1557380668,613,533
1557384253,661,557
1557388352,593,575
1557392198,625,601
1557397233,573,1225
1557402261,582,0
1557408687,672,0
1557412580,623,0
1557415953,602,0
1557419565,586,0
1557423158,604,0
1557426034,594,0
1557429632,586,0
1557432769,638,0
1557435646,629,0
1557438989,622,0
1557442616,579,0
1557444252,22,22
1557445950,612,0
1557446417,1164,1813
1557450279,599,0
1557451929,14,20
1557453647,592,0
1557455764,19,35
1557457710,595,0
1557460742,86,38
1557463710,635,0
1557468284,579,0
1557472330,563,0
1557477879,582,0
1557482681,633,0
1557486741,582,0
1557491574,588,1155
1557494907,629,0
1557499235,598,581
1557502849,606,564
1557507619,593,542
1557511220,579,565
1557515539,611,543
1557521300,626,1707
1557525131,627,564
1557530183,582,585
1557532572,15,31
1557533536,1642,2211
1557536433,11,0
1557538377,567,0
1557540255,15,0
1557542894,571,0
1557546978,547,0
1557547142,94,55
1557549864,596,0
1557553930,562,0
1557558018,565,0
1557562101,588,0
1557566426,570,0
1557570015,615,565
1557574581,613,546
1557578648,578,0
1557583390,582,0
1557587067,552,0
1557593777,581,543
1557596896,577,555
1557599780,566,572
1557602436,636,594
1557605541,546,585
1557608427,597,0
1557612046,592,555
1557614899,578,543
1557617287,577,563
1557617532,22,46
1557619957,1442,2391
1557623307,558,0
1557626421,604,0
1557627137,38,65
1557632422,540,0
1557633542,71,82
1557636747,555,0
1557642248,567,548
1557646368,574,0
1557650686,565,0
1557655000,568,0
1557658363,543,580
1557660510,573,0
1557663142,580,0
1557665574,605,562
1557669151,572,551
1557672752,592,589
1557675157,643,0
1557678281,587,0
1557681173,610,0
1557684550,635,0
1557687579,573,0
1557691240,570,555
1557695321,584,0
1557698201,614,0
1557701082,572,0
1557704175,574,0
1557704650,11,19
1557708276,1245,1806
1557708731,14,17
1557711167,573,0
1557714272,579,584
1557716425,8,33
1557717170,564,0
1557719768,554,0
1557719942,66,103
1557722907,588,584
1557725800,568,0
1557729162,559,0
1557730844,571,0
1557733216,602,0
1557736119,578,0
1557739717,572,0
1557742347,576,0
1557745477,567,0
1557748355,596,0
