DateTime,AddedIPs,RemovedIPs
1558068123,1,0
1558069375,2,0
1558069923,18,0
1558070523,5,0
1558071842,94,15
1558072082,0,156
1558072923,8,0
1558072973,0,3
1558074123,3,0
1558075323,2,0
1558075922,1,0
1558076524,1,0
1558077125,3,0
1558077843,90,0
1558078322,19,0
1558078922,2,0
1558079764,75,131
1558080175,3,3
1558080723,3,0
1558081322,6,0
1558081686,67,0
1558082523,5,0
1558083774,14,3
1558084563,0,61
1558084922,2,0
1558085523,72,0
1558086123,3,0
1558086723,3,0
1558087322,1,0
1558087923,5,1
1558088522,1,0
1558089722,3,0
1558090991,5,1
1558091522,93,14
1558092243,4,106
1558093476,1253,288
1558096923,1,0
1558097282,65,14
1558098020,0,144
1558098174,1,1
1558099323,2,0
1558101122,89,0
1558101774,2,0
1558102323,2,0
1558102923,4,0
1558104123,3,0
1558104723,2,0
1558104963,75,17
1558105374,1,1
1558105923,0,105
1558106523,4,0
1558107722,1,0
1558108322,3,0
1558108810,106,0
1558108975,2,3
1558110123,13,0
1558110722,83,9
1558111323,10,1
1558112162,1,142
1558112574,3,2
1558113724,4,0
1558115045,99,0
1558116174,6,1
1558116961,85,17
1558117923,0,1
1558118523,7,0
1558119774,2,2
1558120322,1,0
1558120805,0,140
1558120923,1,0
1558121523,2,0
1558122123,11,0
1558122722,84,0
1558123374,5,0
1558124644,81,77
1558125122,1,0
1558125722,3,0
1558126322,2,0
1558126562,0,106
1558127523,2,0
1558128741,97,0
1558129323,18,0
1558129924,4,0
1558130523,3,0
1558130574,0,1
1558131723,9,0
1558132322,2,0
1558134243,86,83
1558134723,4,0
1558135322,1,0
1558136164,79,107
1558137775,16,1
1558140242,53,16
1558141922,2,0
1558142162,0,188
1558143722,3,0
1558144922,90,0
1558146123,11,0
1558146722,77,7
1558147924,7,75
1558149122,10,1
1558150322,91,14
1558152123,11,0
1558152723,15,84
1558153322,2,0
1558155123,24,0
1558155621,65,210
1558156323,34,0
1558158123,113,0
1558159322,4,0
1558159443,73,10
1558160522,3,0
1558161124,9,0
1558161722,1,0
1558163522,1,0
1558164722,8,105
1558165203,85,0
1558167723,3,2
1558168323,2,0
1558169042,76,15
1558169523,1,0
1558170122,9,0
1558170964,0,110
1558172523,2,0
1558172881,90,0
1558173776,0,1
1558174804,0,78
