DateTime,Entries,UniqueIPs
1557895599,33530,54049
1557896919,33532,54052
1557897975,33488,54009
1557898838,33477,53999
1557898926,33031,53545
1557900762,33036,53550
1557901802,33010,53530
1557902654,33015,53536
1557904600,33004,53525
1557905403,32847,53369
1557906494,32842,53364
1557907254,32810,53335
1557908437,32802,53327
1557909625,32528,53052
1557910336,32517,53042
1557910831,32381,52906
1557912257,32378,52903
1557913381,31489,52009
1557914175,31469,51988
1557916115,30452,50896
1557916267,30305,50749
1557918031,30778,51234
1557918301,30160,50613
1557919937,30170,50624
1557920724,30262,50718
1557920791,30324,50784
1557921858,30331,50789
1557922020,30297,50755
1557923772,30307,50766
1557924324,29116,49566
1557925715,29126,49576
1557927612,29138,49588
1557927924,29470,49922
1557929533,29474,49926
1557930311,28320,48773
1557931459,28307,48760
1557931524,28400,48854
1557933399,28383,48837
1557935327,28383,48837
1557935975,26633,47091
1557937235,26632,47091
1557937617,26679,43822
1557939141,25276,42413
1557939624,25276,42158
1557941053,25269,42150
1557941068,25229,44916
1557941418,24729,44418
1557941929,24793,44485
1557942995,24814,44508
1557943218,24819,44514
1557944895,24819,45278
1557946844,23683,44142
1557948204,23707,43913
1557948762,23709,43916
1557948915,22586,42791
1557950684,22597,42801
1557951318,21420,41625
1557952056,21452,41659
1557952573,21507,41716
1557953121,21507,41971
1557954520,21519,41984
1557955262,21534,42003
1557956436,21537,42008
1557957629,21608,42335
1557958339,21643,42372
1557958520,21643,42117
1557960277,21658,42133
1557960320,21657,41877
1557960854,21550,41770
1557962199,21957,42189
1557963004,21927,42156
1557964092,21919,42149
1557966012,21923,42148
1557966075,21940,42166
1557966604,21944,41915
1557967948,21959,41931
1557968117,21909,41879
1557969321,21968,41938
1557969877,21974,41944
1557970222,21975,42200
1557971769,21969,42194
1557973937,21958,42184
1557974145,22080,42304
1557975855,22072,42296
1557976545,21953,42181
1557977771,21946,42174
1557978804,22004,42234
1557979693,21998,42230
1557980123,21997,41974
1557980727,22018,41996
1557981636,22020,41998
1557983531,22016,41996
1557983701,22112,42095
1557985453,22110,42094
1557987404,22108,42092
1557989294,22096,42080
1557990923,21408,41385
1557991474,21396,41373
1557991804,21413,41389
1557993392,21392,41368
1557995313,21390,41367
1557996074,21532,41511
1557997236,21543,41522
1557998124,21390,41361
1557999378,21384,41355
1557999776,21377,41347
1558001561,20460,40403
1558002605,20478,40424
1558003475,20477,40424
1558005370,20849,40800
1558007316,20930,40878
1558008511,20707,40654
1558009250,20710,40657
1558010553,20655,40597
1558011129,20656,40598
1558012523,20636,40580
1558013051,20635,40582
1558014992,20644,40591
1558016922,20650,41365
1558018027,20787,41503
1558018820,20795,41766
1558021002,20864,41839
1558023406,20860,41836
1558025318,20862,41837
1558026019,20604,41575
1558027207,20609,41580
1558027512,20646,37793
1558027544,20701,37848
1558029128,20699,37846
1558029621,20697,38099
1558030519,20792,37434
1558030741,20758,37399
1558031065,20764,37405
1558031403,20763,37915
1558032199,20539,37688
1558032993,20534,37683
1558033973,20562,37714
1558034913,20561,37713
1558035285,20631,37784
1558036834,20639,37793
1558037720,20488,37630
1558038754,20494,37636
1558039837,20514,37659
1558040653,20505,37650
1558041830,20529,37676
1558042570,20527,37677
1558044520,20517,37668
1558045655,20614,37770
1558046442,20595,37751
1558048360,20921,38082
1558050250,20922,38086
1558052178,20933,38097
1558052662,20771,38189
1558054334,20763,38182
1558056274,20760,37924
1558056625,20884,38054
1558058168,20881,38051
1558060091,20724,37890
1558062023,20738,37906
1558063934,20728,37896
1558066104,20726,37894
