DateTime,AddedIPs,RemovedIPs
1557463932,19,18
1557465855,33,22
1557467770,32,39
1557469710,28,24
1557471655,44,26
1557473556,62,25
1557475456,37,16
1557477378,43,21
1557479312,41,38
1557481236,42,34
1557483136,27,1669
1557485056,45,66
1557487233,848,1
1557489156,51,19
1557491051,40,24
1557492993,33,27
1557494889,47,25
1557496814,52,26
1557498734,43,28
1557500684,49,20
1557502608,41,33
1557504525,22,50
1557506438,37,37
1557508333,41,31
1557510249,57,43
1557512175,37,38
1557514091,40,29
1557516023,32,42
1557517955,30,38
1557519851,29,41
1557521818,43,58
1557523690,29,44
1557525624,33,51
1557528783,43,95
1557530682,772,0
1557532597,40,17
1557534491,34,19
1557536442,60,36
1557538361,32,12
1557540267,28,20
1557542201,22,28
1557544116,19,18
1557546018,22,32
1557547948,22,47
1557549853,25,27
1557551778,27,36
1557553695,22,34
1557555623,29,32
1557557533,12,35
1557559457,21,28
1557561369,43,39
1557563293,22,46
1557565231,23,46
1557567387,35,53
1557569313,13,1971
1557571234,40,47
1557573140,776,0
1557575061,49,25
1557577004,51,31
1557578897,22,20
1557580700,42,23
1557582737,24,32
1557584653,28,22
1557586575,40,31
1557588491,40,31
1557590458,31,35
1557592336,45,27
1557594266,21,19
1557596172,32,39
1557598095,21,34
1557600256,37,41
1557602177,31,44
1557604092,31,36
1557606024,20,41
1557607930,29,41
1557609860,21,39
1557611770,53,43
1557613692,26,30
1557615634,668,0
1557617541,19,25
1557619463,14,20
1557621378,30,19
1557623304,35,14
1557625256,20,29
1557627144,16,18
1557629059,22,26
1557630977,34,29
1557632898,24,31
1557634816,39,25
1557636735,28,13
1557638656,27,28
1557640573,41,38
1557642753,35,34
1557644660,22,38
1557646821,31,42
1557648739,32,32
1557650675,32,40
1557652576,32,46
1557654497,27,38
1557656438,28,1570
1557658359,26,36
1557660253,649,0
1557662172,70,38
1557664113,42,32
1557666034,28,42
1557667947,28,32
1557670125,47,33
1557672038,41,21
1557673935,38,18
1557675873,24,19
1557677807,35,25
1557679718,34,34
1557681620,41,25
1557683531,18,21
1557685464,30,32
1557687574,33,22
1557689557,39,30
1557691719,24,21
1557693610,42,33
1557695785,24,32
1557697695,20,23
1557699634,23,21
1557701550,21,33
1557703496,559,0
1557705371,20,34
1557707302,21,30
1557709241,17,35
1557711162,12,27
1557713057,13,27
1557714997,18,17
1557717159,29,21
1557719075,22,16
1557720998,22,22
1557722896,23,33
1557724820,18,22
1557726731,22,22
1557728653,13,27
1557730570,20,19
1557732490,31,25
1557734466,27,25
1557736592,30,29
1557738501,19,26
1557740431,34,30
1557742342,32,1449
1557744276,74,17
1557746194,662,0
1557748093,52,23
1557750039,49,24
1557751930,48,20
1557753859,32,18
1557756094,33,20
1557758107,37,26
1557760342,41,26
1557762246,32,33
1557764193,25,36
1557766089,25,34
1557768030,26,29
1557769952,33,32
1557771875,36,30
1557773766,40,32
1557775684,33,23
1557777621,34,38
1557779559,30,36
1557781456,24,27
1557783376,29,29
1557785311,26,27
1557787234,24,24
1557789133,570,0
1557791049,16,18
1557792969,27,20
1557794888,18,16
1557796805,10,17
1557798751,21,14
1557800647,28,15
1557802565,21,21
1557804515,27,26
1557806438,29,40
1557808359,30,27
1557810276,19,24
1557812169,29,30
1557814092,21,31
1557816033,26,28
1557817960,25,23
1557819870,26,28
1557821795,28,39
1557823738,20,29
1557825634,31,29
1557827548,28,31
1557829452,24,1303
1557831397,43,56
1557833292,586,0
1557835236,78,19
1557837147,20,13
1557839063,50,20
1557840973,41,17
1557842897,38,14
1557845057,30,18
1557846997,36,31
1557848917,27,21
1557850833,26,36
1557852757,31,20
1557854650,30,17
1557856592,35,24
1557858487,26,15
1557860422,31,27
1557862359,28,27
1557864281,21,30
1557866192,37,32
1557868125,18,19
1557870013,30,40
1557871940,36,28
1557873880,23,33
1557875789,503,0
1557877721,17,15
1557879636,20,18
1557881556,27,12
1557883456,21,17
