DateTime,AddedIPs,RemovedIPs
1557982812,894,495
1557983712,763,643
1557984611,793,728
1557985511,700,827
1557986413,779,821
1557987311,779,876
1557988211,813,869
1557989111,799,736
1557990012,790,800
1557990912,756,753
1557991811,784,1225
1557992710,731,1269
1557993612,803,1061
1557994513,733,1112
1557995414,753,940
1557996313,757,790
1557997211,741,893
1557998113,788,990
1557999011,801,1028
1557999911,778,1049
1558000811,792,999
1558001711,904,866
1558002610,2088,927
1558003511,875,838
1558004412,885,999
1558005311,857,910
1558006211,762,686
1558007111,675,871
1558008011,774,881
1558008911,634,774
1558009810,1017,823
1558010712,904,754
1558011611,896,1760
1558012514,1053,936
1558013410,964,669
1558014311,909,839
1558015211,914,981
1558016112,823,700
1558017012,890,636
1558017912,848,645
1558018812,535,315
1558019710,128,34
1558020610,83,5
1558021509,70,15
1558023310,189,32
1558024210,186,40
1558025112,194,32
1558026009,241,44
1558026911,253,49
1558027809,233,52
1558028709,217,47
1558029611,262,57
1558030510,252,61
1558031410,254,51
1558032309,267,381
1558033209,226,283
1558034109,1766,1321
1558035010,1438,1006
1558035911,1168,1236
1558036810,1018,1002
1558037709,1060,833
1558038609,878,819
1558039510,935,837
1558040409,904,840
1558041309,886,683
1558042208,851,2350
1558043108,953,1387
1558044010,876,822
1558044908,797,823
1558045808,868,762
1558046708,874,820
1558047609,858,555
1558048509,908,519
1558049408,943,482
1558050308,818,613
1558051208,900,565
1558052107,941,550
1558053008,923,636
1558053908,878,697
1558054808,895,741
1558055708,754,727
1558056608,839,694
1558057507,785,717
1558058408,812,564
1558059330,831,772
1558060222,837,857
1558061106,757,827
1558062007,778,712
1558062907,907,681
1558063807,770,698
1558064707,703,883
1558065608,682,740
1558066508,725,900
1558067408,631,831
1558068307,655,818
1558069207,654,806
1558070108,618,710
1558071007,587,736
1558071908,638,601
1558072808,612,667
1558073707,709,895
1558074608,652,915
1558075509,591,862
1558076409,618,647
1558077309,646,828
1558078209,754,762
1558079110,883,1013
1558080008,708,919
1558080908,688,774
1558081809,675,793
1558082708,647,750
1558083608,603,567
1558084509,641,612
1558085408,752,642
1558086309,707,538
1558087208,751,633
1558088107,679,605
1558089008,696,726
1558089908,713,714
1558090807,720,645
1558091708,708,639
1558092608,637,687
1558093507,718,759
1558094408,786,962
1558095309,786,644
1558096207,749,842
1558097109,800,895
1558098008,754,630
1558098909,696,809
1558099811,583,737
1558100708,718,969
1558101607,638,801
1558102508,589,865
1558103409,687,1005
1558104308,619,657
1558105208,604,655
1558106109,603,558
1558107009,596,531
1558107908,580,590
1558108810,535,581
1558109710,503,758
1558110609,545,956
1558111509,522,801
1558112408,583,780
1558113310,511,1100
1558114211,1305,974
1558115108,1135,908
1558116010,1039,882
1558116910,876,617
1558117809,859,823
1558118709,783,866
1558119608,842,877
1558120508,704,815
1558121410,711,658
1558122310,772,598
1558123210,718,547
1558124108,665,515
1558125008,830,409
1558125910,827,551
1558126807,790,1230
1558127711,770,1058
1558128610,718,900
1558129510,713,777
1558130409,774,779
1558131311,704,928
1558132209,646,701
1558134011,1425,1420
1558134910,757,948
1558135811,830,969
1558136712,741,1076
1558137612,761,1158
1558138508,747,916
1558139408,800,866
1558140309,707,965
1558141212,746,987
1558142112,698,858
1558143013,696,1026
1558143911,707,861
1558144812,893,884
1558145741,777,751
1558146649,594,567
1558147541,592,529
1558148409,776,662
1558149311,638,711
1558150210,804,849
1558151113,633,651
1558152010,642,686
1558152913,701,627
1558153813,679,522
1558154712,598,580
1558155611,596,676
1558156510,664,643
1558157409,710,852
1558158310,876,616
1558159213,852,780
1558160111,904,812
1558161013,933,632
1558161912,869,672
1558162811,770,527
1558163713,805,572
1558164612,826,723
1558165514,736,651
1558166410,816,600
1558167311,797,667
1558168210,744,544
1558169110,786,648
1558170013,733,681
1558170912,764,772
1558171810,711,845
1558172712,762,925
1558173613,845,872
1558174513,884,770
1558175412,784,778
1558176313,784,692
1558177213,757,436
1558178112,878,444
1558179010,741,571
1558179910,842,788
1558180814,751,739
1558181709,759,779
1558182609,751,647
1558183511,674,835
1558184412,716,528
1558185313,800,442
1558186211,727,515
1558187112,820,456
1558188011,761,867
1558188912,799,1141
1558189809,713,1020
1558190711,766,1376
1558191611,737,1404
1558192509,723,1109
1558193412,709,720
1558194310,677,1131
1558195210,673,1127
1558196114,642,1003
1558197011,671,1218
1558197913,761,753
1558198813,739,641
1558199711,724,562
1558200610,725,581
1558201509,643,652
1558202412,716,599
1558203313,775,572
1558204212,883,591
1558205113,823,721
1558206012,787,630
1558206909,907,597
1558207813,830,824
1558208710,962,755
1558209613,843,867
1558210511,900,773
1558211413,916,642
1558212312,879,575
1558213211,1038,721
1558214110,952,766
1558215009,855,758
1558215912,934,780
1558216810,911,717
1558217710,853,602
1558218610,863,645
1558219509,904,716
1558220410,807,694
1558221310,742,648
1558222212,727,785
1558223111,740,870
1558224008,804,872
1558224912,776,891
1558225810,775,818
1558226712,832,879
1558227611,817,721
1558228512,814,1062
1558229408,749,885
1558230312,761,807
1558231213,738,799
1558232133,735,521
1558233036,793,565
1558233910,742,674
1558234813,747,658
1558235709,720,744
1558236612,804,635
1558237511,722,602
1558238410,753,607
1558239309,856,658
1558240210,815,592
1558241111,762,569
1558242009,760,674
1558242907,751,618
1558243809,729,613
1558244710,698,540
1558245611,761,594
1558246509,800,636
1558247408,743,749
1558248312,745,868
1558249208,760,959
1558250109,801,913
1558251009,836,763
1558251910,758,885
1558252809,789,816
1558253708,759,918
1558254610,829,1092
1558255511,880,1520
1558256410,868,1317
1558257311,806,1034
1558258209,897,1073
1558259110,766,1131
1558260010,824,1011
1558260909,724,935
