DateTime,Entries,UniqueIPs
1557982812,11500,11500
1557983712,11620,11620
1557984611,11685,11685
1557985511,11558,11558
1557986413,11516,11516
1557987311,11419,11419
1557988211,11363,11363
1557989111,11426,11426
1557990012,11416,11416
1557990912,11419,11419
1557991811,10978,10978
1557992710,10440,10440
1557993612,10182,10182
1557994513,9803,9803
1557995414,9616,9616
1557996313,9583,9583
1557997211,9431,9431
1557998113,9229,9229
1557999011,9002,9002
1557999911,8731,8731
1558000811,8524,8524
1558001711,8562,8562
1558002610,9723,9723
1558003511,9760,9760
1558004412,9646,9646
1558005311,9593,9593
1558006211,9669,9669
1558007111,9473,9473
1558008011,9366,9366
1558008911,9226,9226
1558009810,9420,9420
1558010712,9570,9570
1558011611,8706,8706
1558012514,8823,8823
1558013410,9118,9118
1558014311,9188,9188
1558015211,9121,9121
1558016112,9244,9244
1558017012,9498,9498
1558017912,9701,9701
1558018812,9921,9921
1558019710,10015,10015
1558020610,10093,10093
1558021509,10148,10148
1558023310,10305,10305
1558024210,10451,10451
1558025112,10613,10613
1558026009,10810,10810
1558026911,11014,11014
1558027809,11195,11195
1558028709,11365,11365
1558029611,11570,11570
1558030510,11761,11761
1558031410,11964,11964
1558032309,11850,11850
1558033209,11793,11793
1558034109,12238,12238
1558035010,12670,12670
1558035911,12602,12602
1558036810,12618,12618
1558037709,12845,12845
1558038609,12904,12904
1558039510,13002,13002
1558040409,13066,13066
1558041309,13269,13269
1558042208,11770,11770
1558043108,11336,11336
1558044010,11390,11390
1558044908,11364,11364
1558045808,11470,11470
1558046708,11524,11524
1558047609,11827,11827
1558048509,12216,12216
1558049408,12677,12677
1558050308,12882,12882
1558051208,13217,13217
1558052107,13608,13608
1558053008,13895,13895
1558053908,14076,14076
1558054808,14230,14230
1558055708,14257,14257
1558056608,14402,14402
1558057507,14470,14470
1558058408,14718,14718
1558059330,14777,14777
1558060222,14757,14757
1558061106,14687,14687
1558062007,14753,14753
1558062907,14979,14979
1558063807,15051,15051
1558064707,14871,14871
1558065608,14813,14813
1558066508,14638,14638
1558067408,14438,14438
1558068307,14275,14275
1558069207,14123,14123
1558070108,14031,14031
1558071007,13882,13882
1558071908,13919,13919
1558072808,13864,13864
1558073707,13678,13678
1558074608,13415,13415
1558075509,13144,13144
1558076409,13115,13115
1558077309,12933,12933
1558078209,12925,12925
1558079110,12795,12795
1558080008,12584,12584
1558080908,12498,12498
1558081809,12380,12380
1558082708,12277,12277
1558083608,12313,12313
1558084509,12342,12342
1558085408,12452,12452
1558086309,12621,12621
1558087208,12739,12739
1558088107,12813,12813
1558089008,12783,12783
1558089908,12782,12782
1558090807,12857,12857
1558091708,12926,12926
1558092608,12876,12876
1558093507,12835,12835
1558094408,12659,12659
1558095309,12801,12801
1558096207,12708,12708
1558097109,12613,12613
1558098008,12737,12737
1558098909,12624,12624
1558099811,12470,12470
1558100708,12219,12219
1558101607,12056,12056
1558102508,11780,11780
1558103409,11462,11462
1558104308,11424,11424
1558105208,11373,11373
1558106109,11418,11418
1558107009,11483,11483
1558107908,11473,11473
1558108810,11427,11427
1558109710,11172,11172
1558110609,10761,10761
1558111509,10482,10482
1558112408,10285,10285
1558113310,9696,9696
1558114211,10027,10027
1558115108,10254,10254
1558116010,10411,10411
1558116910,10670,10670
1558117809,10706,10706
1558118709,10623,10623
1558119608,10588,10588
1558120508,10477,10477
1558121410,10530,10530
1558122310,10704,10704
1558123210,10875,10875
1558124108,11025,11025
1558125008,11446,11446
1558125910,11722,11722
1558126807,11282,11282
1558127711,10994,10994
1558128610,10812,10812
1558129510,10748,10748
1558130409,10743,10743
1558131311,10519,10519
1558132209,10464,10464
1558134011,10469,10469
1558134910,10278,10278
1558135811,10139,10139
1558136712,9804,9804
1558137612,9407,9407
1558138508,9238,9238
1558139408,9172,9172
1558140309,8914,8914
1558141212,8673,8673
1558142112,8513,8513
1558143013,8183,8183
1558143911,8029,8029
1558144812,8038,8038
1558145741,8064,8064
1558146649,8091,8091
1558147541,8154,8154
1558148409,8268,8268
1558149311,8195,8195
1558150210,8150,8150
1558151113,8132,8132
1558152010,8088,8088
1558152913,8162,8162
1558153813,8319,8319
1558154712,8337,8337
1558155611,8257,8257
1558156510,8278,8278
1558157409,8136,8136
1558158310,8396,8396
1558159213,8468,8468
1558160111,8560,8560
1558161013,8861,8861
1558161912,9058,9058
1558162811,9301,9301
1558163713,9534,9534
1558164612,9637,9637
1558165514,9722,9722
1558166410,9938,9938
1558167311,10068,10068
1558168210,10268,10268
1558169110,10406,10406
1558170013,10458,10458
1558170912,10450,10450
1558171810,10316,10316
1558172712,10153,10153
1558173613,10126,10126
1558174513,10240,10240
1558175412,10246,10246
1558176313,10338,10338
1558177213,10659,10659
1558178112,11093,11093
1558179010,11263,11263
1558179910,11317,11317
1558180814,11329,11329
1558181709,11309,11309
1558182609,11413,11413
1558183511,11252,11252
1558184412,11440,11440
1558185313,11798,11798
1558186211,12010,12010
1558187112,12374,12374
1558188011,12268,12268
1558188912,11926,11926
1558189809,11619,11619
1558190711,11009,11009
1558191611,10342,10342
1558192509,9956,9956
1558193412,9945,9945
1558194310,9491,9491
1558195210,9037,9037
1558196114,8676,8676
1558197011,8129,8129
1558197913,8137,8137
1558198813,8235,8235
1558199711,8397,8397
1558200610,8541,8541
1558201509,8532,8532
1558202412,8649,8649
1558203313,8852,8852
1558204212,9144,9144
1558205113,9246,9246
1558206012,9403,9403
1558206909,9713,9713
1558207813,9719,9719
1558208710,9926,9926
1558209613,9902,9902
1558210511,10029,10029
1558211413,10303,10303
1558212312,10607,10607
1558213211,10924,10924
1558214110,11110,11110
1558215009,11207,11207
1558215912,11361,11361
1558216810,11555,11555
1558217710,11806,11806
1558218610,12024,12024
1558219509,12212,12212
1558220410,12325,12325
1558221310,12419,12419
1558222212,12361,12361
1558223111,12231,12231
1558224008,12163,12163
1558224912,12048,12048
1558225810,12005,12005
1558226712,11958,11958
1558227611,12054,12054
1558228512,11806,11806
1558229408,11670,11670
1558230312,11624,11624
1558231213,11563,11563
1558232133,11777,11777
1558233036,12005,12005
1558233910,12073,12073
1558234813,12162,12162
1558235709,12138,12138
1558236612,12307,12307
1558237511,12427,12427
1558238410,12573,12573
1558239309,12771,12771
1558240210,12994,12994
1558241111,13187,13187
1558242009,13273,13273
1558242907,13406,13406
1558243809,13522,13522
1558244710,13680,13680
1558245611,13847,13847
1558246509,14011,14011
1558247408,14005,14005
1558248312,13882,13882
1558249208,13683,13683
1558250109,13571,13571
1558251009,13644,13644
1558251910,13517,13517
1558252809,13490,13490
1558253708,13331,13331
1558254610,13068,13068
1558255511,12428,12428
1558256410,11979,11979
