DateTime,AddedIPs,RemovedIPs
1557985323,80,80
1557985923,80,80
1557986523,80,80
1557987722,80,80
1557988322,80,80
1557988922,80,80
1557989523,80,80
1557990123,80,80
1557990723,80,80
1557991323,80,80
1557992522,80,80
1557993123,80,80
1557993723,80,80
1557994923,80,80
1557996123,80,80
1557997323,80,80
1557998523,80,80
1557999123,80,80
1557999723,80,80
1558000923,80,80
1558002123,80,80
1558003322,80,80
1558003922,80,80
1558004523,80,80
1558005723,80,80
1558006922,80,80
1558008123,80,80
1558009323,80,80
1558010523,80,80
1558011122,80,80
1558011723,80,80
1558012323,80,80
1558012923,80,80
1558014122,80,80
1558015322,80,80
1558015923,80,80
1558016522,80,80
1558017723,80,80
1558018924,80,80
1558019522,80,80
1558020123,80,80
1558020723,80,80
1558021323,80,80
1558023123,80,80
1558023724,80,80
1558024922,80,80
1558026123,77,77
1558027323,80,80
1558027923,80,80
1558028523,80,80
1558029724,80,80
1558030323,80,80
1558030924,80,80
1558031523,80,80
1558032123,80,80
1558032722,80,80
1558033323,80,80
1558033923,80,80
1558034523,80,80
1558035123,80,80
1558035723,80,80
1558036323,80,80
1558036923,80,80
1558037522,80,80
1558038123,80,80
1558039323,80,80
1558040522,80,80
1558041722,80,80
1558042922,80,80
1558043523,80,80
1558044122,80,80
1558044723,80,80
1558045322,80,80
1558046523,80,80
1558047722,80,80
1558048323,80,80
1558048923,80,80
1558049522,80,80
1558050124,80,80
1558050722,80,80
1558051324,80,80
1558051923,80,80
1558052523,80,80
1558053123,80,80
1558053722,80,80
1558054923,80,80
1558056122,80,80
1558057323,80,80
1558058522,80,80
1558059722,80,80
1558060923,80,80
1558062122,80,80
1558062723,80,80
1558063323,80,80
1558064522,80,80
1558065723,80,80
1558066923,80,80
1558068123,80,80
1558068722,80,80
1558069323,80,80
1558069923,80,80
1558070523,80,80
1558071123,80,80
1558071723,80,80
1558072923,80,80
1558074123,80,80
1558075323,80,80
1558076524,80,80
1558077125,80,80
1558077723,80,80
1558078322,80,80
1558078922,80,80
1558080123,80,80
1558081322,80,80
1558081923,80,80
1558082523,80,80
1558083723,80,80
1558084322,80,80
1558084922,80,80
1558086123,80,80
1558086723,80,80
1558087322,80,80
1558087923,80,80
1558088522,79,79
1558089722,80,80
1558090923,71,71
1558092122,80,80
1558093323,79,79
1558094522,80,80
1558095723,80,80
1558096923,80,80
1558098122,80,80
1558099323,80,80
1558100523,80,80
1558101722,80,80
1558102323,80,80
1558102923,80,80
1558104123,80,80
1558104723,80,80
1558105323,80,80
1558106523,80,80
1558107123,80,80
1558107722,80,80
1558108923,80,80
1558109522,80,80
1558110123,80,80
1558111323,80,80
1558111923,80,80
1558112524,80,80
1558113123,80,80
1558113724,80,80
1558114923,77,77
1558115523,80,80
1558116123,80,80
1558117322,80,80
1558118523,80,80
1558119722,80,80
1558120923,80,80
1558121523,80,80
1558122123,79,79
1558123323,80,80
1558124523,80,80
1558125122,80,80
1558125722,80,80
1558126322,80,80
1558127523,80,80
1558128722,80,80
1558129323,74,74
1558129924,80,80
1558130523,80,80
1558132322,79,79
1558134123,80,80
1558134723,79,79
1558137724,80,80
1558144922,79,79
1558146123,77,77
1558149122,79,79
1558150322,79,79
1558152123,79,79
1558153322,80,80
1558155123,80,80
1558156323,74,74
1558158123,80,80
1558159322,80,80
1558161124,79,79
1558163522,80,80
1558164722,80,80
1558165922,80,80
1558167723,80,80
1558168323,80,80
1558168922,80,80
1558169523,80,80
1558170122,80,80
1558171322,80,80
1558172523,80,80
1558173722,80,80
1558174922,80,80
1558176122,80,80
1558176722,80,80
1558177322,80,80
1558178522,80,80
1558179122,80,80
1558179723,80,80
1558180922,80,80
1558181523,80,80
1558182122,80,80
1558182723,80,80
1558183323,80,80
1558183922,80,80
1558184522,80,80
1558185123,80,80
1558185722,80,80
1558186323,80,80
1558186922,80,80
1558187522,80,80
1558188123,80,80
1558188723,80,80
1558189323,80,80
1558189922,80,80
1558190522,80,80
