DateTime,AddedIPs,RemovedIPs
1557836522,0,3
1557837723,1,0
1557838923,1,6
1557840122,3,19
1557841322,1,5
1557842522,3,0
1557846123,3,0
1557847323,6,7
1557848523,1,5
1557849123,8,0
1557850322,0,3
1557850923,4,2
1557851522,3,0
1557852122,1,1
1557852722,1,0
1557854523,3,8
1557855723,5,7
1557856922,3,0
1557858122,0,2
1557859323,7,0
1557860523,7,22
1557861122,2,0
1557861722,2,3
1557862922,6,2
1557864122,2,3
1557865323,1,0
1557866522,3,0
1557867722,0,1
1557868923,9,0
1557870122,2,0
1557871322,8,16
1557872522,0,2
1557873123,4,0
1557873722,1,11
1557876122,2,4
1557877322,1,0
1557878524,24,2
1557879723,4,0
1557880922,46,12
1557882123,15,0
1557883322,6,3
1557886922,2,1
1557887523,6,0
1557888122,2,0
1557889322,2,1
1557889925,1,6
1557890522,2,4
1557891122,2,3
1557891722,0,3
1557892922,0,1
1557895323,3,2
1557895923,4,0
1557896522,1,0
1557897723,1,0
1557898323,27,2
1557898922,1,0
1557899522,1,7
1557900122,4,0
1557900723,1,10
1557901323,1,0
1557901923,1,0
1557903723,3,0
1557904922,10,0
1557906123,2,0
1557907322,2,17
1557908523,11,0
1557909723,4,2
1557910322,2,0
1557910923,1,1
1557912123,4,1
1557914523,2,9
1557915722,1,4
1557916923,3,1
1557918123,0,4
1557919322,0,2
1557920523,1,0
1557921722,1,1
1557924123,1,4
1557925322,4,0
1557925923,1,0
1557926522,0,2
1557927722,5,2
1557928923,3,0
1557930123,2,0
1557930723,0,7
1557931322,1,7
1557933123,2,0
1557933722,2,0
1557934323,2,0
1557934923,1,0
1557936123,32,4
1557937322,4,4
1557938523,4,1
1557939723,2,0
1557940923,3,1
1557941522,1,0
1557942123,1,0
1557943323,0,2
1557945123,1,4
1557945722,1,9
1557946922,1,0
1557948122,4,4
1557949322,23,0
1557950523,5,1
1557951723,2,0
1557954123,1,0
1557955323,3,16
1557956522,15,2
1557957722,1,6
1557958322,1,3
1557959523,1,1
1557962522,1,9
1557963723,1,1
1557964925,3,0
1557966123,6,6
1557967322,3,5
1557968523,1,6
1557969723,1,3
1557970922,1,0
1557972123,0,5
1557973323,1,0
1557974522,23,1
1557975122,1,13
1557976922,3,7
1557977522,2,0
1557978123,1,1
1557979323,0,3
1557979922,2,0
1557981723,5,3
1557982924,4,0
1557983524,1,2
1557984123,5,0
1557985323,0,7
1557986522,4,24
1557987722,0,4
1557988922,6,0
1557990123,5,2
1557990722,3,1
1557991322,0,2
1557992522,2,5
1557993123,0,2
1557993723,37,0
1557994923,4,5
1557996123,2,1
1557997323,4,0
1557997924,1,1
1557998523,0,2
1558004523,2,0
1558005723,1,0
1558008123,0,3
1558009322,0,9
1558010523,2,0
1558011722,2,17
1558012322,2,35
1558012923,0,1
1558014122,2,0
1558014722,4,0
1558016522,1,0
1558018923,5,2
1558019522,1,0
1558020123,1,3
1558020723,3,0
1558021322,2,10
1558023123,0,13
1558023723,4,1
1558024922,1,0
1558027322,4,1
1558027922,3,0
1558028522,1,0
1558029723,0,3
1558030924,2,4
1558032122,17,0
1558033323,4,3
1558034522,9,0
1558035723,5,0
1558038122,0,5
1558040522,1,5
1558041722,34,0
1558042922,12,7
1558044122,7,1
1558044722,0,5
1558047722,0,2
1558048923,2,0
1558050123,3,2
1558051324,5,0
1558051923,8,0
1558052523,1,0
1558053722,1,8
1558054922,0,5
1558056122,0,1
1558058522,1,5
1558059124,2,0
1558060923,21,14
1558062122,2,0
1558062723,11,0
1558063323,3,3
1558065723,0,5
1558066323,1,0
1558066923,1,1
1558067524,1,0
1558068123,1,0
1558069323,0,25
1558069923,1,0
1558070523,3,0
1558071722,0,5
1558072922,2,0
1558074123,4,1
1558075322,5,0
