DateTime,AddedIPs,RemovedIPs
1556275961,0,3
1556278515,4,0
1556281225,0,3
1556288435,1,5
1556295620,0,10
1556302828,2,5
1556310032,0,3
1556311823,2,0
1556318123,3,3
1556324425,1,5
1556328924,1,0
1556331622,0,11
1556338831,1,7
1556346016,1,6
1556353222,1,3
1556360418,2,3
1556361323,4,0
1556364920,0,4
1556367626,0,4
1556374829,2,2
1556382020,2,1
1556396440,0,3
1556410821,2,0
1556418019,0,1
1556425226,1,1
1556432422,1,1
1556439618,1,1
1556443222,0,1
1556446822,1,0
1556447811,0,6
1556451409,0,1
1556453122,1,0
1556454030,0,3
1556462140,1,0
1556468433,0,1
1556475639,0,1
1556482820,1,0
1556489118,0,1
1556490015,1,2
1556494523,1,0
1556497223,0,1
1556504423,1,0
1556511624,2,1
1556516118,1,0
1556519722,1,1
1556523322,0,1
1556526022,0,2
1556533229,1,0
1556534123,3,0
1556537717,0,4
1556540426,1,1
1556547618,1,0
1556551230,1,0
1556562019,1,2
1556570117,1,0
1556572834,1,0
1556579131,2,0
1556580032,2,0
1556583637,1,0
1556590814,0,2
1556592638,1,0
1556595337,1,0
1556598029,1,0
1556606126,0,2
1556612431,1,0
1556619617,1,1
1556620697,0,2
1556624123,4,1
1556626822,2,1
1556634024,2,1
1556641231,33,2
1556646627,1,0
1556650217,29,0
1556652924,5,0
1556653812,5,0
1556655625,2,2
1556659223,1,0
1556662833,5,0
1556663722,1,0
1556664625,1,0
1556665523,1,0
1556666432,1,0
1556670022,6,0
1556677217,3,1
1556679026,1,0
1556682625,1,0
1556684421,5,0
1556691621,4,2
1556699716,3,1
1556706929,11,3
1556710518,0,7
1556713218,7,0
1556717719,0,1
1556720422,6,1
1556727618,8,1
1556728530,1,0
1556734839,4,1
1556742016,2,1
1556750138,4,1
1556753729,1,0
1556754627,8,0
1556756425,4,0
1556757322,1,0
1556763617,4,1
1556767226,1,0
1556771722,9,2
1556772622,1,0
1556778023,6,0
1556785217,2,0
1556789723,1,0
1556792415,4,1
1556793487,0,5
1556796921,3,1
1556798714,1,0
1556800523,5,2
1556806824,5,70
1556814024,3,1
1556815824,1,0
1556821232,5,0
1556828427,2,4
1556835618,4,6
1556837421,1,0
1556842825,5,1
1556844630,0,1
1556850013,5,5
1556858126,7,3
1556859925,1,0
1556864423,3,4
1556871614,5,2
1556878821,4,1
1556879723,6,1
1556883319,0,6
1556886013,3,3
1556893219,6,8
1556895925,1,0
1556899528,0,1
1556900417,8,3
1556905812,1,0
1556907624,6,6
1556911227,1,0
1556914818,2,3
1556922914,3,5
1556929222,4,5
1556936435,2,8
1556940027,1,0
1556943628,4,7
1556950841,2,1
1556953546,1,0
1556958032,2,2
1556965226,5,6
1556966125,0,6
1556969724,0,8
1556972426,1,7
